tweet	label
@username and that kafura stuff 😧	Normal
"😂😂😂 feure innama""@username : karya uwaki""@username : modern almajiri system. #arewa ##url"	Abuse
guntuwa kuma chubby😘 ##url	Normal
kaci fec ka mutu sakarai dan gardamammiya. ##url	Abuse
northerners call southerners 'inyamiri'....so when those useless arewa elements asked the igbos to leave..dey mean all 'inyamiris' should go	Hate
some sectarian schools are just teaching these kids to intolerable to anything contrary to what they believe,and even going to the extent of branding them kafirai. akwai damuwa fah🤦🏾‍♂️	Normal
@username arne arne ne ko da ya tuba.	Normal
@username matsiyata masu bakar zuciya ba	Abuse
wawa jakiii ending sars in sau nawa nakeso ayii dan shegia dabba kawae ##url	Abuse
@username banza a zango. ramadan cream 😂😂	Normal
almajiri boys. dropped off by their parents from lord knows where. youngest in this group was five,… ##url	Normal
is like i heard “tashi yar kutumar uba”😂 ##url	Abuse
@username karshe kaga wani dan shi'a ko sufanci ne. don't waste your time on ppl like this.	Normal
@username kadalla can ajawo ina ruwan ka dani  kai ba gawuna kk yi ba	Abuse
Tijaniya gidan makaryata	Hate
na wollah rantse inyamurai bala’in shaggu na🤣🤣🤣 ##url	Hate
@username good move , but restructuring education is not about structural development alone . almajiri edu be included	Normal
"den gej is d cause :d""@username : almajiri school student i guess ""@username : *gej is d course*"""""	Normal
@username wannan zindikin kafiri ne kawai	Abuse
Ai fulanin ne sai a hankali ni ida naga bafulatanin jeji matukar tsoronsa nakeji kawai a hana rayuwar jeji a fito dasu cikin jama,a a sama musu muhalli sub kuraye ba amma sunje jeji sun makale ba ilimin addini babu na zamani ba dole su dinga dabi,un dabbobi ba dama meye marabar dabi,un dabba da mutum kawai a jawosu a sasu a makaranta wanda yayi taurin kai a daka shege	Hate
@username dandai na daina ta maguzawa ne.	Normal
wallahi ba gudu babu ja dabaya  idan har su masu aikata ta'addancin basu dainaba    to mukuma bazamutaba gajiyaba da rubutu harsai duniya tasan waye yahudu  #palestinianslivematter  #longlivepalesdine🤝 ##url	Normal
"""lmao muna wayo @username : “@username : lmao pple like us dnt pay any kobo self @username ”ahaaaa kai arne ne"""	Normal
"su maxa ba“@username : arna ba ""@username : alhamdulillah🙏done wit sahur""”"	Normal
“@username : @username a'a ni ban dan darika bane... ni ahlul sunnah ne!”ok ashe dan'uwa  mu ne kai	Normal
@username me yasa ka yarda for the first time ,ai ko president kazama ba zai mutu ba	Normal
manzon allah (sallal-la'hu alaihi wa-sallam) ya ce; shi allah madaukaki ya 'ki (yarda, a samu a cikin halaye na) in kasance marowaci [sahi'hu abi da'wud; 702]	Normal
cochi yaje ayi masa addu'ar arna kenan 😂 ##url ##url	Normal
ke fa munafika dan uwrki 🙄 ##url	Abuse
wallahi akwai yan iska duniya 😂 ##url	Abuse
yanzu bazaii kara tsoron tunkiya ba 🤣 ##url	Normal
i wish dangote and otedola can just donate the $75,000 to the almajiri educators. it will educate 50 almajiris which includes their uniforms and feeding through basic education. ##url	Normal
when we said no more 2 almajiri in the north we didn't mean it wil happen tomorrow or nxt,we wil work for it even we didn't achieve it now our younger ones wil achieve it in future #wakeuparewa  #almajiriisalsoachild #mudaibaraaarewa ##url	Normal
hence, what is true about the almajiranci system in terms of the negative consequences to the overall development of the almajiri child is true to most deprived children across the nation.	Normal
Wannan haka yake, Allah ya tsinewa fulani albarka	Hate
stop this mischief please. he was making a case for boko haram. even making comparism to niger delta militants. ji kake bama jin hausa? don allah ku daina kare yan ta'adda da sunan musulunci. ##url	Normal
so sad. indeed, this is happening at a time when the drug dealers and confessed rapists get off scot-free in the state without any conviction or taking to court. amma a banza ana kashe barayin kaji. ##url	Normal
@username you need to see the shege they showed us in lagos and how they ‘won’ their elections	Normal
@username لـكـم ديـنـكـم و لـي ديـن  shege arne🌚	Abuse
@username manyn arna kenan 🤣	Normal
kullum mutum sai posting congratulations allah ya bada zaman lfya 😂dan wahala @username 	Abuse
kaji munafika kuna fita kuna barinta zama zatayi daram!!! ##url	Abuse
@username dan akuya ne kenan	Abuse
