tweet	label
@USER ናይ ትግራይካ ግበር ወያነኻ ሰብ ብሂወቱ ኸሎ ይሓርድ ኣሎ	Hate
መንገዲ ኣየር ኢትዮጵያ ካብ ፅባሕ ረቡዕ ጀሚሩ ስሩዕ ኣገልግሎት መጓዓዝያ ናብ ዋና ከተማ ትግራይ፣ መቐለ ክጅምር እዩ! ዕድጊት ኦንላይን ትኬት እውን ካብ ሎሚ ሶሉስ ጀሚሩ ክፉት ኮይኑ ኣሎ። ሰላም ንትግራይ??	Normal
ፅንተት ትግራይ ከይርሳዕ ኣብ ትግራይ ኮይንኹም ኣብ ማሕበራዊ ሚድያ እትፅሕፉ ዘለኹም ወገናትና ኩልኻትኩም እንቋዕ ብደሓን ተመለስኩም። ካብቲ ፅንተታዊ ኲናት	Normal
@USER ኣብ መዓስከራት ሰባት ከም መንዲል እዮም ቀቲሎም ዝደርበይዎም ክቡር ክልተ ድስቱ ኤርትራዊ ሓው፤ ኣብ ገዛእ ገዝኡ ባእሲ ናይ ካልኦት ዘሳሲ ሰብ ደንቆሮ ጥራይ እዩ።	Hate
@USER ኣይትተሃወኺ በቲ ድዩ በቲ ኣራት ኪሎ ኣትዮም ኣለዉ። በቲ ድዩ በቲ ድማ ዓድሓሎ ክመጹ እዮም ። እዛ ጽሕፍቲ ዘክርያ ኢኪ።	Normal
እዚ ሻሂ ንጎሆ ንጎሆ ዝሰቲ ሰብ ተባዕታዩ ኣነስታዩ ናብ እንዳመላጣት ምኻድ ኣየድልዮን ይብል ሳይነስ። ውዕሊ ምምፃእ ዘቋረፅናውን ስርዓተ ምንኽኻእ በዚ ዘካሓሓስናዮ ምኳና እንትንገ	Normal
@USER ህዝቢ ሽረ ይተሓተት? ካብ ወያነ፣ ሻዕብያ ይመርጹ።	Normal
@USER ሕሳዊ ኮንካ እንበር ንኣረጊት ሸይጣን ዓዲ ሃሎ ሓረኪበዮ በል ስንኩላት ቀደም ተረሲዖም ተጋሒፎም እዮም።	Hate
@USER ንሕዝቡኩም ኣይተታልሉ። ሻዓብያን እምሓራን ንንጹሕ ሕዝቢ ዝቀትልሉ ምክንያት የብሎምን ብዘይኻ ካብዚ ጁንታ ክካላክልሎም። ሕዝቢ ትግራይ ኣይትዓሹ ነዞም ጸረ	Hate
@USER ሓሰውቲ ፡ ኣስመራ እንተዘይኣትየ ክብሉ ሓቢሮም ኣታቒዖም ክነሶም፡ 1 ሚሊዮን ገቢርካውን ኣስመራ ስለዘይተረኽበት ሕጂ ጻድቅ ጻድቅ ይጻወቱ ኣለዉ። ወሽላኻት	Hate
