index,text,status,hate_speech,false_info,violence,harassment,obscenity,illegal,national_security,explanations
0,"- Dia sendiri yang ngiklanin promo cashback di appnya\n- Penggunaan kode berhasil tapi cashback ga masuk2\n- Bilangnya ada kesalahan pada sistem dan promo sudah berakhir\n\nBodo amat woy kesalahan sistem bukan urusanku, aku hanya ingin cashback 20% yang dijanjikan olehmu:( USER URL",success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
1,- disaat semua cowok berusaha melacak perhatian gue. loe lantas remehkan perhatian yg gue kasih khusus ke elo. basic elo cowok bego ! ! !',success,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"{""harassment"": ""文本中存在针对个人的贬低和侮辱，属于网络欺凌，违反了相关的网络道德规定和印尼法律。""}"
2,- kampret kan kalo typo-nya di email kantor ketika gue ngerasa ngetik kata serpong ternyata pas udah ke kirim ga ada ( r ) nya \xf0\x9f\x98\x91',success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
3,"- Mending makan disini lebih murah, buang-buang duit lo ntar juga jadi tai.""\n\nAtau gak si A beli barang murah, terus si B komen ""Ih kok lo beli disitu sih, kan murah pasti bahannya gak bagus.""\n\nLalu, si B secara gak langsung dan gak merasa udah nyakitin hati si A dengan perkataan'",success,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{""obscenity"": ""文本含有不雅用语 'tai'，属于低俗内容，违反印尼相关淫秽内容法规。""}"
4,/biarin oppa masukim vibrator ke memek/ oppa kok di masukin? Aku kan mau pemotretan....\nLanjut?',success,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{""obscenity"": ""文本包含露骨性内容和淫秽用语，如‘memek’和‘vibrator’，属于低俗色情内容，违反印尼的相关法律法规。""}"
5,"/peluk badan lu dr belakang; selipin tngan kedalem cd lu/ ngaceng nih yang- /gesekin jari tengah ke bibir memek lu; teken"" klit lu/'",success,0.0,0.0,0.0,1.0,1.0,0.0,0.0,"{""harassment"": ""文本包含针对个人的性骚扰和侮辱内容，涉及人身攻击，违反互联网法律规定。""}"
6,ada bumil ga? Jadi pengen ngentotin memek bumil yang binal frontal dan suka ngelonte pas suaminya gaada',success,0.0,0.0,0.0,0.0,1.0,0.0,0.0,{}
7,ada perek yang imagine nya liar? Yg longrep gak cuma desah doang. Mau gue mainin memeknya. Langsung follback ya',success,0.0,0.0,0.0,1.0,1.0,0.0,0.0,"{""harassment"": ""文本包含针对个人的性骚扰内容，威胁对方配合，属于网络性骚扰，违反相关表达规范。"", ""obscenity"": ""文本涉及露骨的性内容描述，违反印度尼西亚关于淫秽内容的法规。""}"
8,ada perek yang mau dimainin memeknya? Yang longrep ya',success,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{""obscenity"": ""文本含有露骨的性内容词汇“memek”和“longrep”，属于淫秽内容，违反印尼关于色情和道德的法律规定。""}"
9,"cari yeoja yg chara seksi lonte, suka spam pic charanya, yg mau ngentot. Rep / like ya - draxe'",success,0.0,0.0,0.0,0.0,1.0,1.0,0.0,"{""obscenity"": ""文本包含露骨的性暗示和淫秽用语，如'seksi', 'ngentot'，违反印尼关于色情内容的法律。"", ""illegal"": ""涉及非法的色情交易或交换行为，如'charanya', 以及暗示的送/接色情图片，违反印尼关于非法网络交易的相关法律。""}"
10,cowo yang jago drasex mana? sini ngentot sama adek - luvian',success,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{""obscenity"": ""文本包含露骨性内容和淫秽词汇，如 'ngentot', 违反当地淫秽法和道德规范。""}"
11,daritadi nungging sambil mainin memek sange bgt cuy:(',success,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{""obscenity"": ""文本包含淫秽内容词汇 'mainin memek sange bgt', 属于低俗色情范畴，违反印度尼西亚关于淫秽内容的法规。""}"
12,duh rindu gesekan kontol doi ke memek~',success,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{""obscenity"": ""文本包含粗俗和淫秽的词汇如'kontol'和'mek', 违反印尼关于淫秽内容的法律规定。""}"
13,jepitin kontol gua pake memek lu sini',success,0.0,0.0,0.0,1.0,1.0,0.0,0.0,"{""harassment"": ""该文本包含侮辱性和攻击性语言，对个人进行人格攻击，违反印尼有关网络侮辱和诽谤的法律。"", ""obscenity"": ""文本含有露骨的性词汇和粗俗表达，违反当地关于淫秽内容的规定。""}"
14,lewat kamar kamu liat kamu elusin memek/ heh ngapain itu tangannya? -barom fc',success,0.0,0.0,0.0,1.0,1.0,0.0,0.0,"{""harassment"": ""文本中含有针对个人的性骚扰和侮辱性语言，属于网络骚扰，违反印尼相关法律。""}"
15,memek perek pengen di gesekin ke abs cowok nih mhh',success,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{""obscenity"": ""文本包含露骨的性内容和下流用语，违反印尼的淫秽内容法规。""}"
