source_index,word,category,meaning
3,buang-buang&duit&lo&jadi&tai,低俗色情,含有粗俗不雅的语言，用于表达不满或鄙视
4,memek&vibrator,低俗色情,针对性器官的露骨性描述，属于淫秽内容
5,mp3&memek,低俗色情,涉及下体部位的侮辱性词汇及性暗示用语
5,bibir&memek,低俗色情,涉及性器官的侮辱或性暗示用语
7,membawa&mempengaruhi&mek,低俗色情,涉及性行为和性器官的不雅描述
9,seksi&ngentot,低俗色情,与性行为相关的露骨词汇，涉嫌传播淫秽内容
9,spam pic charanya,违法,涉及传播不当图片，可能涉及非法色情内容
10,ngentot,低俗色情,性行为相关的粗俗用语，涉及露骨性内容
11,mainin&memek&sange&bgt,低俗色情,涉及性器官的粗鄙词汇，具有淫秽色情性质
12,kontol&memek,低俗色情,男性生殖器&女性生殖器的粗俗称呼
14,memek,低俗色情,粗俗的性器官称呼，涉及色情内容
15,memek&perek&gesekin,低俗色情,涉及下流性器官和性行为的粗俗词语
16,model&seksi&ngentot,低俗色情,涉及性暗示和淫秽内容的词汇
17,gesekin&mek,低俗色情,下流器官的暗示与侮辱性词汇
18,ngobel&memek&jilatin&klit,低俗色情,淫秽、露骨的性器官相关词汇
19,memek,低俗色情,性器官下流用语
23,goblok,低俗色情,粗俗的侮辱用语，意为愚蠢或无脑
24,monyet&move on,涉敏,侮辱他人以“猴子”比喻，贬低某人，是仇恨言论和侮辱性表达。
25,anjing&babi,低俗色情,针对人身的侮辱用语，意为‘狗’和‘猪’用以贬低他人。
28,kenyuk&pengkhianat&bangsa,涉政,侮辱某人，指其为背叛者和国家败类，涉及政治敏感内容
29,ngentot&kawin,低俗色情,涉及性行为的粗俗词语，用于表达不雅的性行为或婚姻
31,la'natilloh&iblis,宗教,对真主的诅咒和对伊斯兰中魔鬼的侮辱性称呼
32,mesum,低俗色情,表示淫乱、不道德的行为
32,lu nyuk,低俗色情,侮辱性词语，暗示性行为
33,monyet,低俗色情,"用于侮辱他人的贬义词，意为'猴子',带有侮辱性质"
34,otak&bolot,低俗色情,脑袋空空的贬义词，具有侮辱性，属于低俗不雅词汇
39,brisik&lbh brisik&bacot&tolol&anjing&manusia,低俗色情,侮辱性词汇或粗俗用语，用于攻击和侮辱他人
46,monyet&anjing,涉敏,针对特定族群的侮辱性词汇，含有贬低意味
46,ngentot,低俗色情,粗俗的性行为用语，具有强烈低俗性质
53,anjir,低俗色情,粗俗的下流用语，表达不雅或情绪激烈
54,ngentot,低俗色情,粗俗的性暗示或下流行为描述
59,gembel&murah,低俗色情,乞丐、穷人/傻、低智商，含有侮辱性和贬低意味
65,freakin',低俗色情,粗俗的强调词，用于表达愤怒或强调，带有低俗色彩
66,monyet,涉敏,指代某族群或个体，作为贬低或侮辱的词汇
67,monyet,涉敏,猴子，用作对黑人种族的侮辱性称呼
68,taiiiii',低俗色情,粗俗的性器官词语，属于低俗内容
69,idiot,涉敏,侮辱他人智商的贬义词，属于网络欺凌和名誉诽谤内容
72,gila&gila&gila&gila&gila,涉政,指责某人精神失常，用于侮辱或偏激攻击，具有政治偏向
75,bangsat&bajingan,低俗色情,侮辱性词汇，用于攻击或表达愤怒，具有粗俗和冒犯性质
75,kai',低俗色情,粗俗的侮辱词，具有侮辱性质
76,jakanjing,低俗色情,用来侮辱对方的词，含有“狗”的侮辱性说法
76,bacot,低俗色情,粗俗地说“废话”，带有侮辱性质的词语
77,ngentot&foreplay,低俗色情,涉及性交和前戏的淫秽性行为描述
78,gw&ngentot,低俗色情,涉及性行为的粗俗用语
