text,label
@WABIKURIKIRANA Murabibona mute uyu musore ahawe kuyobora minisiteri runaka hano mugihugu cyacu?",0
"·@Kabwiliog2020 Mwebwe mubona amafrw azabonekaa????,, cg Haracyari urugendo rurerure???",0
@__akanakeza Ese mwabonye video ya Kendrick Lamar Ari kuririmba u Rwanda,0
@__akanakeza Mujye kuri IG story ya ish Kevin murebe iyi ndirimbo ya Kendrick Lamar,0
@__akanakeza Urebye neza ugakora analyze wasanga iminsi 1000 yambere itaragenze neza,0
@@joselyinechap Ese uwo ukunda nawe aragukunda cg urimo Kwihoma?!,0
@04_serge Ikinamico cy' indamutsa za RBA gikurikirwa nabarenga million 3 z' abanyarwanda niba ujya ucyumva siga ,0
@04_serge Knd ubu wasanga mugiye kuvuga ngo iki gihembo nigikaze,0
@actionschoolrw1 Byoroshye cyane aho waba uri hose wakwitoza gukora ikizamini cy’ amategeko y’umuhanda mu buryo bwa ONLINE .,0
@adygrafix Camel Ingamiya Ni inyamaswa ziba muri Africa y'amajyaruguru ndetse no Muri Asia yo hagati.,0
@adygrafix Praying Mantis: Praying mantis ni agasimba gatangaje cyane bitewe n'imiterere yako. Aka gasimba rero mwabantu mwe uko ukabona gafite amaguru y'imbere ateye nkaho kari guhimbaza Umuremyi naniyo mpamvu mu izina ryako wumvamo gusenga. Ukarebye wihuta wagirango ni akantu kiturije…,0
@aga_fish Aha si kanombe se,0
@aga_fish Baravuga ngo uwambaye ikirezi ntamenya ko kera shahu we,0
@agapetigakonje2 Uretse Shemi na Vestine&Dorcas nabahe bahanzi bandi batarengeje imyaka 20?,0
@AgasendababoyiJ Reka iyi tweet tuyibike,0
"@Agronomme_Kubahinzi bibirayi, Ibi nisawa cyane! Warubizise ko ibirayi bikunda ahantu hafite; ✓Imvura: 500mm -750mm kumwaka ✓Ubushyuhe: 10-20 degree Celsius(daytime) and 5-10 degree Celsius nighttime ✓Ubutumburuke:1500m -3000m ✓Ubusharire: PH 5.0-6.0",0
@AissaCyiza Nkeneye aba jeunes ba 2 bashobora gutsindira Airtime ya 10k buri umwe bitewe nuwatanze igisubizo cyiza. Ese nkawe nk’umuntu ukibyiruka? Wumva hakorwa iki ? #DuceIhohoterwa ,0
@akaic5 Nari nabicecetse ariko MANA ngushimiye ibyo wankoresheje ntabwo byari byoroshye ariko warahabaye,0
@akaic5 Nubundi ko uri umukire wampaye agatike kubuntu,0
@Akayovekid Ibi ndabirambiwe nyabusa!,0
@AlexisBimenyim2 Ngaho gura akantu twifanye kukwishimishamo ?,0
@Alicebi77  icecekere uraje ube bigfish mugihe gito uzabibona,0
@alphonsemucyo Ibi ndabirambiwe pe! Ole must go asap.,0
@Annemwiza Urakoze nyakubahwa. Nibahaguruke bajye gukora akazi bashinzwe maze borohere abo bavandimwe na bo bikorere akazi kabo nta jugujugu. #MeforGitifu,0
@AntoineMutware Waramutse #Rwanda! Horana Imana murage mwiza!,0
@Arobaazee Inama y'umunsi: Nuhirwa kurusha abandi aho kubaka urukuta runini rugutandukanya ni abandi ahubwo uzakore ameza manini uzasangiriraho ni abandi Volume niyo??,0
@ashwi_da Muri aba batipe inde ubyina ibintu biryoshye  ugira na video zoryoshye cyane ???,0
