word,category,meaning
3&gunde&sevgili&degistirmek,价值观,每三天换一个男朋友，用于侮辱他人道德行为
3afan&hmar&mrid,价值观,侮辱性称呼，意为'混蛋、有病'
50&yaş&üstü&boş&beleş&tayfa,价值观,50岁以上、保质期已过的懒散群体，含有年龄歧视和侮辱性
8&aylıklar&sürüsü,价值观,八个月大的羊群，用于侮辱他人幼稚或愚蠢
8&yaşında&zeka,价值观,8岁智力，用于侮辱他人智力低下
89&iq,价值观,低智商的侮辱性说法
99lulara,价值观,指代1999年出生的人群，在此语境中表达歧视性和攻击性
a&h&m&a&k,价值观,笨蛋，侮辱性称呼
a..,价值观,脏话粗口，侮辱性表达
acik&secik&giyinen&karilar,价值观,穿着暴露的女人（贬义）
acuze&beyinsiz,价值观,废物的和没脑子的
acınası&toplumdan&dışlanmak,价值观,可怜的人，希望被社会排斥
adam&bozuntusu,价值观,人渣/坏男人
adam&değil,价值观,不是人，用于贬低他人人格
adam&değilsin,价值观,你不是男人（侮辱性）
adam&olamadı&1&kurş&etmez,价值观,不是男人，不值一颗子弹
adam&sallamış,价值观,胡说八道
adam&yerine&koyup,价值观,不把某人当人对待的侮辱性表述
adamın&dibi,价值观,你们是混蛋（侮辱性用语）
adi&piç,价值观,婊子养的，侮辱性称呼
adi&şerefsiz,价值观,卑鄙无耻之徒
adiler&ezikler,价值观,卑鄙的人与失败者
adisin,价值观,婊子（侮辱性称呼）
adiyeii&munda,价值观,低劣肮脏的（骂人话）
adı&şerefsiz,价值观,名字无耻，即辱骂对方是无耻之徒
adınız&yapıştırıcı&markası,价值观,用'胶水品牌'比喻对方名字进行侮辱
ahlak&yoksunu,价值观,道德败坏者
ahlaksız&adam,价值观,不道德的人
ahlaksız&aptalı,价值观,不道德的&笨蛋
ahlaksız&cyrus&aptalı,价值观,不道德的赛勒斯和愚蠢的普布利乌斯
ahlaksız&herif&şantaj,价值观,不道德的家伙和敲诈
ahlaksız&moron,价值观,不道德的人、蠢货
ahmaksindir,价值观,你是白痴
aklı&kıt&üç&kuruşluk&aklın&kuş&kadar&beyin,价值观,智力有限、三块钱的脑子、鸟脑袋
aklın&yok,价值观,没脑子，侮辱性词汇
aklın&yoktu,价值观,你没脑子（侮辱性言论）
aklını&sikeym,价值观,我操你的脑子，表示强烈侮辱
aklınız&nerdeydi,价值观,你的脑子在哪里，一种侮辱性表达
akıl&yoktur&mk,价值观,侮辱他人智商且使用脏话
akıllı&kadın,价值观,暗讽女性不聪明，属于性别歧视言论
ali&naci&küçük&iq,价值观,对个人智力进行贬低性暗示
alkolik&cocuklari&dovuyormusun,价值观,酒鬼&孩子们&你在打，暗示对方酗酒并虐待儿童
alkolik&pazarcı,价值观,酒鬼和小贩的侮辱性称呼
allah&belanı&versn,价值观,真主诅咒你，一种侮辱性诅咒
allah&belanızı&versin,价值观,愿真主惩罚你们，是一种攻击性诅咒
allah&belanızı&versin&serefsizler,价值观,愿真主惩罚你们和无耻之徒（侮辱性诅咒）
allah&belasını&versin,价值观,愿真主诅咒你（诅咒他人兄弟姐妹）
