source_index,word,category,meaning
1,cowok bego,价值观,笨蛋男人，侮辱性称呼用于贬低对方智力
4,vibrator&memek,低俗色情,振动器&阴道，指性玩具插入女性生殖器的露骨性描述
5,selipin tngan kedalem cd lu&bibir memek&klit,低俗色情,将手伸入内裤、阴唇、阴蒂等露骨性器官和性行为描述
6,ngentotin&memek&bumil&binal,低俗色情,粗俗俚语描述性交孕妇阴道并称其淫荡
7,perek&memek,低俗色情,perek指妓女，memek指女性生殖器俚语，用于描述露骨性幻想和行为
8,perek&memeknya,低俗色情,妓女&阴部，指代女性性工作者和女性生殖器，用于露骨性邀请
9,lonte&ngentot,低俗色情,印尼俚语中指妓女和粗俗的性交行为
10,drasex&ngentot&sama adek,低俗色情,擅长某种性行为&粗俗性交&与妹妹，露骨邀请性交的网络黑话
11,nungging&mainin memek&sange,低俗色情,翘臀玩弄阴部&性欲强烈等露骨性行为描述
12,gesekan kontol&memek,低俗色情,生殖器摩擦&女性生殖器粗俗称呼
13,kontol&memek,低俗色情,印尼俚语中男性生殖器（鸡巴）和女性生殖器（屄）的粗俗称呼，用于露骨性描述
14,elusin memek,低俗色情,抚摸阴部，指露骨的性行为描述
14,memek,低俗色情,阴部，印尼语中对女性生殖器的粗俗称呼
15,memek&perek,低俗色情,女性生殖器粗俗俚语&妓女贬义词
16,model seksi&ngentot,低俗色情,性感模特&性交，露骨描述寻求私信性行为的色情邀请
17,gesekin memek,低俗色情,摩擦阴部，指女性生殖器自慰行为
18,ngobelin memek&jilatin klitnya,低俗色情,插入阴道&舔阴蒂，指露骨的性交和口交行为
19,sange&mainin memek&memek adek,低俗色情,发情&玩弄阴道&妹妹阴道，露骨表达性欲和乱伦暗示
21,goblog,价值观,印尼俚语，意为'蠢货'或'笨蛋'，用于侮辱他人智力
22,azam gila,价值观,针对个人Azam的侮辱性称呼，意为'Azam疯了'
23,kh ma'ruf&budek&pilon&nyundul,涉政,針對宗教領袖KH Ma'ruf的侮辱性描述，包括裝聾、裝瞎、頭頂等嘲諷詞語
23,goblok kok kebangetan,价值观,極度笨蛋的侮辱性稱呼，用於人身攻擊
23,gantipresiden2019,涉政,換總統2019的標籤，呼籲推翻現任總統
27,monyet,价值观,猴子，用于侮辱某人愚蠢或低等
28,kunyuk,涉敏,猪，针对特定种族或族群的仇恨侮辱词
28,tenggelam kan,暴力恐怖,淹死吧，诅咒某人遭受身体伤害
28,pengkhianat&penghancur bangsa,涉政,叛徒&国家破坏者，政治性侮辱和攻击
29,al qur'an&tafsir&improv,宗教,将古兰经及其解释/诵读称为即兴表演，亵渎伊斯兰圣典
29,ngentot&tafsir,低俗色情,将粗俗性交行为称为古兰经解释，低俗亵渎
29,kentut&tafsir,低俗色情,将放屁行为称为古兰经解释，极端低俗侮辱
30,gembel&fatwa bigitu,宗教,用'乞丐'侮辱并贬低'那样的宗教法令'
31,suara adzan&iblis la'natilloh 'alaih,宗教,祈祷召唤的声音&魔鬼愿真主诅咒他（用于侮辱伊斯兰宗教元素）
32,si kunyuk,价值观,狗杂种，极端侮辱性称呼
32,muke lacur,低俗色情,妓女脸，性侮辱性描述
32,majikan mesum,低俗色情,猥琐老板，暗示性变态行为
32,mikirin sex,低俗色情,想着性，露骨性指涉
33,ke'te&monyet,价值观,侮辱性称呼，意为'猴子'，用于贬低特定人群或个人的动物化侮辱
36,nyebelin&hipertensi,价值观,烦人&导致高血压，表达对个人的强烈不满和侮辱
39,tolol&anjing&bacot,违法,傻瓜&狗（骂人）&废话（针对个人的粗俗侮辱性称呼）
44,suara&monyet,涉敏,猴子声音，用于种族歧视黑人球员的侮辱性称呼
46,monyet&anjing,价值观,猴子&狗，对人的动物化侮辱称呼
46,gampar lu,暴力恐怖,打你耳光，威胁身体伤害
46,ngentot,低俗色情,性交的粗俗俚语，用于性侮辱
49,bodoh&dungu&idiot,价值观,愚蠢、笨蛋、智障等侮辱性词汇，被错误定义为IQ低于70的临床标准
54,ngentot,低俗色情,印尼语俚语，意为性交或操
59,cowok gembel&otaknya murah,价值观,邋遢男人&脑子廉价，用于侮辱他人品味和智商
62,perek,低俗色情,妓女、荡妇的粗俗俚语
67,berkulit hitam&monyet,宗教,黑皮肤人&猴子，用于种族侮辱性比喻，引发仇恨
72,orang gila&gila,价值观,疯子、精神失常的侮辱性反复称呼
73,orang gila&tanpa kuping,价值观,疯子&没有耳朵 - 侮辱性称呼，意指某人精神失常且不听劝导
74,keluaran togel japan,违法,日本彩票开奖结果（指非法在线赌博彩票）
74,indobet365,违法,印尼博彩网站品牌（在线赌博平台）
75,sempak&bangsat&bajingan,价值观,印尼语粗俗侮辱词，意为婊子、该死的混蛋、无赖流氓，用于人身攻击
75,akun tipu2,价值观,诈骗账号，指责对方为骗子账号，带有诽谤意图
76,jakanjing,价值观,雅加达狗，对Jakmania球迷的侮辱性称呼
76,dengkul laler,价值观,膝盖慢或无能的侮辱俚语，针对特定群体的嘲讽
77,fwb&ngentot&foreplay,低俗色情,friends with benefits（炮友）&性交&前戏，指露骨的随意性行为
78,ngentot&spuas nya,低俗色情,操到尽兴的性交行为描述
78,sembelehin&ndiri,低俗色情,自己射精的露骨性暗示
83,org tua asu,价值观,老年人狗，针对老年人的侮辱性称呼
85,stalk org&org bodo,价值观,跟踪他人&称呼别人为蠢人，用于网络欺凌和侮辱
86,anjing,价值观,狗，用于严重侮辱人的脏话
87,barisan banci,价值观,跨性别者队伍/行列，对LGBT群体的侮辱性称呼
88,bencong&banci,价值观,针对LGBTQ+群体的侮辱性称呼，指变装皇后或人妖
88,bacot lo,低俗色情,粗俗侮辱语，意为你的废话多或多嘴，带有性别攻击意味
88,madesu,价值观,马来西亚妓女的缩写，用于侮辱女性或外貌
89,udik&lu',低俗色情,印尼俚语中女性生殖器的粗俗称呼&你，整个短语意为‘你的阴部’
90,bangke&njirrr,价值观,印尼俚语脏话，'BANGKE'意为'屎'或'狗屎'用于侮辱，'NJIRRR'为'anjir'的变体类似'操'或惊叹脏话
92,emang udik,价值观,印尼粗口，意为'真他妈的蠢货或傻逼'
95,orang udik,涉敏,乡下人/乡巴佬，带有地域族群歧视侮辱含义
95,dsar orng udik,涉敏,乡巴佬的基本，针对农村人的侮辱性表述
96,cebong mulia,涉政,对政治支持者（通常指Jokowi支持者）的讽刺侮辱称呼，带有政治派系攻击意味
96,kampret&makan tai,价值观,蟑螂&吃屎的侮辱性比喻，用于贬低对方生活方式，严重违背道德规范
97,lancau,低俗色情,粗俗的性器官代称，用于强烈骂人
97,babi,宗教,猪，对穆斯林的侮辱性称呼，亵渎伊斯兰禁忌
99,ulama&goblog,宗教,宗教学者&愚蠢笨蛋，用于侮辱宗教人士
99,adzab allah,宗教,安拉的惩罚，带有宗教诅咒和亵渎意味
99,goblog bin bahlul&cebong,价值观,超级愚蠢像巴鲁尔&政治侮辱称呼（指支持者），用于个人攻击和诽谤
101,kontol gede,低俗色情,粗俗指男性生殖器大的下流表达，用于性骚扰
102,bajingan anjing&babi goblog,价值观,杂种狗&蠢猪，极端侮辱性骂人词组，用于攻击民族或个人
103,kampret&gembel,价值观,俚语老鼠&乞丐，侮辱低贱或流氓人士
104,gembel&warnet,价值观,网吧乞丐，侮辱特定用户为低贱网吧乞丐的贬低性称呼
105,kunyuk,价值观,针对华人或特定族群的侮辱性贬称，常用于种族歧视
106,kunyuk,价值观,侮辱性称呼，意为猴子或蠢货，用于嘲讽和贬低他人
107,udik,价值观,乡巴佬、愚昧落后的侮辱性称呼
108,orang bego,价值观,傻瓜或笨蛋，对人的智力进行侮辱性称呼
109,banci,价值观,娘炮或变性人，带有侮辱性和歧视性的性别贬低称呼
110,congor,低俗色情,女性生殖器的粗俗俚语
110,tai congor,低俗色情,像屎一样的阴道，低俗侮辱性比喻
110,lebar kaya anjing,低俗色情,宽像狗的阴道，露骨性侮辱暗示
111,babi,宗教,猪，常作为对非穆斯林的宗教侮辱性称呼
113,sarap&main2 gitar,低俗色情,性兴奋发情&弹吉他的性双关语，指性行为
114,selimutin&tidurin,低俗色情,盖毯子&睡觉，常用于暗示性行为而不睡觉的亲密场景
114,kampret,低俗色情,印尼俚语，粗俗骂人词意为老鼠/混蛋，常带低俗侮辱意味
115,idiot,价值观,白痴、智力低下的侮辱性称呼
115,menista&menghujat,价值观,侮辱和诅咒他人的行为
116,si kunyuk,宗教,侮辱性称呼，常用于嘲讽宗教偶像或信徒，带有亵渎意味
116,para penyembahnya,宗教,其崇拜者，结合上下文指特定宗教信徒，用于煽动仇恨
116,ahok menista agama,宗教,Ahok侮辱宗教，指前雅加达省长宗教亵渎事件，引发SARA仇恨
116,bermental pecundang,价值观,懦夫心态，用于侮辱个人人格，构成网络欺凌
117,minta di penci jidat lu,暴力恐怖,请求被打额头，威胁性暴力表达
117,kampret&gelik&songong,价值观,印尼俚语侮辱词，意为讨厌鬼、恶心、自大狂，用于人身攻击
118,ngentot,低俗色情,印尼语粗俗俚语，指性交或操
119,kecoa&got tai&makan tai,低俗色情,蟑螂&粪便沟&吃屎，用于低俗侮辱某人低贱肮脏
120,bani kampret&212,宗教,蝙蝠后代212（针对伊斯兰212运动支持者的侮辱性族群称呼）
121,bajingan&indosat,价值观,卑鄙小人&公司名，用于侮辱特定实体
122,bangsat&bodoh&tolol&bajingan&tengik,价值观,一系列印尼语脏话和侮辱词，意为该死的、蠢货、傻瓜、人渣、腐烂的，用来诅咒和侮辱他人
124,babi&anjing,违法,猪&狗，动物侮辱词用于诋毁和侮辱他人
125,gembel&kaum cetek,价值观,乞丐（侮辱性称呼）&浅薄之人（贬低智力与性格的侮辱）
126,banci,价值观,变性人或娘炮的侮辱性称呼，用于嘲讽性别非传统者
127,titip bogem,暴力恐怖,委托拳击，煽动直接殴打暴力
127,kunyuk,价值观,猴子，黑人或特定族群的侮辱性贬低称呼
128,bangke luh,低俗色情,印尼粗口，意为'该死的家伙'或带有肛门性侮辱的骂人话
129,bangke,低俗色情,印尼语脏话，意为婊子或该死的混蛋，用于严重侮辱他人
130,orang bego&bego,违法,傻瓜或笨蛋的侮辱性称呼，用于网络欺凌
131,babi&ayat,宗教,猪&经文，将伊斯兰古兰经经文比作猪的亵渎性表述
132,bencong,价值观,对跨性别者或女性化男性的贬义侮辱称呼，严重违背印尼伊斯兰道德规范
133,di memek,低俗色情,在阴部，指女性生殖器的粗俗俚语表达
134,muncrat&memek,低俗色情,射精&阴道，描述性交中内部射精的露骨表达
135,emng bego,价值观,针对个人的侮辱性称呼，意为'你这个笨蛋'
136,bacot&lu&diyem,价值观,粗鲁侮辱命令，意为'你多嘴闭嘴'
139,ncib,低俗色情,网络黑话，源自 'anjing cibai'，意为狗屄等极端性侮辱
139,goblog,低俗色情,goblok 的变体，意为蠢货、傻逼等侮辱性称呼
140,goblok&permanen,价值观,永久的白痴，严重侮辱性称呼
142,memek&croot,低俗色情,memek指女性生殖器俚语，croot指肿胀或性兴奋状态的粗俗表达
143,gembel&banget,价值观,极度像乞丐或邋遢鬼的侮辱性描述
144,scamming,违法,诈骗活动
144,be go,价值观,笨蛋、傻瓜的侮辱性称呼
145,digauli,低俗色情,被性交的粗俗俚语
145,kencing onta&tai babi,低俗色情,尿骆驼和猪屎的粗俗生理侮辱表达
146,laknat&tuhan,宗教,诅咒与上帝，亵渎宗教祈祷的侮辱性表达
146,doa org tolol&buta tak diterima tuhan,宗教,愚蠢盲人祈祷不被上帝接受，亵渎宗教信仰
146,cacían&disrespect,价值观,咒骂与不尊重，针对个人的侮辱性攻击
146,org indo&sekolah subsidi&ilmu abal2,价值观,印尼人补贴学校假知识，针对族群的歧视性嘲讽
