tweet	label
"lmao.. na u naa hahahaha.. rt""@username : ndi ofe mmanu"""	Hate
@username hapu ndi ofe mmanu, ha wa  n'asu asusu ha. anyi ga n'a asu nke anyi. igbo kwenu igbo di nma.	Hate
@username iwunoh ewu ndi ofe mmanu	Hate
@username if ndi igbo won't mobilize to take over this country in 2023, i'm afraid we can't anymore. instead onye ofe mmanu or onye ugwu will be there, let's push our worst candidate mana ka oburu onye igbo.  anyi abughi ndi nzuzu!	Hate
@username nwanne hapu ndi ofe mmanu 😂😂	Hate
"lol onye alaa""@username : ndi ofe mmanu rie nu. rt @username : igbo kwenu"""	Hate
@username ndị ofe mmanụ 😂😂	Hate
@username ndi ofe mnanu agbakasigo otu gi na nne gi, enweghi zi uru ï bara	Hate
@username ndi ugwu na ndi ofe mmanu adigokwa confused😁😁😁😁 biko sualu'm confused naa igbo😁😁😁	Hate
odogwu aburo guy name. nwanne'm e bu a guy. hapu ndi ugwu na ndi ofe ofe mmanu.  na men you be. o mpa !!! ##url	Hate
@username bunch of apc ewu na mkpi... ndi eriri eri, from the person that made the tweet to ụmụ ewu na mkpi ibe ya in the comment section.  ụbụrụ na amamihe unu=zero.	Hate
"oh? ""@username : umu nwoke anambra a ga anolu ebe ahu na ekwoghali ndi ofe mmanu analu ha nwaamulunanma -______"""	Hate
@username afam inugo nụ na imere ya outsider, kaba arụ tụgharịa nwa a ka ọbụrụ insider maka ịnụ na osobego ndị ùgwù ma ọ bụ ndị ofe mmanụ	Hate
@username am just here for comments from ndi úgwù na ndi ófē mmanu. they will always carry ndi igbo mata for head like gala. ya diba!	Hate
imegheri a ahu okwu, isi ka i hapu imegheri ahu, okwu!  kedu ihe umu igbo ji isi wee kote na obodo a bu nigeria 🇳🇬. okwa ndi ugwu na ndi ofe mmanu na eme nke ha, anyi agbachi nkiti, keduzi ihe kpatalu nke anyi ji apu niche?  o, chukwu okike zobakwa 🙏  anyi #igbotwittercommunity.	Hate
