index,text,hate_speech,false_info,violence,harassment,obscenity,illegal,national_security,overall_risk,disagreement
0,"- Dia sendiri yang ngiklanin promo cashback di appnya\n- Penggunaan kode berhasil tapi cashback ga masuk2\n- Bilangnya ada kesalahan pada sistem dan promo sudah berakhir\n\nBodo amat woy kesalahan sistem bukan urusanku, aku hanya ingin cashback 20% yang dijanjikan olehmu:( USER URL",0,0,0,0,0,0,0,0,0
1,- disaat semua cowok berusaha melacak perhatian gue. loe lantas remehkan perhatian yg gue kasih khusus ke elo. basic elo cowok bego ! ! !',0,0,0,1,0,0,0,1,0
2,- kampret kan kalo typo-nya di email kantor ketika gue ngerasa ngetik kata serpong ternyata pas udah ke kirim ga ada ( r ) nya \xf0\x9f\x98\x91',0,0,0,0,0,0,0,0,1
3,"- Mending makan disini lebih murah, buang-buang duit lo ntar juga jadi tai.""\n\nAtau gak si A beli barang murah, terus si B komen ""Ih kok lo beli disitu sih, kan murah pasti bahannya gak bagus.""\n\nLalu, si B secara gak langsung dan gak merasa udah nyakitin hati si A dengan perkataan'",0,0,0,0,0,0,0,0,1
4,/biarin oppa masukim vibrator ke memek/ oppa kok di masukin? Aku kan mau pemotretan....\nLanjut?',0,0,0,0,1,0,0,1,0
5,"/peluk badan lu dr belakang; selipin tngan kedalem cd lu/ ngaceng nih yang- /gesekin jari tengah ke bibir memek lu; teken"" klit lu/'",0,0,0,0,1,0,0,1,1
6,ada bumil ga? Jadi pengen ngentotin memek bumil yang binal frontal dan suka ngelonte pas suaminya gaada',0,0,0,0,1,0,0,1,1
7,ada perek yang imagine nya liar? Yg longrep gak cuma desah doang. Mau gue mainin memeknya. Langsung follback ya',0,0,0,0,1,0,0,1,1
8,ada perek yang mau dimainin memeknya? Yang longrep ya',0,0,0,0,1,0,0,1,1
9,"cari yeoja yg chara seksi lonte, suka spam pic charanya, yg mau ngentot. Rep / like ya - draxe'",0,0,0,0,1,0,0,1,1
10,cowo yang jago drasex mana? sini ngentot sama adek - luvian',0,0,0,0,1,0,0,1,0
11,daritadi nungging sambil mainin memek sange bgt cuy:(',0,0,0,0,1,0,0,1,0
12,duh rindu gesekan kontol doi ke memek~',0,0,0,0,1,0,0,1,0
13,jepitin kontol gua pake memek lu sini',0,0,0,0,1,0,0,1,1
14,lewat kamar kamu liat kamu elusin memek/ heh ngapain itu tangannya? -barom fc',0,0,0,0,1,0,0,1,1
15,memek perek pengen di gesekin ke abs cowok nih mhh',0,0,0,0,1,0,0,1,1
16,model seksi sini ngentot di dm sama gua pref detail fr : Bule',0,0,0,0,1,0,0,1,1
17,noona aku pulang /teriak/ noona dimana?/ngintip kamarnya;kaget liat noona lagi gesekin memek ke bantal/ mmh',0,0,0,0,1,0,0,1,1
18,pingin ngobelin memek kamu sambil aku jilatin klitnya hhhmmm',0,0,0,0,1,0,0,1,1
19,"sange hm, mas mainin memek adek dong sayang'",0,0,0,0,1,0,0,1,0
20,""" Topeng monyet ke Ramayana?\n\nYa.\n\nYa.\n\nYa.\n\nYa. "" URL",0,0,0,0,0,0,0,0,0
21,"""...Jadi biang kegaduhannya itu PKS. Saya sih gak percaya. Mosok PKS kayak gitu \xf0\x9f\x98\x8a"" lanjut beliau.\n\nProfesor yang nulis itu, kalian jangan keminter sok kontra sama profesor. Beliau menuntut ilmu keliling dunia bukan untuk jadi orang goblog. Yang goblog ya kalian ini! Aku juga. \xf0\x9f\x98\x82'",0,0,0,0,0,0,0,0,1
22,"USER USER Bapak aku Nor'Azam . Tu Azam gila hahaha""",0,0,0,1,0,0,0,1,1
23,"USER USER USER kalo KH Ma'ruf ngomong pada belaga budek , pada belaga pilon, masih nyundul \xf0\x9f\x91\x89#gantipresiden2019 ?? goblok kok kebangetan?\n#T3tapJokowi #T3tapJokowi""",1,0,0,1,0,0,0,1,1
24,"USER HUHUHUHU TIBA2 SM KIM BUM PLOT TWIST BANGETTT. SUMPAH AKU TUH UDH RELAIN DIA SM MONYET BENERAN BIAR MONYET MOVE ON EH TAUNYA AMA DIA:')) Jan jangan monyet gaberani deketin dia karna tau udh ada yg punya:(""",0,0,0,0,0,0,0,0,1
25,"USER USER Dia lupa ini twitter, bukan instagram yang kalo foto pasti ada yg komen 'ih cantik' 'cantikan kamu lah' 'ngga cantikan kamu' 'ih anjing cantikan kamu tau' 'ih babi kamu yang cantik pokoknya' dst.""",0,0,0,0,0,0,0,0,1
26,"USER USER 'Wkwkwkwk tai ociy'\n'ociy kangen sama junev?'\n'jangan jahat sama ka jendeuk'\n\n/ngesend meme/\n\n'ciy, jangan nyebut dia mulu'\n'dasar jomblo'\n'ociy udah move on?'\n\ndah ya hehehe""",0,0,0,0,0,0,0,0,1
27,"USER sa ingat monyet mana quote ni :')""",0,0,0,0,0,0,0,0,1
28,USER USER Tenggelam kan kunyuk pengkhianat penghancur bangsa yg satu'a lagi pak URL,1,0,0,0,0,0,0,1,1
29,"USER USER USER ~improvisasi itu lagu..al Qur'an itu tafsir..masak susah mikir gituan..murotal itu improv..Tilawatil Qur'an itu improv..raut mukamu itu tafsir..cara kentutmu itu tafsir..cara ngentot aja tafsir..cara kawin itu tafsir...ngaji yg bener.!!""",1,0,0,0,1,0,0,1,1
30,"USER Gembel aja bisa kalau cuma fatwa bigitu. (Tabi')""",1,0,0,0,0,0,0,1,1
31,"USER Yg terbirit birit tunggang langgang lintang pukang dengar suara adzan itu iblis la'natilloh 'alaih""",1,0,0,0,0,0,0,1,1
32,"USER USER USER hahaha bener lo USER giliran majikan dia mesum 7 taon si kunyuk mingkem USER sok suci pula ngatain 'mikirin sex' muke lacur lu nyuk..""",1,0,0,1,1,0,0,1,1
33,"USER Dia ..orang to? Rumongso ku ke'te alias monyet""",1,0,0,0,0,0,0,1,1
34,"USER Okesip otak bolot gue konfyus :')""",0,0,0,0,0,0,0,0,1
35,"USER USER Emosi gua sama loey hyung anjir gua dah mikir keras maksud eventnya apa sampe tepelongo bego malah diakhir dia cuma bilang 'ini semua cuma mimpi' anjir emosi pangeran \xf0\x9f\x98\xa9""",0,0,0,0,0,0,0,0,0
36,"21. Kekuranganmu lebih banyak dari kelebihanmu hehehe. \n\n- Suka ngaret. Kalau balas pesan tuh lamaaa banget. \n- Nyebelin. Suka buat aku hipertensi.\n- Suka ngatain aku yang aneh-aneh. I'm okay : )\n- Ngambekan.\n- Lemot.\n- Bolot.\n- Repeat.\n\nIni dah aku buat pas jadi 288c seneng gak?""",0,0,0,0,0,0,0,0,1
37,"""Ayo Alex, jangan udik.."" gumamnya merutuki diri sendiri.\n\nIa lanjut menulis, \' Atmosfer di planet ini belum cukup baik untuk ditinggali manusia. \''",0,0,0,0,0,0,0,0,0
38,"bocah pada ngajak nongton galapremiere, ane tanye pelmnye ape? 'Pengabdi Setan' kate doi pade~\n\nane kire dikibulin; egataunye beneran dong brengsek! :)) URL",0,0,0,0,0,0,0,0,0
39,"""brisik"" YA BISTU LO BRISIK JUGA BAHKAN LBH BRISIK BACOT TOLOL ANJING MANUSIA GA TAU DIRI'",0,0,0,1,0,0,0,1,1
40,"'Cinta tidak harus memiliki' kata org yg tdk prnah dicintai, wakaka kasian bgt yg suka bilang kya gtu. Cinta itu harus memiliki, bego.""",0,0,0,0,0,0,0,0,1
41,"Dari jurus 'Orang Gila Mengebut Lalat,Ajian Tatar Bayu,Jurus Kunyuk Melempar Buah,Dewa Tidur,Pukulan Matahari,Ajian Ngrogoh Sukmo,Hanya Siulan Kapak Naga Geni 212 Yang Bisa Mengalahkan Dewi Siluman Bukit Tunggul\n#wirosableng \n#siapsableng \nUSER \nUSER URL",0,0,0,0,0,0,0,0,0
42,"DISEBUT 'KAMPUNGAN' OLEH NAGITA SLAVINA, BEGINI REAKSI AYU TING TING\n\nArtis peran Nagita Slavina secara terus terang menyebut aksi goyang dangdut yang dilakukan Ayu Ting Ting kampungan\n\n#NAGITASLAVINA #AYUTINGTING #RAFFIAHMAD #KAMPUNGAN URL",0,0,0,0,0,0,0,0,1
43,"Even dah setiap hari tengok pon, still tersenyum. You're so cute. \xf0\x9f\x98\x8d""",0,0,0,0,0,0,0,0,0
44,FIFA siasat isu `suara monyet' aksi Perancis-Russia URL,1,0,0,0,0,0,0,1,1
45,"""Hah?"" Ari melongo sejenak setelah mendengar ucapan orang yang baru saja meneriakinya. \n\n""Punten, mas, di deket situ ada anjing saya, enggak?"" URL",0,0,0,0,0,0,0,0,0
46,"iya, jadi gitu ya monyet, anjing! gua gampar lu lama-lama. kesel jadinya astaghfirullah hal'adzim, gaboleh ngomong kasar, maapin 3x, NGENTOT URL",0,0,1,1,1,0,0,1,1
47,"Jangan suka pamer.. \nKarena gak ada orang yg benar2 peduli tentang apa yg kau pamer kan. \nBukan pujian yg akan kau dapatkan, melainkan mereka akan mengatakan 'KAMPUNGAN'.""",0,0,0,0,0,0,0,0,0
48,Kalau gini mreka pasti pura2 budek \n\xf0\x9f\x98\x81\n\nKH Ma'ruf: Prabowo Jangan Cuma Bikin Gaduh \xe2\x80\x93 VIVA URL,0,0,0,0,0,0,0,0,0
49,"Kata-kata 'bodoh' 'dungu' dan 'idiot' semua secara teknis mengacu pada seseorang dengan nilai IQ di bawah 70. #Psikologi""",0,0,0,0,0,0,0,0,1
50,"""Kau yang mulai maka kau juga yang harus selesaikan."" (3 idiot). #TweetDSAP'",0,0,0,0,0,0,0,0,0
51,"""Kita akan belajar giat, dengan penuh dedikasi, tapi bukan hanya untuk lulus ujian."" (3 idiot). #TweetDSAP'",0,0,0,0,0,0,0,0,0
