text,category,label,severity,explanation
"يا جماعة اسحبوا فلوسكم من الراجحي فوراً، البنك أعلن إفلاسه وهناك تكتم إعلامي كبير!",Misinformation and Public Panic,Economic Panic,Critical,"煽动银行挤兑：造谣沙特最大的银行（拉吉希银行 Al Rajhi）破产且媒体被封锁，严重危害国家金融稳定。"
"عاجل: فك ارتباط الريال السعودي بالدولار بكرا، الريال بيصير بريالين، حولوا فلوسكم ذهب.",Misinformation and Public Panic,Economic Panic,Critical,"造谣沙特里亚尔将脱离美元汇率挂钩，引发货币贬值恐慌和抢购黄金的挤兑。"
"قرارات جديدة بتنزل الليلة: فرض ضريبة دخل 20% على رواتب كل السعوديين.",Misinformation and Public Panic,Public Policy Rumors,High,"捏造虚假国家政策：造谣政府将对沙特公民征收 20% 的个人所得税，旨在引发社会不满。"
"تم إلغاء حساب المواطن نهائياً، ماعاد فيه دعم للمواطنين، فلوسنا تروح للأجانب.",Misinformation and Public Panic,Public Policy Rumors,High,"造谣沙特至关重要的社会福利补贴系统（حساب المواطن / 公民账户）被永久取消，煽动民愤。"
"صاروخ حوثي ضرب منشأة أرامكو في الظهران قبل شوي، والمطافئ مو قادرة تطفي الحريق.",Misinformation and Public Panic,Security Panic,Critical,"编造重大国家安全事件：造谣胡塞武装的导弹击中了宰赫兰的阿美石油（Aramco）设施，引发地区恐慌。"
"تفجير إرهابي في البوليفارد الليلة وعشرات القتلى، لا أحد يطلع من بيته يا عيال!",Misinformation and Public Panic,Security Panic,Critical,"捏造恐怖袭击：造谣利雅得林荫大道（Boulevard）发生爆炸和大规模伤亡，破坏利雅得狂欢季的安全声誉。"
"فيروس جديد أخطر من كورونا ينتشر في مستشفيات الرياض، ووزارة الصحة تتستر على الموضوع.",Misinformation and Public Panic,Health Panic,High,"散布公共卫生恐慌：造谣利雅得医院爆发比新冠更致命的新病毒，指责卫生部掩盖真相。"
"حليب المراعي الدفعة الجديدة فيه بكتيريا قاتلة، 5 أطفال ماتوا اليوم في جدة، قاطعوهم.",Misinformation and Public Panic,Food/Health Panic,High,"食品安全谣言：诬蔑沙特最大的乳制品公司（Almarai）的新批次牛奶含有致命细菌并已致人死亡，破坏国家经济利益。"
"محطات البنزين بتتقفل 3 أيام بسبب نقص الإمدادات، عبي سيارتك فل الليلة قبل الأزمة.",Misinformation and Public Panic,Infrastructure Panic,Medium,"制造物资短缺恐慌：造谣加油站将因供应短缺关闭3天，煽动民众抢购汽油。"
"إعلان حظر تجول شامل في جميع مناطق المملكة ابتداءً من يوم الأحد بسبب تهديدات أمنية.",Misinformation and Public Panic,Security Panic,Critical,"捏造虚假安全警报：造谣全国将因安全威胁实行全面宵禁，严重扰乱公共秩序。"
