source_index,word,category,meaning
1,cowok&bego,价值观,愚蠢的男人（侮辱性词汇）
4,vibrator&memek,低俗色情,振动棒与女性生殖器（粗俗语）
5,memek&cd&klit,低俗色情,女性阴部、阴道、阴蒂等露骨性器官名称
6,ngentotin&memek&bumil,低俗色情,操孕妇的逼
7,perek&memek,低俗色情,妓女、女性生殖器（粗俗）
8,perek&memek,低俗色情,妓女&阴部
9,lonte&ngentot,低俗色情,妓女/荡妇和性交（粗俗）
10,drasex&ngentot&adek,低俗色情,性行为相关黑话及乱伦暗示
11,mainin&memek,低俗色情,玩弄女性生殖器（粗俗）
12,kontol&memek,低俗色情,男性生殖器和女性生殖器的粗俗称呼
13,kontol&memek,低俗色情,男性生殖器和女性生殖器的粗俗称呼
14,memek,低俗色情,女性生殖器（脏话）
15,memek&perek,低俗色情,女性生殖器官和妓女的粗俗称呼
16,ngentot,低俗色情,性交的粗俗说法
17,memek&gesekin&bantal,低俗色情,女性生殖器摩擦枕头的露骨性行为描述
17,ngintip,低俗色情,偷窥，侵犯隐私的行为
18,memek & klit,低俗色情,女性生殖器、阴蒂
19,sange&memek,低俗色情,性兴奋和女性生殖器的粗俗用语
23,belaga budek&belaga pilon&goblok,涉敏,装聋、装傻、愚蠢，针对印尼副总统的侮辱性称呼
27,monyet,涉敏,针对华裔或其他族群的歧视性称呼，含义为猴子
28,kunyuk&pengkhianat&penghancur bangsa,涉敏,猴子叛徒民族毁灭者，针对华人的侮辱性称呼
29,ngentot,低俗色情,粗俗的性交用语
31,iblis&la'natilloh 'alaih,宗教,魔鬼，真主诅咒他
32,kunyuk,涉敏,猴子，对华人的种族歧视称呼
32,muke lacur,低俗色情,妓女脸，性侮辱性人身攻击
33,monyet,涉敏,猴子（种族侮辱用语）
39,bacot&tolol&anjing,涉敏,闭嘴、愚蠢、狗，是印尼语中常见的侮辱性脏话组合
42,kampungan,违法,土气、乡下人，用于侮辱他人
46,monyet&anjing,涉敏,猴子和狗，用于侮辱他人的贬低性词汇
46,gampar,暴力恐怖,殴打，暴力威胁
46,ngentot,低俗色情,性交的粗俗表达，色情词汇
54,ngentot,低俗色情,性交（粗俗用语）
57,wong&ndeso,涉敏,对农村人的侮辱性称呼，带有贬低无知意味
59,otaknya&murah,涉敏,侮辱他人智力低下的词汇
62,perek,低俗色情,对女性的侮辱性称呼，意为妓女
66,monyet,涉敏,猴子（对华人的种族歧视称呼）
67,monyet,涉敏,猴子（对黑人的种族歧视性称呼）
69,orang&idiot,价值观,侮辱性称呼，意为'白痴的人'，用于贬低他人人格。
72,orang&gila,涉敏,对他人进行贬低性称呼，意为'疯子'
73,orang gila&tampa kuping,价值观,没有耳朵的疯子，用于贬低和侮辱他人人格
74,indobet365,违法,赌博网站平台
75,bangsat&bajingan,涉敏,混蛋和恶棍等侮辱性称呼
76,jakanjing,价值观,雅加达狗，侮辱雅加达Persija俱乐部支持者的黑话
76,dengkul laler,价值观,苍蝇膝盖，印尼粗俗俚语，意为无用或低劣的人
77,ngentot,低俗色情,性交（粗俗用语）
78,sembelih,暴力恐怖,宰杀，此处指对人进行暴力宰杀
78,ngentot,低俗色情,性交的粗俗词语
78,culik,违法,绑架，非法拘禁
83,org tua asu,涉敏,侮辱父母的粗俗称呼，意为'父母狗'
85,stalk&bodo,涉敏,跟踪并辱骂他人愚蠢
86,anjing,涉敏,狗（用于侮辱人的强烈贬义词）
87,banci,涉敏,对跨性别者或娘娘腔的侮辱性称呼
88,bencong&banci,价值观,对跨性别者或娘娘腔男性的侮辱性称呼，相当于中文的'人妖'或'娘炮'
89,udik,涉敏,指乡下人、土包子，带有贬低和歧视意味
95,orang&udik,涉敏,对农村或小地方人的贬称，带有歧视性
96,kecoa&makan&tai,涉政,蟑螂吃屎，是印尼政治斗争中侮辱对立支持者的黑话。
97,lancau,低俗色情,脏话，类似'操'
97,babi,宗教,猪，常用来侮辱穆斯林，视为宗教敏感
99,ulama&goblog2in,宗教,将伊斯兰学者辱骂为愚蠢的人
101,kontol&gede,低俗色情,大屌，男性生殖器的粗俗说法
102,bajingan&anjing&babi&goblog,涉敏,狗娘养的蠢猪，针对特定民族的侮辱性称呼
103,kampret&gembel warnet,涉政,蝙蝠和网吧流浪汉，是对反对派支持者或低端网民的侮辱性称呼
104,gembel warnet,价值观,网咖流浪汉，侮辱性称呼
105,kunyuk,涉敏,猴崽子，侮辱性黑话
106,kunyuk,涉敏,对他人进行侮辱性称呼，意为'猴子'或'蠢货'
109,banci,涉敏,人妖，对变性人的贬称
110,tai&anjing,价值观,像屎和狗一样的侮辱性词汇，用于贬低他人
111,babi,宗教,猪（对穆斯林的宗教侮辱）
116,si kunyuk,涉敏,侮辱性称呼，指“那个猴子”，用于贬低他人
117,kampret,价值观,印尼语中的侮辱性称呼，意为‘蝙蝠’，用于辱骂他人
117,minta&di&penci&jidat,暴力恐怖,威胁要打对方额头，表达暴力威胁
118,ngentot&straight,低俗色情,与异性恋者性交
119,kecoa & tai,价值观,用蟑螂和屎侮辱对方，意为对方是肮脏低贱的人
120,bani&kampret&212,宗教,对212运动参与者的侮辱性称呼，'bani kampret'意为蝙蝠帮，暗示其低劣或邪恶
122,bangsat&bodoh&tolol&bajingan&tengik,涉敏,混蛋、愚蠢、傻逼、贱人、恶臭等侮辱性词汇
124,babi&anjing,涉敏,猪和狗，用作侮辱性称呼
125,gembel&kaum cetek,涉敏,流浪汉、浅薄的人，用于侮辱他人智力和社会地位
126,banci,价值观,对男性表现出女性化特征的侮辱性称呼，意为'娘娘腔'或'人妖'
127,kunyuk,涉敏,对华人的侮辱性称呼（猴子）
127,titip bogem,暴力恐怖,预订一拳，威胁使用暴力
128,bangke&luh,低俗色情,印尼语中的粗口，意为'去你妈的'或'你个混蛋'
129,bangke,低俗色情,混蛋，侮辱性粗话
130,kaya orang bego,价值观,像个傻子一样，用于侮辱他人智商
131,babibabi,宗教,侮辱性称呼，指猪，可能冒犯穆斯林
132,bencong,涉敏,对变性人或男同性恋的侮辱性称呼
133,memek,低俗色情,女性生殖器的粗俗俚语
134,memek&muncrat,低俗色情,内射在阴道（女性生殖器）
139,ncib,低俗色情,阴茎的粗俗俚语
139,pelcija,低俗色情,妓女的变体侮辱
139,goblog,涉敏,愚蠢的侮辱性词汇
140,goblok permanen,价值观,永久愚蠢，侮辱性词汇
142,memek&croot,低俗色情,女性生殖器&精液
144,bego,价值观,笨蛋、傻瓜，用于人身攻击的侮辱性词汇
145,kencing onta & tai babi,低俗色情,骆驼尿和猪粪，粗俗的排泄物侮辱
145,sakitnyaditelor,低俗色情,睾丸疼痛，性器官相关粗俗表达
146,tolol&buta&cacian&disrespect,价值观,愚昧、盲目、辱骂、不尊重，用于人身攻击的贬义词汇
147,kunyuk,价值观,猴子（骂人话）
150,brengsek,低俗色情,印尼语中表示'混蛋'的侮辱性词语
151,nyewa&pecun,违法,雇佣妓女
153,kunyuk,涉敏,猴子（侮辱性称呼，指智障或低等人）
155,sompret&bangsul,价值观,用于辱骂他人的脏话，意为狗娘养的、混蛋
156,tolol&pengecut,价值观,侮辱性称呼，'笨蛋'和'懦夫'
157,jilatin&memek,低俗色情,舔阴（露骨性行为描述）
159,bajingan,涉敏,混蛋（印尼语骂人话）
160,kunyuk,价值观,猴子（贬义），用于辱骂他人
161,kunyuk,价值观,骂人话，意为猴子，用于侮辱他人。
163,alay tai,价值观,对风格土气夸张的人的侮辱性称呼，'tai'意为屎，整体为贬低
164,bacot&bat&bgst,涉敏,印尼语粗口，意为'多嘴混蛋'，用于辱骂他人
165,bacot,涉敏,骂人话，意为胡说八道
170,asu,低俗色情,狗（印尼语粗口）
171,pisang&asw,低俗色情,香蕉（阴茎代称）和狗屎（粗口）
174,bacot & elu & babi,价值观,你嘴贱，猪，针对个人的侮辱性言语
174,gelut,暴力恐怖,打架、斗殴，煽动暴力行为
175,tolol&njink,涉敏,愚蠢和狗的粗俗变体，用于辱骂他人。
176,bolot,涉敏,印尼俚语，意为'愚蠢'或'笨蛋'，一种侮辱性称呼。
180,jilat&memek,低俗色情,舔阴部，侮辱性性行为词汇
182,kunyuk,涉敏,猴子，侮辱性称呼，用于贬低他人
184,banci&kampungan,涉敏,侮辱跨性别者/娘娘腔的乡巴佬
185,tai asu,涉敏,狗屎，用于侮辱总统的脏话
187,babi,涉敏,猪，用于骂人的贬义称呼
189,muke&lu&monyet,涉敏,你的脸像猴子，一种针对外貌或种族的侮辱性表达
190,babi,涉敏,猪，用作侮辱性称呼
192,pisang_bule,涉敏,对外国人的种族侮辱性称呼
192,kontol,低俗色情,男性生殖器粗话
193,bego,涉敏,愚蠢
195,bangsaanjing,涉敏,将人比作狗种族的侮辱性称呼
195,maki&hamun&buli,涉敏,辱骂和欺凌行为
196,banci,涉敏,针对性少数群体的侮辱性称呼，意为'娘娘腔'
196,chat mesum,低俗色情,淫秽聊天，涉及色情内容
196,munusia munafik,宗教,伪善的人类，常指宗教上虚伪者
199,kontol,低俗色情,阴茎，印尼语粗口
199,memek,低俗色情,女性生殖器，印尼语粗口
199,monyet,涉敏,猴子，针对华人的种族侮辱
199,agama kontol,宗教,宗教侮辱，意为阴茎宗教
202,goblok,涉敏,愚蠢、傻瓜，用于侮辱他人的词汇
205,ditidurin,低俗色情,"性行为暗示，意为""被睡""（发生性关系）"
206,tai,低俗色情,屎，用于侮辱的粗话
207,d sapu,暴力恐怖,清扫、打击，此处指实施暴力制裁
207,kunyuk,价值观,猴子，用作侮辱性称呼
208,bego&goblog,违法,印尼语中表示“笨蛋、傻逼”的侮辱性词汇，用于人身攻击
209,tai kucing,低俗色情,猫屎，印尼语粗话，用于侮辱他人为废物
210,jual&memek,低俗色情,在社交媒体上卖淫/出售女性生殖器（粗俗）
210,pecun,低俗色情,混蛋/骂人话
211,bolot,涉敏,对对方的侮辱性称呼，意为'傻瓜'、'蠢货'
214,mampus&kunyuk,价值观,去死吧猴子（粗俗侮辱性称呼）
216,tolol,价值观,愚蠢，用于辱骂他人
217,ketololan & tolol,价值观,愚蠢和白痴，用于侮辱他人的粗俗词汇
219,tolol,涉敏,骂人愚蠢的侮辱性词汇
223,anjing&brengsek,违法,"侮辱性称呼，意为""狗""和""混蛋"""
223,nampar,暴力恐怖,"暴力威胁，意为""打耳光"""
224,tai,低俗色情,印尼语俚语，意为“屎”，用于侮辱他人
225,tolol,价值观,愚蠢，用于贬低他人
226,tai&jijay,低俗色情,粗俗侮辱性用语，意为屎和恶心
229,jilat&memek,低俗色情,舔阴部
233,banci,涉敏,对男性女性化或跨性别者的侮辱性称呼
233,belatung&bangke,涉敏,粗俗的侮辱性词组，意为“该死的蛆”
234,banci,涉敏,对跨性别者的侮辱性称呼
239,asu,涉敏,狗，印尼语中用作侮辱性称呼
240,kunyuk,低俗色情,猴子（骂人话，用于侮辱他人）
243,kresten&penyembah&bangke&yesus&busuk,宗教,基督徒崇拜腐烂的耶稣尸体
245,bau&bangke,涉敏,臭尸体，侮辱性极强的骂人话
246,bencong,涉敏,对男同性恋或娘娘腔的侮辱性称呼
248,anak jalanan,涉敏,流浪儿（贬低）
248,anak gembel,涉敏,乞丐孩子（贬低）
249,goblok&lo&penjilat&tolol,涉敏,愚蠢的马屁精
254,banci,涉敏,对跨性别者的侮辱性称呼
257,bedebah&kacung&jomblo akut sakit jiwa,涉敏,混蛋、走狗、急性单身精神病患者等侮辱性称呼
258,goblok&sampah,涉敏,愚蠢的垃圾，针对特定宗教群体的侮辱性称呼
260,banci,低俗色情,对跨性别者或行为女性化男性的侮辱性称呼，意为娘娘腔
261,bangke&tikus,低俗色情,死老鼠（侮辱性称呼）
261,bangke&setan,低俗色情,死恶魔（侮辱性称呼）
263,banci,价值观,变性人（贬义），是对跨性别者的侮辱性称呼
264,mama aku bolot,价值观,侮辱他人母亲的丑陋
266,ngentot,低俗色情,操、性交
267,ngentot,低俗色情,做爱
268,cuci otak&maijen k. kunyuk,涉政,洗脑的将军 K. 猴子（侮辱性称呼）
270,tolol,价值观,愚蠢的，用于侮辱他人
271,tolol&guoblog,价值观,愚蠢和混蛋，侮辱性称呼
272,bajingan,违法,混蛋，印尼语中的侮辱性词汇
273,asu,低俗色情,狗的粗话，用于辱骂他人
276,pecun&garunsang liar,低俗色情,对女性的性侮辱词汇，'pecun'指妓女，'garunsang liar'指野狗
279,kampret,涉敏,混蛋/杂种（贬义）
280,kampret,价值观,侮辱性称呼，指对方为小崽子或混蛋
282,kampret,宗教,用于贬低特定宗教群体的侮辱性称呼
283,ngentot & memekmu,低俗色情,操你的阴道
284,ngentot&lobang pantat&kontol,低俗色情,性交、肛门、阴茎等露骨性词汇
285,kontolku&ngentot,低俗色情,我的阴茎；性交
286,memek,低俗色情,女性阴部（粗俗用语）
288,tolol,价值观,愚蠢的、傻瓜，粗鲁的骂人话
289,sompret,低俗色情,他妈的，骂人话
290,bencong,价值观,对变性人或男同性恋者的侮辱性称呼
292,kampungan&norak,价值观,土气和俗气，用于侮辱他人的贬义词
293,bencong,涉敏,对变性人的贬称，类似'人妖'
295,kampungan,价值观,乡巴佬，土气，带有贬低意味
296,banci,价值观,对跨性别者的贬称，人妖
297,bangsat&kapindiang&taik&bego&tolol&setanalas&ndasmu&babi&anjing&monyet&pekok&cebong&kodok&katak,价值观,印尼语中常见的辱骂词汇，如杂种、混蛋、猪、狗等，用于侮辱他人
298,perempuan & iblis,价值观,女恶魔，对女性的侮辱性称呼
299,kunyuk,涉敏,针对华人的侮辱性称呼（意为猴子）
300,partai korupsi sapi,涉政,腐败的牛政党，一种对政党的侮辱性称呼
300,goblog,涉敏,傻瓜、笨蛋，印尼语中的粗话
301,wong&wong&asu,涉敏,骂人话，意为像狗一样的人。
301,kunyuk,涉敏,猴子，用于辱骂他人。
302,monyet,涉敏,猴子（对华人的种族侮辱）
304,jilatin&memek,低俗色情,舔阴部
305,perek,低俗色情,妓女，对女性的侮辱性称呼
307,tolol,涉政,愚蠢（侮辱性词汇）
308,junjungan loe&membantai 200 lebih orang timtim,涉政,指称国家领导人大规模屠杀和绑架，属于政治攻击
309,bencong,价值观,对男同性恋或变性者的侮辱性称呼，意为'娘娘腔/人妖'
309,tolol,价值观,白痴、笨蛋，用于辱骂他人
310,bencong,涉敏,对跨性别者或男同性恋的侮辱性称呼，相当于'人妖'、'基佬'。
311,perek2&perek laki2&kebo',低俗色情,妓女、男妓、牛（侮辱性称呼）
315,bajingan&bangsat,涉敏,狗娘养的、畜生
316,bajingan&tengik,价值观,臭老鼠，卑鄙的家伙
317,goblok&anjing,低俗色情,愚蠢和狗，用于侮辱他人
318,tai,价值观,大便（粗话，用于侮辱）
320,bencong,价值观,对变性人或同性恋者的侮辱性称呼
321,penista&islam,宗教,伊斯兰教的亵渎者，对穆斯林的侮辱性称呼
321,ganti&pancasila,涉政,企图改变印度尼西亚国家意识形态潘查希拉，暗示颠覆国家根本制度
324,kampungan,价值观,乡下人，用于侮辱他人缺乏教养或社会地位低下
325,kontol,低俗色情,男性生殖器粗俗用语
