source_index,word,category,meaning
0,እስላም ተነስ ክርስቲያን ተነስ,宗教,煽动伊斯兰教和基督教对立的言论
1,ቆሽሻ,涉政,垃圾（侮辱性称呼）
3,ሙስሊሙ አጀንደ&ምስጠት,涉敏,针对穆斯林的仇恨言论，指穆斯林议程和憎恨
4,ኦሮሚያ_የደም_ምድር,涉敏,奥罗米亚血地，暗示该地区充满暴力流血事件
5,ጭፍጨፋ&እስኪመጣ እንጠብቅ,暴力恐怖,等待屠杀到来
7,አማራ ይሙት,涉敏,Amhara去死
7,ጁንታ,涉政,军政府
8,种族侮辱&暴力威胁,涉敏,基于种族的侮辱性词汇和暴力威胁，煽动仇恨
14,ከሀዲዎች&statesponsoredamharagenocide,涉敏,指控国家赞助针对阿姆哈拉族的种族灭绝，并称某些人为叛徒
16,流无辜者的血&喝血,暴力恐怖,煽动对无辜者实施暴力行为
28,ደንቆሮ & መሀይም & የህውዋት & ተላላኪ & አሸከር & የሀሳብ & ባሪያ,涉敏,聋哑无知的、生命的传播者、垃圾、思想的奴隶等侮辱性词组
31,አማራ&ዋና ጠላት,涉敏,阿姆哈拉人是主要敌人
32,አንሙት&ጅል,涉敏,你个蠢驴
36,ደደብ አህያ & ወያኔን ከያዘው መሬት ማስለቀቅ,涉敏,对提格雷人的侮辱性称呼以及煽动武力驱逐
43,አንገትህን & ሊያንቅ,暴力恐怖,割断你的脖子，暴力威胁
43,ተላላኪ & ብሔር,涉敏,针对民族的叛徒指责，煽动民族仇恨
44,ውሻ&ወያኔ,涉敏,狗和政治组织Woyane的组合，用于侮辱对方
46,ገድሎ&አሳምነው ፅጌ,暴力恐怖,煽动杀害特定政治人物Asaminew Tsige
47,አማራ ተወካይ አርገህ,涉政,阿姆哈拉代表是叛徒
47,አራጁ ኦነግ እና ጁንታ,涉敏,Arju ONEG和Junta组织
53,ሻእብያ&ባርያ&ደንቆሮ,涉敏,沙比亚的奴隶、傻瓜，对厄立特里亚民族的侮辱性称呼
54,ወደ ጦርነት ማግደህ,暴力恐怖,发动战争
54,ለስልጣንህ,涉政,为了你的权力
57,ንፁሐን ህዝቡን በማስጨፍጨፍ,涉政,碾压无辜人民，用于攻击总理的暴力统治指控
59,አህያ ዘር,价值观,驴的后代（侮辱性称呼）
63,ኦሮሞ ሰራዊት ፍንፍኔን ተቆጣጥሮ እየጠፈጠፈ,暴力恐怖,Oromo军队控制并焚烧Fenfene
63,የኦሮሞ ሰራዊት,涉政,Oromo军队，暗示武装分裂势力
64,战争&支持政府&推翻政府,涉政,呼吁支持政府与试图推翻政府的奥罗莫解放军作战
66,የዘር ማጥፋት ቅስቀሳ,暴力恐怖,种族灭绝煽动
67,奥罗莫人大屠杀,涉敏,对奥罗莫人种族灭绝的指控，缺乏证据且具煽动性
67,#amharaoutoftigray,涉政,主张阿姆哈拉人离开提格雷地区的分裂性标签
86,የእምነት አባቶችን ከተቋማቱ ጋር ያቃጠለ,宗教,烧毁宗教领袖和机构
87,tplf & wbo,涉政,提格雷人民解放阵线和西奥罗莫解放阵线，埃塞俄比亚的被指定为恐怖组织的政治军事团体。
87,ሃጫሉን ያስገደለ,涉敏,指控某人迫使歌手哈查鲁·德萨莱格尼死亡，属于敏感虚假指控。
91,ሰይጣን እንዲገዛቹ,宗教,诅咒别人被魔鬼统治
94,ሰይጣን&ፊቅር,宗教,魔鬼与仇恨，煽动宗教对立
94,ሰለም ስወርድ,暴力恐怖,破坏和平，煽动暴力
96,ከማዳጋስካር & አህያ እየነዱ,涉敏,来自马达加斯加的驴（侮辱性比喻）
99,残忍邪恶&儿童的血,涉敏,对他人进行残忍邪恶的指责并暗示涉及儿童流血事件
105,ጉራጌና አማራ,涉敏,对古拉格族和阿姆哈拉族进行种族攻击的表述
105,አፉዋና ቂጧ,低俗色情,嘴巴和屁股，涉及性暗示的身体部位粗俗用语
106,የወያኔ ቫይረስ ተሸካሚ,涉政,Weyane病毒携带者，对提格雷人民解放阵线支持者的侮辱性称呼
107,የአማራ ሆኖ አያውቅም,涉敏,声称某地从未是阿姆哈拉的，含有对阿姆哈拉民族的贬低和否定
112,ወያኔ&ውሻ,涉敏,对提格雷人/政治团体（Woyane）的侮辱性称呼，将其比作狗
115,ሰይጣን&መስቀል,宗教,将基督教的十字架象征与撒旦联系起来，构成对基督教信仰的侮辱
116,ብሔሮች&ያልተገባ,涉敏,某些民族遭受不公正对待
117,የተመረዘ ሜንታሊቲ&በዘር በተደራጀ አገር,涉政,Poisoned mentality and racially organized country (referring to ethnic political conflict)
119,አማራ&ትግራይ&በርሊን ግምብ,涉政,阿姆哈拉和提格雷之间的柏林墙，暗指种族分裂
120,ባንዳ & የደም ነጋዴ,涉敏,阿姆哈拉语中用于侮辱对方的词汇，意为'土匪'和'血商'，常用来攻击特定民族或群体。
125,ውሻ&ውሸታም,涉敏,狗和骗子（侮辱性称呼）
126,ሴረኛው አብይ,涉政,指称埃塞俄比亚总理阿比·艾哈迈德为叛徒
129,ሙት በለኝ,暴力恐怖,去死（诅咒语）
132,አሸባሬዉ ፋኖ,暴力恐怖,将埃塞俄比亚法诺武装团体污名化为恐怖分子，煽动暴力
133,ችግር አብይ አደለም ያመጣው,涉政,问题由总理阿比·艾哈迈德带来
133,የአማራ ሊሂቅ እንጂ,涉敏,除了阿姆哈拉人（别人都不行）
135,ደደብ,价值观,阿姆哈拉语中'笨蛋'的意思，用于侮辱他人。
138,ፋኖቻችን&ልዩ ሃላችን,涉政,我们的法诺（民兵）和我们的特殊力量，指阿姆哈拉地区的武装组织
140,የአማራ ፓራሳይቶች,涉敏,对阿姆哈拉人的侮辱性称呼，意为阿姆哈拉寄生虫
140,ገና ቀንህን ጠብቅ,暴力恐怖,威胁未来进行暴力报复
141,አብይ አህመድ ንፁሃንን አስፈጃቸው,涉政,指责阿比·艾哈迈德杀害无辜
