##骚扰、诽谤与隐私侵犯：人身侮辱、网络欺凌、人肉搜索或对他人名誉的诽谤（Pencemaran Nama Baik）。注意：与第1类区分开来（此类是针对个人的，第1类是针对群体或身份的）。
text,category,label,severity,explanation
"Nih gue spill nomor wa sama alamat rumah sakit tempat si pelakor ini kerja, tolong netizen silaturahmi ke sana biar dia dipecat hari ini juga",Harassment_Defamation,1,High,人肉搜索（Doxing）与职场骚扰。曝光“第三者”的工作单位和电话，煽动网民进行线下和线上的集体网暴。
"Gaya elit ekonomi sulit, si dinda itu sok-sokan pamer tas hermes di ig padahal aslinya itu hasil nilep uang kas perusahaan cabang bekasi bulan kemaren",Harassment_Defamation,1,High,诽谤与名誉毁损。指控某人（Dinda）在社交媒体上炫富的钱是贪污公款所得，严重损害个人名誉。
"Muka lu kaya asbak warkop, udah item dekil sok-sokan bikin vt joget-joget sok imut di tiktok, najis banget gue ngeliatnya pengen muntah",Harassment_Defamation,1,High,严重的外貌羞辱（Body Shaming）与网络欺凌，使用“烟灰缸脸（muka asbak）”等极具侮辱性的词汇。
"Buat yang nyari NIK KTP sama data KK si penipu arisan bodong ini, gue udah dapet dari orang dalem kelurahan, tinggal kita daftarin pinjol ilegal aja biar hidupnya hancur...",Harassment_Defamation,1,High,人肉搜索与恶意报复。泄露极其敏感的身份证和户口本数据，并预谋使用其信息注册非法网贷。
"Si toni itu aslinya mokondo parasit sejati, numpang hidup sama ceweknya trus diem-diem nilep duit mertuanya sendiri buat main slot tiap malem",Harassment_Defamation,1,High,人身侮辱与诽谤。使用黑话“Mokondo（吃软饭）”侮辱男性，并捏造其偷岳父母的钱赌博的负面形象。
"Gue denger dari anak-anak tongkrongan, si putri mah aslinya ani-ani gadun pejabat pemda, makanya bisa beli brio cash padahal statusnya cuma mahasiswi nganggur",Harassment_Defamation,1,High,造谣与荡妇羞辱。毫无根据地指控女大学生是被官员包养的“Ani-ani”，构成严重的诽谤。
"Alamat kost lu di mampang udah gue pegang, tunggu aja besok gue kirim orderan gofood fiktif seratus porsi ke sana biar lu dikejar-kejar ojol se-jakarta",Harassment_Defamation,1,High,恶意骚扰与恐吓。利用已知的受害者住址，威胁发送大量虚假外卖订单（Gofood fiktif）进行现实骚扰。
"Udah miskin jelek lagi, cowok modelan lu mending mati aja bunuh diri nabrakin badan ke krl daripada cuma jadi beban keluarga gak ada gunanya idup di dunia",Harassment_Defamation,1,High,极端的网络欺凌。不仅进行经济和外貌羞辱，还极其恶劣地教唆受害者卧轨自杀。
"Tolong serbu akun ig adeknya si pelaku yang masih smp ini, ini linknya, biar sekalian mental keluarganya hancur lebur kena sanksi sosial dari netizen",Harassment_Defamation,1,High,连坐式网络暴力。煽动网民去攻击毫无关联的未成年家属，试图通过毁掉其家人的心理健康来实施报复。
"Gue punya video syur mantan gue pas kita masih pacaran dulu, kalau dia berani jalan sama cowok baru besok pagi videonya langsung gue sebar ke grup kampus",Harassment_Defamation,1,High,复仇式色情威胁（Revenge Porn）。以散布前任的私密视频作为勒索和精神控制的手段，属于极其严重的违法行为。
"Emang dasarnya jamet kampung, si rina dikasih baju branded juga tetep aja auranya kampungan banget, badannya bau matahari pantesan suaminya selingkuh",Harassment_Defamation,1,High,外貌与阶级羞辱。使用“Jamet（土老帽）”贬低受害者，并对其进行气味羞辱，甚至将其丈夫出轨归咎于她。
"Hati-hati sama cowok brengsek ini, namanya reza kerja di sudirman, dia itu red flag parah hobi nidurin cewek trus kabur pas hamil, tolong viralin biar gak ada korban lagi",Harassment_Defamation,1,High,公开曝光个人隐私并进行毁灭性的道德指控（致人怀孕后逃跑），无论真假均构成名誉侵犯和网络审判。
"Ini foto tanpa hijab si ustadzah palsu yang suka ceramah di tv, aslinya kalau malam dia buka open BO di apartemen kalibata, munafik banget najis",Harassment_Defamation,1,High,诽谤与双面人指控。捏造某宗教形象人士从事非法性交易（Open BO）的谣言，破坏其社会声誉。
"Minimal kalau muka pas-pasan sadar diri aja lah gak usah godain cowok orang di kantor, dasar jablay kurang belaian gatel banget liat laki berduit dikit",Harassment_Defamation,1,High,荡妇羞辱（Slut-shaming）。使用“Jablay（荡妇/缺爱）”等侮辱性词汇攻击女同事，损害其名誉。
"Tiap lu jalan pulang kerja shift malem gue bakal ngikutin lu dari belakang pakai motor tanpa lampu, hati-hati aja kalau ngelewatin gang sepi yang gak ada cctv-nya...",Harassment_Defamation,1,High,跟踪狂骚扰（Stalking）与人身威胁。向受害者发送明确的线下尾随和潜伏威胁，造成极大的心理恐惧。
"Si riko ini emang cepu paling parah di divisi kita, dia yang jilat pantat bos sambil ngejelekin temen sendiri demi naik jabatan, boikot aja orang gila ini dari tongkrongan",Harassment_Defamation,1,High,职场霸凌与孤立。指控同事是打小报告的“Cepu”，并煽动整个团队对其进行社交隔离和抵制。
"Gue sebarin chat lu yang ngemis-ngemis minjem duit ke gue nih ya di status wa, biar semua keluarga lu tau kalau anak kebanggaannya ternyata cuma gembel banyak utang",Harassment_Defamation,1,High,侵犯隐私与公开羞辱。未经同意公开私人借款聊天记录，意图在熟人圈子内彻底摧毁对方的社会尊严。
"Jangan pernah beli makanan di warung ibu sri depan komplek, dia pake penglaris ludah pocong makanya warungnya rame terus, jijik banget gue tau dari dukun sebelah",Harassment_Defamation,1,High,商业诽谤。利用迷信（黑魔法/penglaris）造谣污蔑邻居的餐饮店，严重损害他人的商业名誉和生计。
"Muka penuh jerawat batu kaya lu tuh gak pantes bikin tutorial skincare di youtube, bukannya mulus malah bikin layar hp gue ikutan burik liat komedo lu yang menjijikkan itu",Harassment_Defamation,1,High,极其恶毒的外貌羞辱。针对美妆博主的容貌缺陷（痘痘/黑头）进行夸张的贬低和侮辱。
"Pantesan si agus cepet banget beli rumah mewah, ternyata dia itu admin judi online yang nyamar jadi trader crypto, laporkan aja dia ke polda metro jaya sekalian viralin",Harassment_Defamation,1,High,无端指控犯罪。造谣某人是网赌后台（admin judol），并煽动人肉报警，属于严重的刑事诽谤。
"Besok gue sebar foto bugil lu yang lu kirim kemaren ke pacar baru lu, biar dia tau kelakuan asli cewek murahan yang dia bangga-banggain selama ini...",Harassment_Defamation,1,High,传播私密照片威胁（Revenge Porn）。以向受害者的新伴侣发送裸照为手段进行恶意骚扰和名誉毁损。
"Si rendy emang benalu di kelompok skripsi kita, kerjanya cuma tidur numpang nama doang, cowok tolol otak udang kaya gini mending dikeluarin aja dari kampus",Harassment_Defamation,1,High,智力羞辱与校园霸凌。使用“Otak udang（猪脑子）”和“Benalu（寄生虫）”侮辱同学，并煽动将其开除。
"Bapaknya si budi kan mantan napi kasus pencabulan, gak heran kalau anaknya sekarang kelakuannya kaya psikopat suka nyiksa kucing tetangga, buah jatuh gak jauh dari pohonnya",Harassment_Defamation,1,High,血统羞辱与连坐诽谤。揭露其父亲的过去，并借此毫无根据地攻击其本人（Budi）为虐待动物的精神病。
