tweet,label
صلاة الفجر خير لك من ترديد بول البعير وسبي النساء واغتصاب طفلة نظافة ونشاط وحيوية #عقلانيون,1
صراحة نفسي اشوف ولاد الوسخة اللي قالوا مدرب اجنبي منك لله ربنا ياخدك ي… @url,1
طيب! هي متبرجة وعبايتها ملونه وطالعة من بيتهم بدون ....... @url,1
@user @user انا اوافقك بخصوص السوريين و العراقيين اما بخصوص السعودي مو بحاجه انه يقعد بالكويت بدو… @url,0
هذه السعودية التي شعبها شعب الخيم و بول البعير  الذي يستهزأ بها الناس,0
ما عارف كنت شايفها منحرفة شديد وانا صغير ليه @url,1
@user @user تخيل يرد عليك يقولك حسب معلوماتنا ان سكان الارض يشربون بول البعير,1
صباح التوكل على الله والسعي على رزقه والثقة فيما عنده #افريقيا_يا_اهلى,0
وانتي مال امك يا مطلقة يا بايرة ياوش قنوات @url,1
@user @user الكردي كلب من يوم يومه بحاجة دائما لسيد وهلا اصبحتم خنازير اسرائيل بمرتبة الكلب,1
@user و مدعمتهاش ليه فى كاس العالم يا جبان يا وسخ,1
خنازير فعلت فعلاً ..,1
لكن حرمة متبرجة تقف على المسرح وتغني امام الر… @url,0
@user @user ابن سلمان ابن ملك  بن ملك معروف من جد من لاب ومن الام رجال قهر خنازير المجوس وذنابها.… @user,1
ي قصارية ي بايرة,1
يارب انصرنا #افريقيا_يا_اهلي,0
@user @user @user واضح انكم تكذبوها ع سالفه ان الحريم يقعدن بالارض  ولا انا فهمت غلط ودرعمت؟,1
واحده بايره,1
@user @user اعراب همج. ايش تتوقع من شاربين بول البعير,1
زمان كان الرجال فوق الخيل والحريم يتفرجون والان صا… @url,0
@user @user انت اكبر المشردين بايع ارضك وعرضك وتتكلم على اسيادك السعودية  ي كلب ي مرتزق ي خنزير,1
جواب على متدخل من الحسيمة...فقد صوابه و بدأ يتكلم عن بول البعير..و  عن رحيل احباب العربية..لا اعرف اين؟ هل الى اورو… @user,1
@user @user @user كتب الشيعة تطفح بروايات شرب بول البعير عن الصادق والكاظم أنتي قاعده تسبين الصا… @url,0
