tweet	label
@user @user حب يقول اي بروفيل  نوفمبري باديسي تتلاقى بيه جديد نيك للبلوك....لوكان كل واحد يديرها راح يكون تأثير	Abuse
ويحتمي في كبده و الان لم يعد له عهد ... منبعه اغرم و هو اسم قبائلي بحث و الجدير بالذكر أن أهل المنطقة ذوي اصول امازيغية ...والكثير من الحكايا و الأساطير العريقة لكن من يتكلم عن المنطقة فما عاد يعرف عنها إلا شاطئ #مرست_بن_مهيدي أو التهريب أو فساد مسؤوليها	Hate
@user كبير و جايح 🤮🤮🤮	Abuse
@user @user @user @user @user @user @user @user أثناء  ، حرب التحرير لم يكن لا سكين و لا فرشيطة كانت موجودة  راية واحدة فقط ! الآن كل واحد جايب شيفونة و رفعها في السماء كأنما راية الجزائر تزعج الناس  اتقوا وكونوا أصحاب حق ! @user	Hate
@user قونين خرا 💩في خرا 💩 حشاكم	Abuse
@user الكلاب تنبح والقافلة تسير، والكاس بايتة عندنا  😂😂😂😂😂😂😂 طز فيه وفي كل عربي شجع السنغال  👊💪	Abuse
@user @user كلب من لكلاب الي مزالو حاقدين ع الجزائر من 2009	Abuse
@user ها قود مالك نلعب معاك 😒 قلتلك جيعان ولا مبلول رديتها قضيه 😑	Abuse
@user @user @user @user يا كلب 😂😂😂😂 خوا يخلي جنابك  💦💦💦💦💦💦💦💦💦💦	Abuse
@user @user @user اي قود  بيك بقربي لي بنيتو  😒 وادي معاك موح يقود #تقودو_ڨاااع	Abuse
@user @user اوك قود عنك ما فرحت 😒 تقول حنا نادبين عليك وعل فرحتك	Abuse
@user @user من يضحك اخيرا يضحك كثيرا مثل عربي اصيل	Normal
@user نعيمة مجرد حمارة تائة وتقود جماعة من الأحمر . يقبايلي عربي مزابي كولنا اخوة وهدفنا واحد ازالة حكم العسكر	Abuse
"قال لك واحدة نامت  روحها لابسة روپة بيضا و على يمينها كلب و على يسارها طير ...
راحت عند مفسر الاحلام قالت له : تعيش فسر لي هاذ المنام ....
قال لها : كي تكلبي و تطيري ما تتزوجيش @user"	Abuse
بن قرينة: ترأس سليمان شنين للبرلمان هو إستحقاق للحراك الشعبي وليس هدية ل... @user via @user قود قود	Abuse
