text,label
yah but ur special Ryan.,0.0
Hallelujah!!,0.0
USER kunyuk nih pasukan tukang burjo...akun nye bokep melulu...\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 URL,1.0
"USER USER \nUSER \nUSER \nTulisanya sll menyudutkan pemerintah dan di ada2 kan , issue tka Cina Sdh ga ditulis lg semenjak dibuktikan USER berkunjung ke polewali..kalo Blom waaah tiap hari itu2 aja Yg ditulis ..'",0.0
Yup.,0.0
Hidup didunia hanya sementara. Apakah kalian rela jika cara hidup kalian tak disuka Allah. Kecuali kalian munafik atau musyrik atau kafir.,0.0
"Jangan kejang kejang ya Bong, ... keren, dewasa dan ngga malu maluin kan??",0.0
Melibatkan yang paham pada bidangnya untuk duduk bersama memecahkan solusi. Cara kepemimpinan yg cerdas ! #DebatFinalPilkadaJKT,0.0
USER Etapi ulet nya bikin gatal2 gak mak?\nMak kok suka miara yg aneh2. Tuyul juga mak piara/?',0.0
Seia ta chariade asu but kichhii farak padu nahii,0.0
Kabir singh bass ek ache movie hai aur kuch nahi,0.0
ek aurat ke report par 1se jaada aurato ko giraftar kar liya jaata hai.,0.0
Lengserkan Jokowi Bangsat!!,1.0
USER Dulu 98 dollar 12.000 koar-koar minta rezim lengser. Sekarang sudah mau tembus 15.000 malah makin jadi penjilat penguasa. Kasihan rakyat selalu jadi korban propaganda politikus busuk.',1.0
Keep dreaming gary,0.0
"Ketika sadar bahwa ada cacat dari hasil kerja team dan besok adalah D-Day. It's time to sleep guys""",0.0
"Yeah, ok, Kramer . . .",0.0
Orang kok munafik ..smpe kpan jg kaya gtu',1.0
Psalm 14:1,0.0
"Jadi orang"" yg marah karena merasa ketipu oleh janji"" palsu Jokowi juga bakal dilaporin polisi satu"" nih? Dasar gila!",1.0
Lesbian tu dimana mana. Sampe teman sendiri aja lesbi',0.0
USER Men are trash lol. Jap daler tu pahal ckp cm org cacat.',1.0
Pembatalan Pembangunan Proyek RKA Hambat Pertumbuhan Ekonomi Jambi,0.0
"2. Dalam rapat terbatas ini, Presiden USER mengingatkan pentingnya publikasi terhadap kegiatan yang akan diselenggarakan di Jakarta dan Palembang pada bulan Agustus mendatang #JokowiPacuPromosiAsianGames #YukPromosikanAsianGames18",0.0
RT USER: Forever alone tahap Dewa Gila Babi member aku sorang ni URL,1.0
"sinyal kartu three cacad amat, ganti pake kartu gapleh aja gitu ya'",1.0
USER USER USER Otak lu dungu ya,1.0
"USER Medokan ndi? Ga ngerti aku yoan.\n\nMAKANE, mama ku macak budek nek aku jalok sangu \xf0\x9f\x98\xad'",1.0
Abhishek Singh yeh Banda humara bhai hai!!!!!!,0.0
hai bhogoban.eki 😏😏😏😏,0.0
"Miras Oplosan, Pelarian Warga Akibat Masalah Ekonomi",0.0
Semoga ini pelakunya bukan orang gila lagi. URL,0.0
Kompromat,0.0
Apa hubungannya ANAK LAYANGAN dengan KAMPUNGAN Gan ??!',0.0
RT USER: USER USER USER gimana dengan junjungan lu .. jam 1 bilang gebuk .. jam 1.15 jangan ada sweping PKI...,1.0
USER USER Apa mentang2 didanai kafir?\nApa mentang2 aparat pro?',1.0
"jujur orang cerdas dan pintar pilih orang imam dan mampu memimpin ..bisa sholat...bisa ngaji..santun, sopan..tidak seperti babi kafir ahok",1.0
USER KEBIJAKAM PENGEMBALIAN BEBAS KERUMITAN\n\xf0\x9f\x91\x89Memberikan garansi tanpa merumitkan konsumen dalam Pengembalian Barang yang cacat/rusak produksi kepada konsumen dalam 7 hari dari tanggal pembelian #HauzID #HauzMiniQuiz \nIkut jawab yuk @,0.0
Tere Baap Suprim Court ne order dia Tu Kya Kar Lega Bipin,1.0
"ahmad dhani itu borok, sampah, babi, anjing. Saya adalah orang pertama yg sangat muak liat muka dhani dan saya berbangga.",1.0
Waipahu Mauraders,0.0
RT USER: Anies: Ombudsman Perwakilan itu TIDAK SAMA dengan Ombudsman Republik Indonesia. Ingat2 itu ya!\n\nOmbudsman RI: Ombudsman Perwaki\xe2\x80\xa6',0.0
jangan ada keberpihakan dalam badan hukum karena itu akan merusak demokrasi #important #MataNajwaDebatJakarta,0.0
USER USER Ngomongnya sama aja berak....kasian',1.0
Pandering.,0.0
Sarkaar bane ya na bane ye to saata ke do pahlu hai Kabhi raja runk kabhi runk bhi raja banta hai. Jaroori nahi modi 2019 ya 2024 tak p.m. bane. Rahi baat dar ki dar to dabko hai bhai,0.0
"Tidak banyak yang mengetahui, lewat Yerusalem orang-orang justru diajarkan indahnya keragaman dan pentingnya toleransi. Wajah kota suci agama Islam, Kristen, dan Yahudi yang toleran; .; #PenerbitMizan #Mizan35 #Yerusalem",0.0
"Jangan sedih kalo pas makan siang liat ""sendok aja ada pasangannya, garpu"". Taplak gak ada pasangannya kok, sama dia aja.'",0.0
Pemburu Nazi Simon Wiesenthal memegang foto-foto yang menggambarkan mantan kepala Gestapo Walter Rauff dan sebuah van kamar gas bergerak yang dibuatnya untuk mengeksekusi orang-orang Yahudi.',0.0
"jo jo film dekh ke khudko kabir singh samaj rahe hai na saalon aisa lavda phek
ke marunga tum sabki preeti chud jaayegi",1.0
"USER Udah sipit tuhh, mana tangannya kebalik lago tadi wkwkw'",0.0
USER USER USER USER USER USER USER USER USER USER USER Bikin resah TL saja si monyet kafir USER',1.0
