source_index,word,category,meaning
13,canan kaftancıoğlu&evin fotoğraflarını yayınlamak,违法,发布Canan Kaftancıoğlu家的照片，属于侵犯隐私的骚扰行为
24,iğrenç,涉敏,恶心的
26,ilik gotlu,价值观,软蛋，侮辱性称呼
26,sikerim sizi,低俗色情,操你们，性相关粗话
30,suc ortagi,涉政,犯罪同伙，指与他人共同犯罪
30,katilbelediyeler,暴力恐怖,杀手市政府，指责市政府实施暴力或犯罪行为
31,neremden&başlayayım,低俗色情,从哪里开始（性暗示）
39,fuk&ya,低俗色情,去你妈的，侮辱性问候
58,aminakoyim,低俗色情,意为'我操你妈'的粗俗脏话
69,alçak,价值观,卑鄙的人，用于侮辱他人
110,cok kadın hic kadın&aptal,价值观,很多女人，没有女人，笨蛋（侮辱女性及个人）
118,amına&koyacağım,低俗色情,操（粗俗性行为用语）
120,amuş,低俗色情,低俗脏话，指女性生殖器
125,akrebi&ezerim,暴力恐怖,我要碾压那个蝎子（对人进行暴力威胁）
129,pensilvaynadaki imam&imamın takımı,涉政,指代被认定为恐怖组织的居伦运动领导人法图拉·居伦及其追随者
151,umarım&utanırsın,价值观,我希望你感到羞耻
156,akp=fetö,涉政,将正义与发展党等同于居伦运动
156,türk alerji̇leri̇,涉敏,对土耳其民族过敏，表达厌恶
157,borsa&i̇stanbul'da&dolandırıcılık,涉政,伊斯坦布尔证券交易所欺诈
157,abdye&yunanistana&yaylanın,涉政,滚去美国希腊
174,sapkınlık&sapıklık,宗教,异端和变态（贬低宗教实践）
184,ibine,低俗色情,鸡奸者，对同性恋者的侮辱性称呼
193,bir&adam&etmez,涉敏,不如一个男人的侮辱性说法
197,amına&memelerini&emerim,低俗色情,粗俗的性行为描述
203,kuş beyinli,价值观,鸟脑子，侮辱他人智力低下的词汇
209,pkk,暴力恐怖,库尔德工人党，土耳其认定的恐怖组织
210,haromzade,涉敏,私生子，低贱的人
216,b.k&makinası,低俗色情,脏话，意为粪机，用于侮辱他人
220,soyardım&kuyumcu,暴力恐怖,抢劫珠宝商
231,mk&salağı&çirkin,价值观,土耳其语中侮辱女性外貌和智力的组合词，意为'傻逼丑女'
234,geberdin,暴力恐怖,你死了（诅咒他人死亡）
236,azmis&bayanlar,低俗色情,饥渴的女人，侮辱性称呼
236,dövee&dövee&si.ecegim,暴力恐怖,殴打并性侵，暴力威胁
240,şanlı orduya&satılmış,涉政,光荣的军队被出卖（指控军队叛变或不忠）
243,cakal,涉敏,"骗子, 混混 (土耳其语俚语中侮辱性称呼)"
250,bonus&kazanın&davet&kodu,违法,通过邀请码赢取奖金，涉嫌非法赌博推广
276,sikeyim&amk,低俗色情,土耳其语粗口，意为'操，去他妈的'
304,öldü&helvasını yedik,价值观,嘲笑他人死亡并庆祝的表述
309,takunyalı&führer,涉政,穿木鞋的元首，侮辱土耳其总统埃尔多安的贬称
318,cibiliyetini sikeyim,低俗色情,操你的性器官
322,kurdistan&i̇şgalci,涉政,指称库尔德斯坦地区被占领，暗示土耳其等国家非法占领
327,luluk,低俗色情,睾丸（俚语，用于侮辱）
332,seks&porno,低俗色情,性行为与色情内容相关的词汇组合
333,(((ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑))),涉敏,三个括号，通常用于指代犹太人，是一种仇恨符号
342,apo&abi,暴力恐怖,对库尔德工人党（PKK）领袖阿卜杜拉·奥贾兰的昵称，表达崇拜或支持
350,pislik,价值观,垃圾（侮辱性用语）
366,sikicem&belani,暴力恐怖,粗俗威胁语言，意为'我将操你的麻烦'
371,ruhsal sorunlarin olduna,价值观,你有心理问题（侮辱性用语）
379,döverim,暴力恐怖,我打你（暴力威胁）
398,eşini yada ensini anlatmak,低俗色情,讲述自己妻子或姐妹的私密细节
405,t*rk,涉政,对土耳其民族的侮辱性拼写
407,dikildenslmlar,低俗色情,来自勃起的问候
420,karadeniz&zekası,涉敏,黑海人的智力（贬低黑海地区人群的智力）
426,persler&sonu,涉敏,波斯人的尽头，暗示波斯民族灭亡的贬低性言论
438,görüntülü sohbet&ücretli show&whatsappshow,低俗色情,付费色情视频聊天服务
459,刷粉丝&刷关注&刷点赞,违法,通过虚假手段增加社交媒体粉丝、关注和点赞的服务
461,am&suyu,低俗色情,阴户的液体
463,sikktir&yalancı,涉敏,去死，骗子
470,itlik yapma&nalet bebe,价值观,做狗的行为和该死的家伙
479,götünü aç&ısınalım,低俗色情,把你的屁股打开让我们暖和起来（性暗示）
491,eskort&görüşmek,低俗色情,伴游/色情服务
494,yarak&amı sulanan,低俗色情,阴茎和湿淋淋的阴道，用于色情诱惑
501,kirli paçavra,价值观,脏抹布，用于辱骂他人的侮辱性词汇
516,ahlaksız&aptalı,价值观,不道德的&笨蛋
519,gebersin&şerefsiz,价值观,去死&无耻
523,anaısnı siktiğimin oğlanı,低俗色情,粗俗的性侮辱，意为'操你妈的男孩'
523,allah kitap diye birşey yok,宗教,否定真主和经典的存在，意为'根本没有真主经典这回事'
549,g.tüne&tahta&girsin,低俗色情,诅咒木头插进他的屁股，粗俗低俗的性暗示
574,#ücretlishow&#whatsappshow,低俗色情,付费秀和WhatsApp秀，暗示色情直播内容
576,dünyanın içine sicmak,低俗色情,把世界搞得一团糟（字面含粗俗不雅词）
583,insana&benzetemiyorum,价值观,不能比作人，即侮辱对方不是人
588,erkekler&şeytanlik,价值观,男性具有邪恶性质
593,parmağını&kızın&götüne&sokmak,低俗色情,把手指插进女孩的屁股里（性侵犯暗示）
602,tüyü&bitmemiş&yetim,涉敏,对孤儿的侮辱性称呼，意为'连毛都没长全的孤儿'
609,tükürdüğünü&yalattırırlar,暴力恐怖,通过威胁性语言报复对方，意为'让你舔回你吐出的'
629,taşkafa,价值观,土耳其语中意为'石头脑袋'，是侮辱性称呼，指人愚蠢或顽固。
638,iki ucu boklu değnek,低俗色情,两头沾屎的棍子，形容处境糟糕的粗俗表达
666,yala,低俗色情,侮辱性用语，意为“舔”
667,gorabet&hoşgeldin bonusu,违法,Gorabet赌博网站的欢迎奖金
671,hakaret cümleleri&botoks yaptırın,价值观,侮辱性句子和做肉毒杆菌的贬低建议
683,sik&siktirin&aq,低俗色情,土耳其脏话组合，意为‘阴茎、操、操你妈的’
697,lolita&kasıklarımın ateşi,低俗色情,洛丽塔&我的腹股沟的火焰，性暗示内容
724,gulen&dunyalikar,涉政,葛兰（居伦运动）的世俗者，指与恐怖组织有关联的人
729,denen yavşak,价值观,侮辱性称呼，意为'被称为混蛋'
742,adam değilsin,价值观,你不是男人（侮辱性）
745,pu&amına&kodumun,低俗色情,表示极其恶劣的性侮辱的脏话
774,kör gözlerine tükürdüklerim,涉敏,我唾弃你的瞎眼（侮辱性用语）
792,tecavüz&müstehcen fıkralar,低俗色情,强奸和淫秽笑话
795,mallar,价值观,土耳其俚语，意为‘蠢货’、‘傻瓜’，是一种侮辱性称呼。
801,cocklari,低俗色情,阴茎（土耳其语中的污秽词汇）
802,it gibi,价值观,像狗一样（侮辱性比喻）
831,naskarası&ahlak yoksunu,涉敏,纳斯卡拉（侮辱性称呼）和道德贫乏
834,türk porno,低俗色情,土耳其色情内容
834,liseli ifşa,低俗色情,高中生泄露视频
843,dilini esek arisi soksun,涉敏,诅咒别人舌头被驴蜂蜇的侮辱性语言
879,sikmek,低俗色情,操（性交）
900,dimi&ya,低俗色情,粗俗的骂人用语，类似中文的'操你妈'
902,boş & beleş & insanlar,涉敏,无用之人
915,çocuk&kandırmak,价值观,欺骗小孩，暗指对方不诚实、幼稚。
917,i̇slam & düşmanlığı,宗教,伊斯兰敌对行为
921,temiz&iri&aletli&sakso,低俗色情,干净的大工具口交
928,ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑,低俗色情,陪护/性服务（escort的变体）
930,fetö nün başkan adayı,涉政,FETÖ的总统候选人
941,ȇ̈s̑̈c̑̈ȏ̈ȓ̈t̑&link,低俗色情,变体的'escort'（伴游）及链接，指向色情服务
954,amk&pici,低俗色情,操你妈的婊子养的，土耳其语中的严重辱骂
958,kurdi̇stan,涉政,库尔德斯坦，指分裂主义领土主张
964,推特刷粉&推特买粉,违法,购买Twitter粉丝服务
975,surtukler,低俗色情,婊子们，对女性的侮辱性称呼
976,başka bir milletin iti,涉敏,另一个民族的狗（侮辱性称呼）
977,arap&deposuyuz,涉敏,阿拉伯人仓库（比喻阿拉伯人像货物一样被贬低）
993,yala&sikerim,低俗色情,舔 我操
994,varoş&yaparsın,价值观,变成乡下人（侮辱性用语，贬低社会阶层）
