Label,Tweet
0,RT @spardaxyz: Fadli Zon Minta Mendagri Segera Menonaktifkan Ahok Jadi Gubernur DKI https:\/\/t.co\/KH5vIRwPdO
0,RT @baguscondromowo: Mereka terus melukai aksi dalam rangka memenjarakan Ahok atau Ahok gagal dalam Pilkada.
0,Sylvi: bagaimana gurbernur melakukan kekerasan perempuan? Buktinya banyak ibu2 mau foto bareng #DebatFinalPilkadaJKT
0,"Ahmad Dhani Tak Puas Debat Pilkada, Masalah Jalan di Bekasi Belum Sempat Terungkap https:\/\/t.co\/m3HopPLUID\u2026"
0,RT @lisdaulay28: Waspada KTP palsu.....kawal PILKADA https:\/\/t.co\/OOoERQV4SM
0,"@felixsiauw masih bnyak hal agamis yg bisa dibahas, kenapa ke pilkada terus, apa tingkat keimanan anda cuma sebatas pilkada????"
0,@saidaqil apa maksud pernyataan. Anda? Apa anda mengaminkan kriminalisasi Ahok?? Hati2 jg dg mulutmu pak! https:\/\/t.co\/H4ODVaY0Md
0,Ahok Akan Integrasikan Transportasi Publik dengan Sistem Single Ticketing\u2026 https:\/\/t.co\/42PH7pqV0b #infoTribun
0,"Ahok mampu melawan korupsi di ibukota, bangun infrastruktur, mencoba memperbaiki dengan berbagai trobosan dan works well."
0,"Awasi Kecurangan Pilkada, Agus - Sylvi Pakai Aplikasi Ini https:\/\/t.co\/xWZW4nUFIU"
0,"Bisa gak kita seperti Jokowi dan Ahok? Aku kalem, kamu tegas saling melengkapi. :')"
0,"Bos mau makan di istana ga, Di undang noh makan di istana Gebang tapinya https:\/\/t.co\/ns6cUYCpUj"
0,Cuti Habis Ahok Jadi Gubernur DKI Lagi? Pengamat: Jangan Mengada-ada | Republika Online https:\/\/t.co\/T3kzvq9E4e
0,Debat terakhir Pilkada DKI Jakarta digelar Jumat malam. https:\/\/t.co\/e9ixz6Jllr
0,Demonstran FPD Malteng Desak Bawaslu Hentikan Sementara Tahapan Pilkada Maluku Tengah
0,"Dulu Didesak Berhentikan Ahok Ngeles Usai Masa Cuti Pilkada, Sekarang Kampanye Mau Habis Kemendagri Ragu-ragu https:\/\/t.co\/92ss4trDcX"
0,"Gila gara2 pilkada, beberapa tokoh menampakkan watak aslinya."
0,Gontor Izinkan Santrinya Pulang Kampung Nyoblos Pilkada DKI | Republika Online https:\/\/t.co\/JhNOT8ecNz
0,"Gubernur non-aktif DKI Jakarta, Basuki Tjahaja Purnama atau Ahok, berencana merombak struktur jabatan pegawai... https:\/\/t.co\/cdKEZxF9xO"
0,HEBAT .. !!! Imam Besar Masjid Istiqlal : Kalimat Ahok 100% Tidak Ada Penistaan AGAMA .. !! SEBARKAN
0,"Ibu2 aja, kalo beli telor pake milih2 sblm ditimbang. Pdh telor kan mirip2. Ibu2 itu tahu, telor ada yg busuk"
0,Ini Jawaban Ahok Saat Ditanya Terkait Persiapan Debat Pilgub Terakhir Besok https:\/\/t.co\/S6rlsAR7Y9
0,Ini Pesan Ahok di Hari Pers Nasional #KitaPastiPernah https:\/\/t.co\/h0L6mrjM3R
0,Istighotsah Bersama Ahok Catut Logo NU https:\/\/t.co\/U2rPY3C25R
0,Itu yang ngomong jangan pilih Ahok Djarot pernah ngerasain banjir ga sih? :(
0,Iya aja deh dripada hoax...
0,Jadi teringat para pelacur.belia yg dijual orang tuanya.sendiri di pantura.demi sesuap nasi https:\/\/t.co\/X5DdR7m693
0,jadi yg nyebar hoax ketahuan dong ada akun twitter nya lho
0,Mpok @sylviana_murni-nya tolong Mas @AgusYudhoyono
0,Ke Bidara beli mangga. Pulang nye liwat Slipi. Jangan lupa ingetin tetangga. Untuk milih Agus sylvi. #7HariLagiMilihAHY #AgusBersamaUlama
0,Serius tapi ada selipan hiburannya \ud83d\ude06\ud83d\ude06\ud83d\ude06 #pilkadadki2017 #DebatFinalPilkadaJKT
0,Sylvie sukses blunder bikin paslon 1 drop elektabilitasnya dengan fitnah dan spin salah pilih kader #DebatFinalPilkadaJKT
0,Ahok: mari berlomba program #DebatFinalPilkadaJKT
0,#DebatFinalPilkadaJKT aduh... Kecewa pertanyaan paslon 1....
0,RT @agusdansylvi: #DebatFinalPilkadaJKT Saya pilih nomor 1. Sektor informal akan dimajukan mas Agus dan Mpok Sylvi.
0,RT @JTmor: Ahok pilihan terbaik untuk Jakarta
0,RT @augustfrankto: #DebatFinalPilkadaJKT Bu Silvy curhat karena pernah dimarahi sama Pak Ahok...hehe..
0,Mantap pak AHOK #DebatFinalPilkadaJKT
0,Ahok gagah kaya gatot kaca! #DebatFinalPilkadaJKT
0,Telaaaakkk nomer satuuuu. Nghahahaha #DebatFinalPilkadaJKT
0,Lomba adu program #DebatFinalPilkadaJKT #SkakSilvi
0,#DebatFinalPilkadaJKT Denger banyak program dan janji dan sering tau pas jadi ga dijalankan rasanya males aja sih.
0,DEBAT CAGUB DKI ke 3 - 10 Februari 2017 - Segmen 3 Mantap Ahok SKAK Sylviana Murni\n\n#DebatFinalPilkadaJKT
0,Pertanyaan Ibu Silvy rada maksa.. #DebatFinalPilkadaJKT
0,"Tanggal 15, pas pilkada nanti sy gak akan milih siapa-siapa ah!"
0,"Saya pribadi bakal prefer kok muslim dengan kapabilitas, tetapi lihat kondisinya Ahok menjadi pilihan plg realistis buat kemajuan DKI"
0,"Yang mendukung Mas Anies bukan berarti anti Pak Ahok, begitu Pula sebaliknya"
0,Spanduk Tolak Salatkan Pembela Penista Agama juga Muncul di Kalibata https:\/\/t.co\/Sr1PbYtigN
0,#DebatFinalPilkadaJKT Telak banget anjir ngakak!
0,Ayo berlomba program jangan fitnah2 #DebatFinalPilkadaJKT
0,RT @deelestari: Akhirnya nggak ngantuk lagi! Yeay! #DebatFinalPilkadaJKT
0,Duh dibilang ga punya program paslon 1... kesian kesian kesian ... #debatfinalpilkadajkt
0,"Tuntut Keadilan Bagi Penista Agama, Puluhan Jawara Betawi Ikuti Aksi 212 Jilid II https:\/\/t.co\/HWVuoZyYov"
0,Keras nih ahok #DebatFinalPilkadaJKT
0,Paslon 3 Anies Sandiaga Uno 15 Feb 2017 Utk Jakarta Indonesia Raya OK OCE
0,Sesuai namanya: RONDE FINAL\n\n#DebatFinalPilkadaJKT
0,"Mendagri Tambah Pusing, Ketika MA Emoh Keluarkan Fatwa Status Gubernur Penista Agama https:\/\/t.co\/J34aMQiMNi"
0,Tolong adu program
0,Genderang perang makin kencang #DebatFinalPilkadaJKT
0,Mpok sylvi udah mulai emosi \ud83d\ude02\n #DebatFinalPilkadaJKT
0,Some people gabisa bedain kasar sama tegas. #DebatFinalPilkadaJKT
0,Beliau para pemimpin hebat Indonesia! Kita bangga https:\/\/t.co\/NAWbps9Xpt https:\/\/t.co\/5cC2U9AIEv
0,@InformasiDKI mungkin bu silvy jg pengen foto sama pak ahok hihihi #DebatFinalPilkadaJKT
0,#DebatFinalPilkadaJKT Mulai saling serang deh
0,RT @InaKinoy: baca ini dulu lah biar mendinginkan suasana #DebatFinalPilkadaJKT https:\/\/t.co\/Em9GCKc4qe
0,ayo berlomba program jgn pitnah doank.. #DebatFinalPilkadaJKT #BadjaPastimenang
0,RT @qronoz: Pokoknya kalo Ahok udah ngomong: Aduuuuuuh KELAR. #DebatFinalPilkadaJKT
0,Senjata makan tuan #DebatFinalPilkadaJKT #DebatFinalDKI
0,Ahok kekerasan verbal? Masa koruptor dielus2 #DebatFinalPilkadaJKT
0,RT @qronoz: Gak ada program yang mau diserang yang diserang karakternya. AHaY! \ud83d\ude02 #DebatFinalPilkadaJKT
0,Terkait Jakarta tak Ramah anak apa tanggapan Pak @aniesbaswedan https:\/\/t.co\/ufA55UWBcI
0,emang OK OCE anies dan sandi dalam mengatasi urbanisasi dan lapangan kerja #DebatFinalPilkadaJKT https:\/\/t.co\/BrCeCZSkux
0,Suporternya mulai kampungan paslon masih ngomong jg ...... #DebatFinalPilkadaJKT
0,Mulai seru ni #DebatFinalPilkadaJKT
0,#DebatFinalPilkadaJKT nangis nangis ketonjok lagi
0,RT @Kafyonaa: JADI DEBAT TERAKHIR NANTI MALAM PILIHANMU JATUH KE PASLON YANG MANA? #DebatFinalPilkadaJKT #Debat3PilkadaDKI
0,RT @magendajuang: Wkwkwk udah dah pilih Anies Sandi aja :) #DebatFinalPilkadaJKT https:\/\/t.co\/hMXhjyHBnJ
0,fitnah lebih kejam loh dari pembunuhan #DebatFinalPilkadaJKT
0,mari #debatsehat. jangan coba pakai #datasesat. #DebatFinalPilkadaJKT #DebatFinalDiKompasTV
0,"RT @prastow: Apapun itu, keberanian Ahok membongkar mafia anggaran menjadi tonggak penting menuju APBD yg kredibel dan akuntabel."
0,RT @SydSalesman: inilah wujud nasional-is-me dagangannya @pandji ... hebat! https:\/\/t.co\/0fYIG6c2xl
0,Pak dosen makin keliatan aslinya :(
0,RT @gabriellaanDini: Dulu di awal kampanye bukannya uda deklarasi anti SARA??? Tadinya gw pikir no.3 lebih mending dari no.1
0,#DebatFinalPilkadaJKT mateng mpok Silvy di bombardir Pak Ahok... jawaban cerdas Pak Ahok..
0,#DebatFinalPilkadaJKT mohon tenang
0,Yg no.1 nih ngomongin hal yg di luar program mulu ya. Ngga ada bhan ya bwt serang lawan.. Cape dehh! #DebatFinalDKI #DebatFinalPilkadaJKT
0,Cinta pak Ahok pokoknya #DebatFinalPilkadaJKT
0,#DebatFinalPilkadaJKT nggak cuma ibu2 yang pengen foto sama Ahok bapak2 juga lho
0,Mas Agus saya akui malam ini....rambut kamu bagus! #DebatFinalPilkadaJKT
0,RT @republikaonline: Ahok Janji Berani Tutup Tempat Hiburan Malam yang Jual Narkoba
0,Agus-Sylvi sisipkan bahasa jawa saat debat https:\/\/t.co\/fGTfXgaINx
0,"RT @hariadhi: Ahok udah perhatikan penyandang disabilitas, jauuuh sebelum kandidat lain berjanji #NobarAhokDjarot #BadjaPastiJuara"
0,Ahok keren!!! #DebatFinalPilkadaJKT
0,Gimana ya Tim Ahok kok makin disudutkan(?) Mungkin karena ini final kali y
0,Nih fakta buat yg asbun. #BadjaPastimenang #DebatFinalPilkadaJKT
0,Siap-siap meme CCTV. #DebatFinalPilkadaJKT #Debat3PilkadaDKI #DebatFinalDKI
0,Nyinyir tingkat nasional #DebatFinalPilkadaJKT
0,Drama bgt itu :(( #DebatFinalPilkadaJKT
0,Ini judulnya Debat atau nyerang paslon 2 ?????? #DebatFinalPilkadaJKT
0,Lha kok menyerang gitu ya #DebatFinalPilkadaJKT
0,Debat sama berantem beda tipis #DebatFinalPilkadaJKT
0,Orang tegas dibilang maki-maki orang -_- #DebatFinalPilkadaJKT
0,1 atau 2 perempuan berbeda dengan kaum perempuan #DebatFinalPilkadaJK
0,mantap OK OCE anies sandi dalam mengatasi urbanisasi dan lapangan kerja
0,RT @WisnuDewobroto: Ga seru nih. selalu mengungkit masa lalu :). kekerasan Verbal semua pernah lakukan manusia biasa. #DebatFinalPilkadaJKT
0,satu perempuan bukan semua perempuan #DebatFinalPilkadaJKT
0,#DebatFinalPilkadaJKT Pertanyaan paslon 1 dpt dikategorikan sbg kekerasan dalam debat.
0,@jokowi pak maafkan saya. Biarkan malam ini saja saya memposting ujaran kebencian. Hanya malam ini saja pak xoxo #DebatFinalPilkadaJKT
0,Semoga Allah memenangkan pak Anies-sandi https:\/\/t.co\/sns0rXRw3f
0,#DebatFinalPilkadaJKT non muslim coblos Ahok muslim coblos Djarot. Bagaimana?
0,#DebatFinalPilkadaJKT *pemimpin harus dapat ciptakan suasana damai tentram dan bukan adu domba atau hasutan
0,Saya bertanya kepada Bapak Presiden dan Kapolri OK OCE tuh apaan? #DebatFinalPilkadaJKT
0,Keliatan banget keberpihakan media #DebatFinalPilkadaJKT
0,RT @di_HatiKecil: Bagus nih ilustrasinya #DebatFinalPilkadaJKT https:\/\/t.co\/zAQLqrBiUF
0,RT @rezaoktovian: Ahok terlalu keren :')
0,isinya timeline twitter cm pilkada.. membosankan sekali..
0,Mohon tenang mohon tenang #DebatFinalPilkadaJKT
0,ah diulang. Jawabannya bisa beda kan? #DebatFinalPilkadaJKT
0,Perasaan bukan pertanyaan itu deh yg td dijawab om @aniesbaswedan audionya ga keluar atau ia ya? #DebatFinalPilkadaJKT
0,Boleh tinggal di pinggir kali meski bukan tanahnya boleh jualan di pinggir jalan
