text,category,label,severity,explanation
"I already bought the fertilizer and chemicals. Tomorrow 8am we leave the bags at Raffles Place MRT. Time to show the gahmen true fear. 💥",Violence_Extremism_Terrorism,1,High,利用常见化肥制作自制炸弹的恐怖袭击预告，针对金融中心地铁站，严重威胁国家安全。
"Nanti malam kumpul kat void deck blok 4. Bawa parang dengan besi. Kita ajar budak-budak Omega tu macam mana nak mati! 🔪",Violence_Extremism_Gang,1,High,纯马来语。组织私会党（黑帮）械斗，明确要求携带巴冷刀（Parang）和铁棍，意图致人死亡。
"谁有 Telegram 的暗网群链接？我想买一把格洛克或者土制手枪，下个月在乌节路给那些有钱人一点颜色看看！",Violence_Extremism_Terrorism,1,High,纯华语。寻求购买枪支渠道，并预告在繁华商业区（乌节路）进行无差别射击的极端暴力行为。
"இந்த அரசாங்கத்தை ஒழிக்க வேண்டும்! பாராளுமன்றத்தை வெடிகுண்டு வைத்து தகர்ப்போம். வாருங்கள் போராட! 💣",Violence_Extremism_AntiGov,1,High,纯泰米尔语。大意：“必须消灭这个政府！用炸弹炸毁国会。来战斗吧！”煽动用炸弹袭击国家机关。
"We need to revive the spirit of the Little India Riot. Next Sunday, we target the police cars first. Burn them down to trap the mata! 🔥🚓",Violence_Extremism_Riot,1,High,煽动模仿历史暴乱事件（小印度暴动），并明确提出袭击和焚烧警车的战术，美化危险行为。
"Brother, hijrah is our only path. The caliphate needs us. I got the contact to smuggle us out through JB to Syria. Syahid awaits us. ☝️",Violence_Extremism_Recruitment,1,High,使用极端宗教隐语（hijrah, syahid, caliphate）进行恐怖组织招募，并计划偷渡出境参战，严重违反 ISA。
"大家听好，把汽油装进 Tiger Beer 的玻璃瓶，塞一块碎布。明天集会要是防暴警察敢来，直接往他们盾牌上砸！燃烧瓶最管用！",Violence_Extremism_Instruction,1,High,纯华语。详细传授如何利用本地常见物品（Tiger 啤酒瓶）制作燃烧瓶（Molotov）并袭击防暴警察。
"Kalau polis berani masuk kampung kita lagi, kita pancung kepala dorang! Darah mata akan mengalir kat jalan raya SG! 🩸",Violence_Extremism_AntiGov,1,High,纯马来语。针对警方的极端暴力威胁，扬言要“砍下警察的头（pancung kepala）”和让“鲜血流满街道”。
"369 Salakau forever! Tonight we spot any other gang color at Clarke Quay, we just slash. Don't talk, just chop until they drop. 🪓",Violence_Extremism_Gang,1,High,高喊本地私会党口号（369 Salakau），煽动在克拉码头对其他帮派进行致命的砍杀行为。
"வெளிநாட்டு தொழிலாளர்களின் தங்குமிடங்களை தீயிட்டு கொளுத்துங்கள்! அவர்கள் நமது நாட்டை அழிக்கிறார்கள்! 🔥",Violence_Extremism_HateViolence,1,High,纯泰米尔语。大意：“放火烧掉外国工人的宿舍！他们在破坏我们的国家！”煽动针对特定群体的致命纵火。
"I swear to God, if the minister walks out of his house tomorrow, I will ram my lorry straight into him. Worth going to Changi Prison for this.",Violence_Extremism_AntiGov,1,High,针对政府部长的孤狼式致命袭击威胁，扬言使用卡车撞击，极具现实危险性。
"那个强奸犯明天在最高法院开庭，大家带好硫酸和刀，他一出来我们直接替天行道！法律没用我们就自己动手！",Violence_Extremism_Violence,1,High,纯华语。煽动私刑，号召携带硫酸和刀具在法院外袭击嫌疑人，严重破坏法治与公共秩序。
"Cara buat bom jangka guna paip PVC dan paku. Letak kat bawah seat bas SBS. Biar bersepah daging orang! 💥",Violence_Extremism_Instruction,1,High,纯马来语。传授使用 PVC 管和钉子制作定时炸弹的方法，并煽动在 SBS 巴士上引爆伤人。
"The unfaithful must be cleansed. Friday prayers at Sultan Mosque... we will leave a 'gift' in a backpack. Boom. 🎒",Violence_Extremism_Terrorism,1,High,针对本地知名宗教场所（苏丹回教堂）的炸弹袭击预告，带有极端主义“清洗”色彩。
"Ah Long say must settle the debt today. Paint splash not enough. Burn the debtor's HDB door tonight. Lock it from outside first so they cannot run! 🔥",Violence_Extremism_Gang,1,High,本地大耳窿（Ah Long/高利贷）的极端暴力催债，指示从外部反锁并纵火（蓄意谋杀）。
