source_index,word,category,meaning
2,femiorcas&mapuchento,涉敏,对女权主义者的贬称和对马普切人的贬称
5,flaiterio,价值观,对下层阶级的贬称
8,flaites&ignorantes,价值观,无知的流氓/混混（侮辱性称呼）
10,flaites&retardados,涉敏,对低阶层和智力障碍者的侮辱性称呼
11,flaites,涉敏,对低下阶层或不良青少年的贬称
11,macabros del mapocho,涉敏,指代Mapocho河地区的可怕人物，带有地域歧视
12,flaites,价值观,对低阶层年轻人的贬称
20,pelotudos&partido&comunista,涉政,对共产党人的侮辱性称呼，意为'蠢蛋共产党人'
20,flaites&lista&pueblo,涉政,对城镇名单上的人的侮辱性称呼，意为'低贱的城镇名单的人'
21,flaites&ignorantes,价值观,无知的低级混混（歧视性贬低用语）
23,flaites,涉敏,指社会底层、没教养的人，带有贬义和歧视
26,piensa con el culo,价值观,用屁股思考，侮辱性说法，指某人的想法愚蠢
26,flaites,价值观,对粗鲁或低阶层人的贬称，类似'小混混'
29,flaites,涉敏,对低阶层人群的贬称
32,flaites&rotos,涉敏,低阶层粗鲁的人（侮辱性称呼）
34,flaites&qls,涉敏,对下层阶级的侮辱性称呼
35,pobres&sinverguenzas,涉敏,对穷人的侮辱性称呼，指责其无耻
36,sacar la tula,低俗色情,掏出阴茎（粗俗语）
38,gil&huevón,价值观,傻瓜和懒鬼，用于侮辱他人的称呼
43,tirado 20 & gil,暴力恐怖,因为愚蠢而开枪射杀
67,payaso&pintamonos,涉敏,小丑和涂鸦，指某人滑稽徒劳的侮辱性组合词
73,gil&qlo,涉敏,对他人智力的侮辱性称呼（傻逼）
74,pegai&al&charles&gil,暴力恐怖,对查尔斯·吉尔施加暴力
74,conchetumare,违法,侮辱性粗话，等同于'你妈的'
85,gil&chanta,涉敏,愚蠢的骗子
87,pistoneo&feroz,低俗色情,凶猛的活塞运动，隐喻性行为
102,gordis,涉敏,对胖子的贬义称呼
105,guatona&grasosa,价值观,胖胖的油腻女人（侮辱性称呼）
105,gorda&picante,价值观,辣胖女人（侮辱性称呼）
105,ellas&roban&y&se&drogan,价值观,她们偷窃吸毒（诽谤性指控）
106,papa comunista&bco lava dinero,涉政,指控教皇为共产主义者，并声称梵蒂冈银行洗钱
110,hija de perra,低俗色情,侮辱性称呼，意为'母狗的女儿'，用于辱骂他人
111,hijos de la perra,价值观,狗娘养的，侮辱性称呼
112,hijos de la perra,涉敏,狗娘养的，侮辱性称呼
113,hijos de perra,涉敏,对对方的侮辱性称呼，意为狗娘养的
114,conchetumare&hijos de perra,低俗色情,粗俗的侮辱性词语，意为'你的妈的阴部'和'狗娘养的'
115,hijos&de&perra,价值观,狗娘养的，用于辱骂他人的粗话
116,jotear,价值观,对男同性恋的侮辱性动词，意为'像同性恋一样被操'
117,los sionistas,涉敏,犹太复国主义者（常被用作反犹太人的代称）
117,pobre&wn&ignorante,涉敏,可怜的无知家伙（侮辱性称呼）
119,pobre&triste&weon&ignorante,涉敏,可怜、悲伤、蠢货、无知
122,vacuna&sin aprobación,涉政,声称疫苗未经批准，属于虚假信息
124,mononeuronas,价值观,单细胞，用于侮辱他人的智商
124,pusieron a gobernar a moreno & con trampas,涉政,让莫雷诺执政且通过作弊，指控选举舞弊
125,tarado&jódete,价值观,辱骂和诅咒用语，侮辱他人智商并诅咒其去死
126,estudea&ignorante,涉敏,学习吧，无知（对个人的侮辱性嘲讽）
134,retrasado mental,价值观,智力低下（对左派人士的侮辱性称呼）
136,loca&de&patio,价值观,对女性的侮辱性称呼，意为‘院子里的疯女人’
136,naya&facil,价值观,对女性的贬低，意为‘容易的女人’或‘放荡的女人’
144,tontona&zurda,涉政,愚蠢的左派，对政治立场持有者的侮辱性称呼
145,ignorante,价值观,无知的（侮辱性词汇）
151,ignorante & imbecilidades,涉敏,对用户的无知和愚蠢的侮辱性称呼
152,ignorante&ql,价值观,愚昧的混蛋，粗鲁的侮辱性称呼
153,rasca&sesgada&ignorante,价值观,低俗、有偏见、无知
154,plandemia&bozal a las mascarillas,涉政,plandemia指'计划好的疫情阴谋论'，bozal a las mascarillas指'把口罩称为口套'，均属误导性表述
157,公开他人身份证号,涉敏,未经授权公开或传播他人的身份证号码（Rut），属于个人敏感信息泄露。
159,ordinaria&ignorante,涉敏,粗俗和无知的侮辱性词汇
163,cara&de&simio,涉敏,猴子脸，用于侮辱非欧洲血统的人
165,pasados a culo,低俗色情,过去屁股（粗俗侮辱）
166,imbecil&ignorante,价值观,愚蠢无知的侮辱性词汇
176,picante de mierda europeista,价值观,对欧洲主义者的侮辱性称呼
178,progre ignorante,涉政,对进步派人士的侮辱性称呼
190,animal&ignorante,价值观,动物和无知者，用于侮辱和贬低他人
192,comunista&tercer&mundo,涉政,将他人贬低为第三世界的共产主义者，含有侮辱性含义
193,pedazo de tonta&ignorante&retonta,涉敏,对他人进行侮辱性称呼，意为“大傻瓜、无知、更傻”
196,ignorante&tipa básica,涉敏,无知的普通女人（对个人的侮辱性称呼）
198,comunista&mentirosa&ignorante,涉政,对政治立场持有者的侮辱性称呼
202,zurderío,涉政,对左派人士的贬称，含蔑视意味
206,imbecil&candidata,涉政,对政治候选人的侮辱性称呼
212,izquierda ignorante y mala clase,涉政,无知的左派和下等阶层
214,desprecia&gays,涉敏,鄙视同性恋
214,xenofogo,涉敏,仇外
217,homosexualizador,价值观,暗示通过某种力量将人变成同性恋，带有贬义和歧视性
220,evangélico&ignorante,宗教,福音派和无知（将福音派信徒与无知联系，构成歧视）
221,boludos&peruanos,涉政,对秘鲁人的侮辱性称呼，意为'傻瓜'
225,cornudo&pelotuda,价值观,对男性的侮辱性称呼，意为‘戴绿帽子的’和‘蠢货’
227,qlao&ignorante,价值观,该死的无知（对个人的侮辱性称呼）
229,estupida&mierda de persona,价值观,愚蠢和垃圾般的人（侮辱性用语）
231,zurdo&hijo de la gran puta,涉政,对左派政治立场者的侮辱性称呼，意为左派狗娘养的
234,ignorante&analfabeta,价值观,无知的文盲，用于贬低和侮辱他人智力的攻击性表述
236,chica ignorante&mantenganla callada,价值观,贬低女性无知并要求其闭嘴
240,qevon&ignorante&titeres del fracaso&vago qliao,价值观,对用户的侮辱性称呼和贬低性描述
257,ignorante&pro asesino en serie,涉政,无知的连环杀手支持者，用于对他人进行政治性人身攻击
267,ignorante&bastardo,涉敏,无知的混蛋
267,sacowea,涉敏,笨蛋/混蛋
269,ignorante,涉敏,无知的，用于侮辱他人
275,mujer&decadencia,价值观,女性的堕落，暗示女性整体道德败坏
283,victimas&ignorantes&huevonas&comunismo,涉政,对共产主义受害者的侮辱性称呼，意为无知懒惰的共产主义受害者
283,jadue&alcaducho&ladrón,价值观,对个人Jadue的侮辱性称呼，意为贪腐的市长和小偷
301,tratar de simios,价值观,将人比喻为猿猴的侮辱性称呼
313,hueones&ignorantes&resentidos&pusilánimes,涉政,混蛋、无知者、怨恨者、懦夫，用于侮辱政治对手或群体
314,cancer del mundo,涉政,比喻性的侮辱，意为‘世界的毒瘤’
314,racistas ignorantes,涉政,无知的种族主义者，用于攻击他人
331,gay&pedofilia,涉敏,将同性恋与恋童癖等同的歧视性关联
333,izquierda&ignorantes,涉政,左派与无知，用于贬低左派群体的侮辱性词组
336,canutos,涉敏,对英格兰人或新教徒的贬义称呼
344,peruanos&ignorantes,涉敏,秘鲁人无知，对秘鲁国籍群体的歧视性标签
351,locos&ignorantes,涉敏,疯子，无知的人
352,venezolanos&ignorantes,涉敏,对委内瑞拉人进行无知贬低
