text,label
ใครที่ดูถูกว่ารับงาน ว่ากะหรี่ เชิญคุณดูถูกได้ตามสบายค่ะ คนเรามีโอกาสในชีวิตต่างกัน,0.0
คนไม่ผ่านมันมาจะไม่เข้าใจเลยนะว่ามันทรมานขนาดไหน ก็นั่นแหละ ใช้เวลา 3 ปีกว่าจะหลุดออกจากวงจรอุบาทว์นั่นมาได้,0.0
โคตรสงสารเทควันโดชายเตะแทบตายคะแนนก็ไม่ขึ้นส่วนคนชนะนี่แทบยืนไม่อยู่นะจ้ะ อิเวรเอ้ยโกงแบบฉิบหาย 😡👎 #ซีเกมส์2017 pic.twitter.com/eloDTpNmtc,1.0
น่าสมเพช ทำไปเพื่ออะไร รู้สึกดีใจเพราะจะได้ชนะด้วยวิธีนี้หรอ ถามจริง รู้สึกดีจริงๆหรอวะ ทุเรศ,1.0
ทำตัวส่อ ต่ำ คิดว่าเท่แล้สล่ะสิ่,1.0
อารมณ์ชั่ววูบนี้เป็นเรื่องดีก็โอเค,0.0
ดาราเลิกกันละทำไมต้องตามไปเม้นถล่มในไอจีเค้าอ่ะ เป็นหมาหรอ เค้าโยนกระดูกให้ต้องรีบวิ่งไปเก็บงี้,1.0
"เมือเราถูกเข้าใจผิด...สิ่งที่ยากที่สุดคือพยายามปรับความเข้าใจกับ..ควาย..ด้วยภาษา...คน

#ชมรมครูฝึกยิงปืน",1.0
อีเวรถ้าเข้าไม่ได้ก็ติดป้ายไว้ ควย,1.0
สังคมดัดจริตชีวิตเลยต้องตอแหล งี้ก็ได้อ่อ,1.0
สวยไม่คงที่ กะหรี่สิคงทน,0.0
ก่อนจะโง่ทิ้งของมีค่า คิดก่อน คิดดีดี ดึงสติ ร้องตามทีหลัง มึงหมาไง,0.0
หงุดหงิดระบบมหาลัยว่ะ ใครมีน้องมีลูกอย่างส่งเรียนนะมึง มอนี้ระบบห่าเหวมาก,1.0
ถ้าน้ำท่วมอีกจะบอกคนชั่วหนักแผ่นดินไม่ได้แล้วนะ รึคนชั่วยังมีอีก 😂,1.0
