tweet	label
የሚጠብቀውን ሰራዊት እያዋረደና ለማፍረስ ሌት ተቀን እየሰራ ፤እስላም ተነስ ክርስቲያን ተነስ እያለ ሲቀሰቅስና ሲያባላ ከርሞ ሲያዝ ጋዜጠኛ ነኝ ማለት አይሰራም። አሜሪካ እኮ ከመቶ በ	Abuse
@USER @USER ላንተ ከሚሞተው ይልቅ ለአብይ ቆሽሻ ከበሻሻ ድጋፍ መስጠት ይበልጥብሃል:: ሆዳም ሰው ዘር የለው: ሐይማኖት የለውም: ወገን የለው	Abuse
አላህ ሆይ አንተ ሰላም ነህ የሰላም ባለቤት ነህና ሀገራችንን ሰላም አድርግልን ልብ የሚነካ ምስል ወለጋ የደም ምድር ?? አላህ ሆይ አጥፊዎችን አጥፋልን	Hate
@USER ለሙስሊሙ አጀንደ ለምስጠት ትረሮጠለክ ኦነግም ነብሰ በለ ነው ፈኖም ነብሰ በለ ነው	Hate
በአንድ ቀብር ጉድጓድ ብቻ 112 ሰው (ሙስሊሞች) ተቀብረዋል @USER @USER @USER @USER @USER #ኦሮሚያ_የደም_ምድር	Hate
አይደናቀፍም ይላሉ፡፡ ከዚያ ማን አወገዘ? ማን ዝም አለ? ማን አለባብሶ አለፈ? ኦዲት እናደርጋለን፡፡ ቢበዛ ለአንድ ሳምንት እንጮሃለን . ከዚያ ሌላ ጭፍጨፋ እስኪመጣ እንጠብቃ	Hate
የበቃን ምዕራፍ ላልተገደበው የደም ጎርፍ! በጥበበ ግዮን ሆስፒታል የሚሰሩ ሰራተኞች በአማራ ላይ የተፈጸመውን ጭፍጨፋ አውግዘዋል! #AmharaGenocide #PublicProtest	Normal
እንዴ እነ @USER ይሄ ሁሉ አማራ ሲጨፈጨፍ የት ጠፉ ቀለብ ቆራጮቻቸው ደስ እንዲላቸው ስንት አማራ ይሙትላቸው ነገ ደሞ መጥቶ ጁንታ ዙጲ እያለ ልቅ ካድሬ አፉን ይከፍታል ስንቱን ሳናቀው ከሰው ቆጠረንው	Hate
@USER አንተ ጥንብ አንሳ የሽመልስ አብዲሳ የሽንት ጨርቅ አንተማ ፈፅሞ አማራ አይደለህም ።1500 ኦሮሞ ተገሎ ቢሆን በአናትህ ነበር የሚተክሉህ።ሽንታም ቆሻሻ!!!	Abuse
@USER አሸባሪው ማን ይባላል ?? Jesus Christ እንደ PP ዘንድሮ የተጨመላለቀብን የለም።	Hate
@USER የምጣዱ ሳለ የእንቅቡ ተንጣጣ አሉ እስኪ መጀመሪያ የትግራይን ህዝብ እፎይታ ስጧቸው አዛኝ ቅቤ አንጋች አትሁን አስመሳይ ሁላ	Abuse
@USER አጀንዳችንን አንለቅም የወለጋዉን ጭፍጨፋ ተከትሎ የመጣዉን ተቃዉም ለማስለወጥ የተዘጋጀ አጀንዳ ነዉ ሱዳን ከወረረችን ሁለት አመት አልፎታል ያኔ ምንም ሳትሉ ቀር	Hate
@USER የኢትዮጵያ ህዝብ ከእንዳንተ አይነቱ ቦቅቧቃ በቀር አሁንም ጀግና የጀግና ልጅ ነው ፣ መንግስት ከጠራው ለሀገሩ ለመሞት ዝግጁ ነው ፣ እንዳንተ አይነቱን ሸለፈት	Abuse
@USER አንተ ወጣ ወጥ አትዘባርቅ! ኢትዮጵያዊ ዜጋ እንደ ቀልድ ሲገደል ህመሙ ባይሰማህ! ህመም ተሰምቶት ሀዘኑን ለገለፀ ጀግና ምስጋና ሲገባህ . የማይነካውን ኢትዮጵያዊ ጀግና ትነካለህ!.አተላ!	Abuse
መንግስትን ከደሙ ለማንፃት ለሚሯሯጡት እና የአማራን ሞት ሀገር ማስቀጠያ ለሚያደርጉት ከሀዲዎች የሚሆን መልዕክት . #StateSponsoredAmharaGenocide	Hate
@USER ለአማራ ህዝብ አዝኖ ሳይሆን ጠባቂው ስለተገደለበት በእዛ ንዴት ነው ወጥቶ የተናገረው እንጂ ድምጽማ አልሆነም ድምጹን አጥፍቶ ነበር የተቀመጠው ጠባቂው ባይገደል	Abuse
@USER @USER በዘመነ አውሬ ደም መለገስ ምናምን የሚባል በጎ ስራ አይፈቀድም ! የሚፈቀደው የንፁሀንን ደም ማፍሰስ ወይም መጠጣት ነው ።	Abuse
ምን ይደረግ እነ ፕሮፌሰር አስራት ወልደየስ : እነ ፕሮፌሰር ነቢያት : አክሊሉ ሀብቴ (ፕሮ) ይመሩት የነበረውን ተቋም የተማረ መሀይም ሲመራው ማየት ልብ ያማል እውነተኛ ፍርድ መቼም ሆነ መቼ ይገኛል	Abuse
@USER ቋንቋዎችን በተቀመጠው ስርዐት እንጠቀምባቸው። አማርኛ አንድን ልሳን ከተናጋሪው ሕዝብ ጋር የሚያቆራኝበት ስልት አለው። እንግሊዝ)እንግሊዘኛ፤ ጉራጌ/ጉራጌኛ፤ አማራ/አ	Normal
@USER ፓስተሮች ሆስፒታል ውስጥ አይፈውሱም ምክንያቱም እዛ ያሉት ትክክለኛ ታማሚዎች ስለሆኑ ይባላል።ስለዚህ በመድረክ ቲያትር አትሸወዱ።ለማንኛውም ፈዋሽ እግዚሕአብሔ	Hate
@USER ስራማቆሙ ጠቃሚ ቢሆን እንኮ ባልደራስ እንድንደግፈው በመጠየቁ ብቻ ለሁከትናለስውር አላማ ስለሚሆን አንደግፈውም።የባልደራስን መንገድ መከተልኢትዮፕያን አደጋውስጥ	Hate
@USER ሰርክል እዚህ መንደር ምንድን ነው?	Normal
ተጣልቶ ነው እንጂ እግዜር እረግሞት ሰው ህሊና ሸጦ ምን ሊገዛበት?	Abuse
@USER ብአዴንን ማስወገድ ያልቻለ ፋኖ የአማራን ህዝብ ነፃ ማዉጣት አይችልም። ከብአዴን ጋ በስምምነት እንሰራለን የሚል ፋኖ ጋ ምንም አይነት ትብብርና ድጋፍ ማድረግ አያስፈልግም ።	Hate
አያቱ ከየትም መጥቶ ፊንፊኔ ተጠግቶ፣ የልጅ ልጁ ዛሬ አያቱን ያስጠጋውን ደግ ህዝብን ፊንፊኔ እንደባላቤት ሳይሆን እንደማንኛውም ሰፋሪ መጤ ሁነህባት ኑር ይላል!	Hate
@USER የክልል ባንዲራ ይዞ የደላቸው የወያኔ ቡቹሎች ፈነጠዙና ምን ጠብ ይላል?? ይልቅ በርሃብ የሚጠበስው፣ ለጥይት የሚዳረጉትን ወጣቶች አስቁሙዋቸው።	Hate
@USER አተ የሰው ሰይጣን ኢግዛኣቤር መች ታቃላህ	Abuse
@USER @USER አሁን ምን አደረኩ አለ አሉ ሰይጣን ??	Abuse
በአትዮጵያ ሕዝብና በኢትዮጵያ ሰም የሚነግዱ ጋዜጠኛ ነን ባዮች ደንቆሮ መሀይም የህውዋት ተላላኪ አሸከር የሀሳብ ባሪያ በሙሉ ዩቱብ ላይ ተቀምጠው የገቢ ምንጫቸው የዐብይ ሰምና ፎቶ	Hate
@USER የኢዜማ ሊቀመንበር ዶ/ር ብርሃኑ ነጋ እኮ ይኸው በዛሬው እለት የእሱ መገኛ የሆነችው የጉራጌ ዞን በዚሁ በተያያዘው ምስል ላይ እንደምትመለከቱት፣ ወደ ክልል ደ	Normal
ዛሬ የድሮ የተፈሪ መኮንን ት/ቤት ጓደኞቼን ተገናኝተን የሆድ ሆዳችንን ተጫወትን። አረጀሽ፣ አረጀህ ተባባልን ግን ትዝታ አያረጅም የሚል አንድ ድምፅ በጆሮዬ ሹክ አለኝ ግዜው እንዴት ይነጉዳል ጎበዝ?	Normal
@USER @USER @USER @USER @USER @USER @USER ብዙኃኑ አማራ ብአዴን የአማራ ዋና ጠላት መሆኑን ያውቃል።ላም እሳት ወ	Hate
@USER @USER አንሙት ጅል። ይሄ ከቤተሰብ ምን ያገናኘዋል ? ክፍሉ የራሱ ፖለቲካ አቋም ያለው ሰው ነው። ብትፈልግ በሀሳብ ሞግተው። ፖለቲካችሁ personal ሆኖ ቀረ። ያሳዝናል።	Abuse
@USER በጣም:: ፀጉራቸው ወዙ ልዮ ነው:: ከ 3 የሚመጡት ግን ወዝ የላቸውም:: ፀጉራቸው አመደም እና ከርዳዳ:: ወተት እነሱ ጋር የለም መሰለኝ	Hate
ዛሬ ቀኑ ደስ ይላል??	Normal
@USER ተመሣሣይ መንገድ ወደ ተለየ ቦታ አያደርስም ። ወያኔም ይሄንኑ አሠልቺ የካድሬ ስብሰባ ሲደጋግም ኖሮ . እባክህ በተሠጠህ እድል የችግሮቻችን ሁሉ ምንጭ የሆነው	Hate
@USER ደደብ አህያ ማለት ይሄን ነው። ለማንም የማይበገር ጦር አለን እያልን ጉራ እንቸረችራለን። እንዳለፈው ወያኔን ከያዘው መሬት ማስለቀቅ ያቃተን ለምን ነው? ፍላጎት ስለሌለ	Hate
አፋር በአፋር ክልል በዞን.4 ግምባር #የፎኪሳን ተራሮች ለመቆጣጠር መሽጎ የነበረውን የጠላት ሃይል በመከላከያ ሰራዊት በአፋር ልዩሃይልና ህዝባዊ ሰራዊት በጋራ ከምሽቱ 1:00 ሰአ	Normal
ከሰሜን በኩል ህዝቡን በረሃብ አለንጋ እየገረፈ በማይገባው ሥልጣን ላይም የተቀመጠው ጅላጅል መሪውም ጠግበው በሚዋጉበት ጦርነት መቼም አልሳተፍም ። አብይ የሚባለው ኢትዮጵያ በሚባል ቢ	Abuse
@USER @USER @USER ለ እየሩስ ነው መልስ የሰጠሁት የሚያስለፈልፍ በሽታ አለብሽ እንዴ ??	Abuse
@USER ሠገጤ !! ምን አይነቱ ደንቆሮ ነው ?!	Abuse
ወረደ . የሸርሙጣ ግንኙነት . ሀገሬ ይህን ነበር 30 አመት የተሸከምሽው።	Abuse
የብልጽግናቸው ውጤት ነው። ግም ለግም አብረህ አዝግምም አይደል የሚባሌው?	Abuse
@USER የትህነግ ተላላኪ ናችሁ! ጀግናው የብሔር ብሔረሰብ ጥምር ጦር ከመላው ሀገሪቷ ተሞ አንገትህን ሊያንቅ ደጅህ የቆመውን ጠላትህን ከእውነተኛ ፋኖ ጋር በጥምር እየተ	Hate
@USER ልደቱ ራሡ ውሻ ነው ወያኔ ሥልጣን ላይ የወጣው ከማን ጋር ሆኖ ማንን እየወጋ ነው። ውሻ ያኔ ሀገር አል ነበሩም ሊለን ይችላል ነገር ግን ማነው እነሡን ሀገር	Abuse
የኢትዮጵያ ብቸኛው መዳኛ መከላከያ ሲሆን ወንድሙ ፋኖ ይባላል ።	Normal
