Tweet,Class
الوزير جبران باسيل تاج راسك يا جربان ممنوع بعد اليوم المساس بمقدساتنا من ربنا والهنا يسوع المسيح	,1
صديقي انت ابن جامعه اللعبه اكبر من داعش اللعبه سنيه شيعية واعادة توزيع ديموغرافي بسوريا	,0
و مصلحة لبنان تبدأ باستخراج النفط و الغاز لوقف الشحادة و هذه نقطة ضعف لبنان ليبقى رهن سياسات اقليمية و… 	,0
وليد جنبلاط كاتب الحكمة يا قذر 	,1
شو بتلبقلك كلمة خنزير بتجي مفصله على قياسك وشكلك    	,1
يا جبران باسيل يا معلم يا ريس يا استاذ بدك حضن سوريا روح لعندون مبروك علك سلفا هالحضن انما الحلم لعبتحلمو عدمنا مراح يصير	,0
ما سمعنا جعاركم مبارح على القصف الإسرائيلي يلي اغتصب سماء سوريا ، نباح و عويل جيش ابو شحاطة وصل لقبرص	,1
نصيحة احكي مع الرئيس ميشال عون او هاجم جبران باسيل مليار دولار جابو من قطر شكرا قطر 	,0
صافي يا بقر	,1
لا تعتب عليه هيدا اسمه ابو صرماي 	,1
لو الدولة تحترم نفسها كان انت يالبلطجي في السجن 	,1
مش عم يناموا الليل ليقدمولنا حكومة      	,0
يا عيبو عليكي يا إيران عم تحوي إرهابيين تعلمي من السعودية درسيهم عندك وبعتيهم لبرا	,1
هل تعرف مامعنى أن تدفع دولة نص مليار دولار لدولة أخرى مترنحة إقتصادياً وكانت تستطيع أن تستثمرهم… 	,0
قنبلة ذزية يروحو فيها الاثنين معا افضل حل 	,1
مش جايي لعندك و على دولة الخلّفك و فيك تفل إذا مش عاجبك 	,0
لو فعلا في دولة حضرتك كنت بالحبس هلق بس للاسف 	,0
أووووووف السيد حسن يثبت صدق علاقته مع جبران باسيل بويكيليكس يلي خاطبوا أميركا بالعلن وبالسر خطاب آخر	,0
يستاهلوا 	,0
لا شرطي روسي يا ابن الستين كلب	,1
في مثل هذا اليوم وقبل ست سنوات قام تنظيم الدولة البراميلية بذبح الأطفال والنساء بالسكاكين وحرق بعضهم أحياء في بانياس لم…	,0
ليش بتنطرب وبتسكر لمن بتجيب سيرة الحذاء يا زلمي مع إن كل واحد بفش خلقو ع ذوقو حسب مفهومو ثقافتو وعقلو… 	,1
