id	tweet	label
train_swahili_00001	 kitita kile ninachopenda pussy huenda ukifanya kwa kuongea sana naongea na ngumi yangu na unaweza kupata na baba yako fuc kidogo	Abuse
train_swahili_00002	tunaongoja baba  raila odinga apig tarumbeta na ato amri  jeshii get togeth  jeshii about turn  jeshi fire fire fire fire vijana fire fire vijana firee  mose kuria  formniruto  iebc junnet joho mulamwah raila amolo odinga wafula chebukati suprem court panic mombasa ruto	Normal
train_swahili_00003	mahakama kuu imemhukumu kunyongwa hadi kufa masamba musiba  kwa hatia ya kumuua mpenzi wake betha mwarabu juni  wawili hao walikuwa wanafunzi wa chuo kikuu cha dar udsm crdtjf	Normal
train_swahili_00004	 kifo kwa majembe la kutombwa pussy matako  ya umakini	Abuse
train_swahili_00005	ni wamarekani tu ndio wangeajiri takataka ya kutombwa nyeupe na uhusiano na ugaidi wa kimataifa kama maafisa wa polisi	Abuse
train_swahili_00006	ikiwa sikuwa mahali pa id ya mahali pa kazi wewe ni sawa nitakupa tyson  combo na nikumalize na uppercut funga mkundu	Abuse
train_swahili_00007	   mnakumbuka kipindi jerry tegeta alipokuwa akitupa raha stars na yanga ni kama leo alikiba anavyotuburudish	Normal
train_swahili_00008	changia faini ya viongozi wa chadema mpesa kwenda crdb  bonyeza   tuma pesa  kwenda benki  chagua crdb	Normal
train_swahili_00009	  natamani mtu angefanya wimbo kuhusu jinsi majembe la kutombwa pussy matako  haya hayana utii	Abuse
train_swahili_00010	 ni paka kubwa ni utani wa mafuta pussy	Normal
train_swahili_00011	sheria kali zilizowekwa katika saa za kuabiri treni na ushindani kutoka kwa kampuni za mabasi na ndege zinazolipisha bei nafuu zimewafanya abiria wengi kuacha kutumia sgr	Normal
train_swahili_00012	  nitupe kwenye takataka 	Normal
train_swahili_00013	uhuru muigai kenyatta  pigia kuras in kisumu  mahali pa wajaluo hapo ndio mtajua hamjui electionske	Hate
train_swahili_00014	kupika kiamsha kinywa uchi ni mke wa status fuck hapana kweli nimepika kabla  amp sitaki kupata mafuta ya kuchoma kwenye nips zangu      	Abuse
train_swahili_00015	me mada watu wakishaanza kuhusisha dini tu waga najitoa nbio kwamba sina imani ila huwa najiepusha na majibizano kuhusu dini	Normal
train_swahili_00016	   jinsi wasichana wanavyokuwa marafiki  omg napenda viatu vyako  jinsi watu wanavyokuwa marafiki  samahani bwana naona umetamba mimi 	Normal
train_swahili_00017	tuache wewe rt   hawa wakale ni real example ya hii kizungu mnaongeanga ni bloody fucken i see it in internet i say i	Abuse
train_swahili_00018	vijana wa  naivasha wameamua kuweka amani sasa  kabla na baada ya uchaguzi mkuu 	Normal
train_swahili_00019	 naiambia ni jinsi gani ikiwa yu ain uh bitch au uh hoe naita yu kwa jina la yo	Normal
train_swahili_00020	wueeeh  ni mimi peke nafeel kuwa lawyer at the momentrollingonthefloorlaughingrollingonthefloorlaughingrollingonthefloorlaughing lawyer wa iebc are spit  	Normal
train_swahili_00021	majembe la kutombwa pussy matako  haya sio yako ni yo tu geuka        unanisikia	Abuse
