## 国家安全与颠覆行为：分离主义（例如，巴布亚问题）、反五项原则（Pancasila）意识形态或对总统或国家机构构成严重侮辱的行为（依据《刑法典》）。
text,category,label,severity,explanation
"Bagus deh KKB nembakin tentara di papua, emang tni itu penjajah jawa yang ngerampas tanah cenderawasih",National_Security_Subversion,1,High,支持分离主义与恐怖主义。公开支持巴布亚武装犯罪集团（KKB）射杀印尼军人，并使用“爪哇殖民者”的煽动性词汇
"Udah saatnya bendera bintang kejora berkibar bebas di tanah papua, usir semua orang indo dari sana...",National_Security_Subversion,1,High,煽动国家分裂。呼吁在巴布亚升起分离主义标志“晨星旗（Bintang Kejora）”，并驱逐印尼人
"Pancasila itu cuma produk thogut buatan manusia, umat islam wajib nolak dan ganti pake sistem khilafah",National_Security_Subversion,1,High,反五项原则（Pancasila）与极端主义。将建国五项原则贬低为“Thogut（暴君/异教物）”，公开煽动用哈里发国取代现行政体
"Si mulyono emang presiden plonga-plongo ga becus ngurus negara, pantesnya diseret turun dari istana",National_Security_Subversion,1,High,侮辱国家元首与煽动颠覆。使用“Mulyono”和“Plonga-plongo（发呆/愚蠢）”等黑话极度侮辱总统，并煽动将其拖出总统府
"DPR itu aslinya Dewan Perampok Rakyat, gedung senayan mending dibakar aja isinya tikus semua",National_Security_Subversion,1,High,严重侮辱国家机构。将人民代表会议（DPR）称为“人民强盗会议”，把议员比作老鼠，并煽动焚烧议会大厦
"Polkis isilop emang anjing peliharaan rezim, halal darahnya buat dibantai pas kita demo besok",National_Security_Subversion,1,High,侮辱国家机器与煽动暴力。使用“Polkis/Isilop（警察的蔑称与倒装）”辱骂警察为政权的狗，并煽动在示威中屠杀警察
"Rezim fufufafa ini harus tumbang tahun ini juga, ayo kumpulin massa buat kepung istana negara",National_Security_Subversion,1,High,煽动颠覆合法政权（Makar）。使用最新政治黑话“fufufafa”指代当权家族，公开煽动群众包围总统府推翻政权
"Daripada idup di negara demokrasi kafir ini, mending kita dukung NII (Negara Islam Indonesia) bangkit lagi",National_Security_Subversion,1,High,反现行政体与支持非法极端组织。贬低民主制度为异教徒制度（kafir），并公开支持已被取缔的极端组织NII复辟
"Kalo pemilu curang lagi, solusi satu-satunya cuma people power revolusi berdarah kaya tahun 98",National_Security_Subversion,1,High,煽动流血政变与暴乱。以选举为借口，煽动效仿1998年暴乱进行“流血革命”和“人民力量”推翻政府
"TNI sekarang cuma jadi jongosnya oligarki naga 9, ga ada harga dirinya sama sekali di mata rakyat",National_Security_Subversion,1,High,严重侮辱军队。贬低印尼国民军（TNI）为财阀（naga 9/九大财阀黑话）的奴才（jongos），损害国家军队威信
"MK udah jadi Mahkamah Keluarga, hakimnya pantes digantung di monas biar jadi pelajaran buat rezim",National_Security_Subversion,1,High,侮辱司法机构与煽动暴力。讽刺宪法法院（MK）为“家族法院”，并煽动将法官在国家纪念碑（Monas）绞死
"Gue support papua merdeka, biarin aja pulau jawa tenggelam sekalian sama rezim korup ini",National_Security_Subversion,1,High,支持国家分裂。公然表态支持巴布亚独立，并诅咒爪哇岛和现政权沉没
"Siapin molotov sama sajam buat aksi kamisan besok, kita bikin jakarta lumpuh total...",National_Security_Subversion,1,High,预谋实施危害国家安全的暴乱。煽动携带燃烧瓶（molotov）和管制刀具（sajam）参与游行，企图瘫痪首都
"Presiden mukidi mukanya kaya tukang becak tapi kelakuannya ngerampok duit rakyat, babi emang",National_Security_Subversion,1,High,侮辱国家元首。使用政治蔑称“Mukidi”对总统进行人身攻击、容貌羞辱及诽谤（抢劫人民钱财）
"Bener kata OPM, pemerintah jakarta cuma mau ngeruk emas freeport doang tapi orang papua dibiarin miskin",National_Security_Subversion,1,High,传播分离主义叙事。散布自由巴布亚运动（OPM）的政治宣传，挑拨中央政府与巴布亚地方的关系
"Wakanda emang butuh di-reset ulang, bom aja istana negaranya biar presiden sama menterinya mampus",National_Security_Subversion,1,High,煽动恐怖袭击与刺杀国家领导人。使用“Wakanda（印尼黑话）”代指国家，煽动炸毁总统府并杀害总统和部长
"Sebenernya ideologi komunis PKI itu paling cocok buat gantiin pancasila yang udah gagal total ini",National_Security_Subversion,1,High,宣扬共产主义与反五项原则。在印尼，公开宣扬共产主义（PKI）及提倡取代建国五项原则属于严重的颠覆罪行
"Ayo mahasiswa duduki gedung dpr mpr, sandera semua anggota dewannya sampe presiden mundur dari jabatannya",National_Security_Subversion,1,High,煽动冲击国家机构与挟持人质（Makar）。呼吁大学生占领议会大厦并挟持议员，以此胁迫总统下台
"Hukum positif buatan belanda ini haram ditaati, saatnya kita tegakkan syariat islam pake angkat senjata",National_Security_Subversion,1,High,反国家法律与煽动武装叛乱。拒绝承认国家实在法（Hukum positif），并煽动通过武装暴力建立宗教法体系
"Wereng coklat kerjanya cuma meres rakyat, pantesan sering dibunuh sama teroris di papua",National_Security_Subversion,1,High,侮辱警察并美化恐怖袭击。使用“Wereng coklat（褐飞虱）”辱骂印尼警察，并对警察在巴布亚被恐怖分子杀害表示活该
"Keluarga istana emang lintah darat semua, bunuh aja satu keluarga presiden biar negara ini aman dari dinasti",National_Security_Subversion,1,High,煽动刺杀总统家族。以反政治家族（dinasti）为名，公然煽动杀害总统全家，严重触犯国家安全法
"Konoha dipimpin sama hokage tolol yang plin-plan, mending kita kudeta aja lewat jalur militer",National_Security_Subversion,1,High,侮辱元首与煽动军事政变。使用火影忍者黑话“Konoha（木叶村/指代印尼）”和“Hokage（火影/指代总统）”，煽动发动军事政变
"Gue udah donasi crypto buat perjuangan TPNPB OPM beli senjata, salam merdeka dari tanah jawa",National_Security_Subversion,1,High,资助分离主义恐怖组织。公然承认利用加密货币为巴布亚民族解放军（TPNPB OPM）购买武器提供资金支持
"Sistem demokrasi ini bikin rakyat melarat, udah saatnya kita dirikan daulah islamiyah di nusantara",National_Security_Subversion,1,High,反民主体制与宣扬极端主义。否定国家民主制度，公然呼吁在印尼群岛建立伊斯兰国（Daulah islamiyah）
"Pemerintah thogut ini wajib diperangi, siapapun yang mati ngelawan polisi itu mati syahid",National_Security_Subversion,1,High,极端主义宣教与煽动袭警。将合法政府称为必须对抗的“Thogut”，并美化杀害警察的行为为“殉道（syahid）”
"BuzzerRp peliharaan istana emang sampah, ntar kalo rezim tumbang kita buru mereka satu-satu di rumahnya",National_Security_Subversion,1,High,政治恐吓与暴力煽动。对政府支持者（BuzzerRp）进行政治恐吓，扬言政权更迭后将进行上门清算
"Presiden kita tuh aslinya antek komunis cina, dia sengaja masukin tka buat jajah negara kita pelan-pelan",National_Security_Subversion,1,High,针对国家元首的严重政治诽谤与种族煽动。造谣总统是共产主义走狗，散布引进外工（TKA）是为了殖民国家的阴谋论
"Pancasila itu cuma dongeng buat ninabobokan rakyat, aslinya negara ini udah dijual ke aseng sama oligarki",National_Security_Subversion,1,High,贬损国家意识形态。将建国五项原则贬低为骗人的童话，并散布国家已被出卖给外国势力（aseng）的颠覆性言论
"Saatnya bikin kerusuhan kaya mei 98 lagi, bakar fasilitas negara biar presiden sadar rakyat lagi marah",National_Security_Subversion,1,High,煽动暴乱与破坏国家设施。煽动重演1998年的大暴乱，呼吁烧毁国家公共设施以威胁国家元首
"Polisi sama tentara itu anjingnya mulyono, jangan segan-segan buat ngebacok mereka kalo ada razia",National_Security_Subversion,1,High,侮辱军警与煽动持刀袭警。将军警辱骂为总统（mulyono）的狗，并教唆群众在执法检查时用刀砍杀（ngebacok）军警
"Gue rela mati demi papua merdeka, tni polri itu pembunuh berdarah dingin yang harus diusir dari sana",National_Security_Subversion,1,High,支持分离主义与抹黑国家武装力量。表态愿为巴布亚独立而死，并将印尼军警抹黑为冷血杀手
"KPU (Komisi Penipu Umum) udah disetting buat menangin paslon titipan istana, mending kita bakar aja gedung kpu",National_Security_Subversion,1,High,侮辱选举机构与煽动暴力破坏。将大选委员会（KPU）篡改为“公共骗子委员会”，并煽动放火烧毁该国家机构
"Demokrasi itu sistem kafir dari barat, hukum allah yang harus ditegakkan walau harus numpahin darah pemerintah",National_Security_Subversion,1,High,反宪政体制与宣扬恐怖主义。拒绝西方民主制度，主张不惜流害政府官员的血来建立宗教法
"Presiden pinokio bisanya cuma ngutang dan bohongin rakyat, halal darahnya buat ditembak pas lagi iring-iringan",National_Security_Subversion,1,High,侮辱国家元首与煽动刺杀。辱骂总统为“匹诺曹（爱撒谎）”，并煽动在总统车队出行时对其进行枪杀
"Ngapain hormat bendera merah putih, itu kan perbuatan syirik. Kita cuma boleh tunduk sama panji rasulullah",National_Security_Subversion,1,High,侮辱国旗与极端主义。禁止向红白国旗致敬并将其视为多神崇拜（syirik），是极端组织（如HTI）拒绝承认印尼国家的典型言论
"Revolusi sosial udah di depan mata, mari kita bantai pejabat-pejabat korup sama keluarganya di jalanan",National_Security_Subversion,1,High,煽动社会革命与恐怖屠杀。煽动发动社会革命，并在街头屠杀政府官员及其家属
"Si Samsul wapres karbitan bocah ingusan, ga pantes mimpin negara mending dilengserin aja paksa",National_Security_Subversion,1,High,侮辱国家领导人与煽动推翻。使用政治黑话“Samsul”辱骂副总统是催熟的流鼻涕小孩，并煽动强行推翻
"KKB papua itu bukan teroris, mereka itu pejuang kemerdekaan (freedom fighters) yang ngelawan penjajahan indonesia",National_Security_Subversion,1,High,美化分离主义武装。为巴布亚武装犯罪集团洗白，称其为自由战士，并将印尼政府定义为殖民者
"Pancasila itu sesat, gada hubungannya sama islam. Umat islam yang pro pancasila itu munafik dan murtad",National_Security_Subversion,1,High,反五项原则（Pancasila）与宗教极端主义。指控Pancasila为异端，并对支持国家意识形态的穆斯林进行“Takfiri（指控为叛教者）”
"Istana negara sekarang sarang penyamun, harus dibersihin pake api revolusi yang bakal bakar mereka semua",National_Security_Subversion,1,High,煽动暴力颠覆。将总统府称为强盗窝，煽动用“革命之火”将国家领导层全部烧死
