##仇恨言论、SARA与亵渎： 基于种族、宗教、民族差异的攻击或亵渎行为。违反《信息和电子交易法》(UU ITE) 及刑法亵渎罪，严打涉及部落、宗教、种族（SARA）的挑衅。
text,category,label,severity,explanation
"Sipit buka toko di tanah kita tapi gak mau membaur, boikot aja barang aseng",Hate_Speech_SARA,1,High,Rasisme terhadap etnis Tionghoa. Menggunakan istilah stereotip rasial (sipit, aseng) dan memprovokasi boikot ekonomi berbasis etnis.
"Emang dasar cina pelit, ngeruk duit pribumi doang buat dibawa ke negara asalnya",Hate_Speech_SARA,1,High,Ujaran kebencian berbasis ras. Menggeneralisasi etnis Tionghoa dengan stereotip negatif (pelit, pengeruk kekayaan).
"Mata sipit pantesan otak licik, ntar lama-lama kita dijajah sama 9 naga",Hate_Speech_SARA,1,High,Rasisme dan teori konspirasi SARA. Menyerang ciri fisik (mata sipit) dan mengaitkannya dengan konspirasi oligarki '9 naga'.
"Cokin sok elit di pik, giliran disuruh bayar pajak nangis, usir aja balik ke asalnya",Hate_Speech_SARA,1,High,Slang rasis. Menggunakan kata merendahkan 'Cokin' untuk etnis Tionghoa dan menghasut pengusiran dari negara.
"Pribumi jadi babu di negeri sendiri gara-gara tka sipit bawaan komunis",Hate_Speech_SARA,1,High,Provokasi rasial dan xenofobia. Mengadu domba antara 'Pribumi' dan etnis Tionghoa/TKA dengan menempelkan stigma komunis.
"Gen sipit emang bawaan penjajah ekonomi, halal buat dijarah tokonya kalau lagi chaos",Hate_Speech_SARA,1,High,Rasisme dan provokasi penjarahan. Melegitimasi kekerasan dan penjarahan terhadap toko milik etnis minoritas.
"Aseng komunis mulai berani bangun patung dewa di kampung kita, hancurin aja",Hate_Speech_SARA,1,High,SARA ganda (Ras dan Agama). Menghina etnis (Aseng), menuduh komunis, dan menghasut perusakan simbol keagamaan.
"Kebiasaan kaum sipit makan babi makanya virus penyakit nyebar ke pribumi",Hate_Speech_SARA,1,High,Rasisme berbalut hoaks medis. Menyalahkan etnis tertentu dan kebiasaan diet mereka sebagai penyebar penyakit mematikan.
"Chindo sok eksklusif, kalau ketemu di jalan pepet aja mobilnya biar sadar diri",Hate_Speech_SARA,1,High,Kebencian berbasis etnis (Chinese-Indonesian/Chindo). Memprovokasi intimidasi fisik di jalan raya berdasarkan identitas rasial.
"Keturunan aseng gak pantas jadi pejabat di tanah nusantara, darah mereka kotor",Hate_Speech_SARA,1,High,Rasisme dan diskriminasi politik. Melarang kelompok etnis tertentu berpartisipasi dalam politik dengan alasan 'darah kotor'.
"Oap kelakuannya barbar kaya monyet lepas dari hutan, dikasih otsus malah makin ngelunjak",Hate_Speech_SARA,1,High,Rasisme ekstrem terhadap Orang Asli Papua (OAP). Menyederhanakan manusia menjadi hewan (monyet) dan menghina budaya mereka.
"Mahasiswa timur kalau kos di sini cuma bikin rusuh, bau tuak sama bau badan gak pernah mandi",Hate_Speech_SARA,1,High,Rasisme dan stereotip regional. Merendahkan mahasiswa dari Indonesia Timur dengan stigma pemabuk dan tidak higienis.
"Gak usah kasih kontrakan ke orang timur, otak primitif belum berevolusi pantesan miskin terus",Hate_Speech_SARA,1,High,Diskriminasi sipil dan rasisme. Menyerukan penolakan sewa rumah berdasarkan ras dengan hinaan evolusi (primitif).
"Dasar kera papua, dikasih jalan aspal malah minta merdeka, bantai aja semua pemberontak hitam itu",Hate_Speech_SARA,1,High,Rasisme mematikan (Dehumanisasi). Memanggil ras tertentu dengan sebutan kera dan menghasut pembantaian etnis.
"Kulit lu gelap kaya pantat wajan, balik aja ke hutan sana makan ubi gak usah kuliah di jawa",Hate_Speech_SARA,1,High,Colorism dan rasisme (Color-shaming). Menghina warna kulit dan menyuruh etnis tertentu kembali ke hutan.
