word,category,meaning
69&bachhe&mr&gye,价值观,69个孩子死了
adik&anjiang,价值观,骂人话，意为'狗崽子'或'狗弟弟'
admin&goblok,价值观,愚蠢的管理员（侮辱性称呼）
administrator&bego,价值观,管理员是白痴（侮辱性称呼）
ahok&simulut&jamban,价值观,对Ahok的侮辱性比喻，意为嘴像厕所
air&kencing&onta&suling&tinja,价值观,喝骆驼尿和蒸馏粪便，侮辱性言论
ajg&pelacak,价值观,骂人的脏话，狗和婊子
akun&busuk&lu&ae&mati&duluan,价值观,腐烂的账号和去死
alay&tai,价值观,对风格土气夸张的人的侮辱性称呼，'tai'意为屎，整体为贬低
alien&film&indian,价值观,像印度电影里的外星人，用于侮辱他人外貌或身份
amis&baubadan,价值观,体臭，用于侮辱他人
anak&alay&modar,价值观,粗俗地贬低他人为幼稚并诅咒其死亡
anak&asuh&dungu,价值观,愚蠢的学生
anak&hasil&gelap,价值观,暗指私生子，非法关系所生的孩子，属侮辱性言辞
anak&hubungan&gelap,价值观,私生子，侮辱他人为非法生子的侮辱性称呼
anak&pemberontak,价值观,叛徒的孩子
anak&setan,价值观,恶魔的孩子，是一种侮辱性称呼
anak&tidak&berak&di&celana,价值观,像拉屎在裤子里的孩子，侮辱性比喻，用于羞辱对方
anak&tuyul,价值观,鬼胎/侏儒，用于侮辱他人的称呼
anj&congor&bebek,价值观,侮辱他人为狗和鸭嘴，用于贬低人格
anjg&banci,价值观,用'狗'和'变性人'进行侮辱，针对性别认同的歧视性称呼
anjg&org&sarap,价值观,狗和疯子，用于辱骂他人的粗俗词汇
anjing&anak&haram&jadah&tuna&susila,价值观,狗、私生子、妓女等侮辱性称呼
anjing&babi&tolol,价值观,使用动物名称（狗、猪）和愚蠢进行人身攻击
anjing&babi&tolol&babu&bodoh,价值观,狗、猪、愚蠢、奴隶般愚蠢等侮辱性称呼，用于贬低他人人格
anjing&bangsad,价值观,狗和婊子/混蛋，均为侮辱性称呼
anjing&blok&bodoh,价值观,狗和愚蠢的混蛋，用于辱骂和贬低他人
anjing&elo,价值观,你这条狗，侮辱性称呼
anjing&geblek,价值观,狗和愚蠢，用于侮辱他人的粗口，意思是'你这狗东西，真愚蠢'
anjing&goblog&setan&bangsat,价值观,印尼语中的侮辱性词汇，意为狗、愚蠢、魔鬼、臭虫等。
anjing&kambing,价值观,将人比作狗和饿羊的侮辱性词汇
anjing&maho,价值观,对同性恋者的侮辱性称呼，意为'狗同性恋'
anjing&pembohong,价值观,骗人的狗，侮辱性称呼
anjing&sampah&tolol,价值观,针对他人的侮辱性称呼，表示狗、垃圾、愚蠢等
anjing&tolol,价值观,狗和笨蛋，侮辱性词汇
anjing&tolol&binatang&bego&autis&idiot,价值观,狗、愚蠢、畜生、笨蛋、自闭症、白痴等侮辱性词汇
anjing2,价值观,印尼语中'狗'的复数形式，用作侮辱性称呼。
anjingin&bangsatin,价值观,将人比作狗和畜生，严重侮辱人格的词汇
anjink,价值观,脏话，骂人用语，相当于'狗'
anjinx,价值观,狗（骂人用语）
anjir&setan,价值观,狗和魔鬼，用于辱骂他人的粗俗用语
anjirr,价值观,狗，脏话
anjr&bacot,价值观,狗和多嘴，侮辱性称呼
anjy&bencong,价值观,针对跨性别者的侮辱性称呼和骂人话
anpadh&maa&baap&ki&anpadh&aulaad&low&class&gutterchaap,价值观,文盲父母生的文盲子女、低贱的下水道垃圾，属于人格侮辱和阶层歧视
antek&bodoh,价值观,愚蠢的走狗/支持者，侮辱性称呼
anti&social&element,价值观,反社会分子，用于贬低、攻击他人名誉的侮辱性词汇
anying,价值观,脏话，骂人为狗
arse&dickhead,价值观,粗俗侮辱性用语，意为屁股和傻瓜
asbun&dosamu&banyak,价值观,侮辱性指责：随便说话、你的罪孽很多
asu&hina,价值观,对他人使用侮辱性称呼'狗'并加以侮辱
asu&kirik,价值观,狗崽子，针对个人的侮辱性称呼
asu&penjual&ayat,价值观,狗卖经文的，侮辱性称呼
atlet&bodoh,价值观,愚蠢的运动员，侮辱性称呼
aura&laki,价值观,男性气质，用于贬低女性具有男性特征
autis,价值观,用自闭症（残疾）来嘲笑或侮辱他人
autis&bahan&bercandaan,价值观,将自闭症作为笑话素材，歧视残疾人
autis&idiot&akut,价值观,用自闭症和智障等侮辱性词汇贬低他人，违背基本的尊重和道德价值观。
ayam&disuntik&montok,价值观,像被注射激素而发胖的鸡，用于羞辱他人身材
ayam&horn,价值观,可能为侮辱性黑话，贬损他人
babi&anjing&bani&babi,价值观,猪狗之类的侮辱性称呼，用于人身攻击
babi&bedebah&bangsat,价值观,猪、混蛋、畜生等侮辱性称呼
babi&brengsek,价值观,猪杂种，粗鄙侮辱性用语
babi&hanjing,价值观,猪和狗，用作辱骂他人的侮辱性词汇
babi&kampang&keparat&idiot&bangsat&anjing,价值观,针对个人的侮辱性称呼，包含猪、杂种、该死的、白痴、畜生、狗等
babi&kotor&farasit,价值观,肮脏的猪寄生虫，侮辱性称呼
babi&mirip&babi,价值观,猪，用于侮辱他人外貌或人格，贬低他人尊严
babi&pengecut,价值观,猪懦夫，一种侮辱性称呼
babu,价值观,侮辱性称呼，指仆人/奴隶，用于贬低他人身份
babu&banci,价值观,奴仆和娘娘腔，对他人身份和外貌的侮辱性称呼
babu&kakus&jamban,价值观,对他人进行侮辱性的奴隶和厕所称呼
babu&ngangkang&pelakor,价值观,对他人进行下流侮辱，称其面部如猪、行为如劈腿的第三者。
bacot&asu,价值观,狗嘴，用于辱骂他人
bacot&bngst,价值观,多嘴混蛋，针对个人的侮辱性称呼
bacot&congor&bau,价值观,你嘴巴真臭（用于辱骂他人）
bacot&elu&babi,价值观,你嘴贱，猪，针对个人的侮辱性言语
bacot&kampang,价值观,侮辱性用语，意为‘胡说八道你这个杂种’
bacot&kunyuk,价值观,胡说八道的猴子（侮辱性称呼）
bacot&lo&nying,价值观,粗鲁辱骂'你多嘴唠叨'
bacot&lu,价值观,闭嘴你丫的（粗口辱骂）
bacot&njer&telek,价值观,废话、他妈的、像屎一样，用于侮辱他人的粗俗词汇
bacot&nyinyir,价值观,粗俗侮辱性词语，意为'嘴巴贱、讽刺'
bacot&otak&timpang,价值观,胡说，脑子畸形（用于贬低他人智力和言论）
bacotin,价值观,印尼语粗口，类似'你妈的'
bagas&homo,价值观,将人名与贬低同性恋的词汇结合，进行人格侮辱
bajingan&brengsek&sialan,价值观,混蛋、该死的等侮辱性词汇
bajingan&go&to&hell,价值观,畜生和地狱咒骂，低级侮辱用语
bajingan&homo,价值观,混蛋同性恋（侮辱性称呼）
bajingan&kau&gendut&tai,价值观,侮辱性词组，意为'你个混蛋肥猪屎'，用于人身攻击。
bajingan&sampah,价值观,混蛋和垃圾，用于侮辱他人
bajingan&tengik,价值观,臭老鼠，卑鄙的家伙
banci&anjing,价值观,娘娘腔与狗，用于辱骂和贬低他人
banci&babi,价值观,贬义跨性别者的侮辱性称呼，猪
banci&bajingan,价值观,对男性女性化或跨性别者的侮辱性称呼（banci），以及恶棍、混蛋（bajingan）
banci&bangsat,价值观,娘娘腔和混蛋等侮辱性称谓
banci&bangsat&ajg,价值观,娘娘腔、混蛋、狗，用于侮辱他人
banci&belatong&dalam&sepiteng&wc,价值观,娘娘腔像厕所坑里的蛆虫（对跨性别者或男性化女性的侮辱性比喻）
banci&bencong,价值观,对跨性别者的侮辱性称呼
banci&bloon,价值观,对性取向或性别认同的侮辱性称呼，意为'娘娘腔笨蛋'
banci&bncong,价值观,对跨性别者的蔑称，意为'人妖、娘炮'
banci&bodong,价值观,虚假人妖，对跨性别的侮辱
banci&burik,价值观,对跨性别者和外貌的侮辱性称呼
banci&ekor,价值观,使用动物量词称呼跨性别者，贬低其人格
banci&encong,价值观,针对变性人/娘娘腔的贬义称呼和人妖的粗俗说法
banci&halu&gila,价值观,对跨性别者的侮辱性称呼，指责其妄想和疯狂
banci&homo,价值观,对跨性别者和同性恋者的侮辱性称呼，贬低性取向和性别认同。
banci&jadi&jadian,价值观,对跨性别者的侮辱性称呼，意指假人妖
banci&jahanam,价值观,娘娘腔/该死，针对性别认同的侮辱性诅咒
banci&kaleng,价值观,对跨性别者的侮辱性称呼
banci&keparat&tolol,价值观,对变性人及他人的侮辱性称呼，贬低人格
banci&kubur,价值观,对同性恋的侮辱性称呼及坟墓隐喻
banci&laknat,价值观,该死的同性恋，对性少数群体的侮辱性称呼
banci&lampu&merah,价值观,红灯区的娘娘腔，对性少数群体的歧视性称呼
banci&lonte&anjing&bangsat&keparat,价值观,针对个人的侮辱性称呼，包括人妖、妓女、狗、臭虫、该死的等，严重贬低人格。
banci&manusia&kacrut,价值观,针对跨性别者的侮辱性称呼和'肮脏的人'的骂人话
banci&mengubah&kodrat,价值观,对变性人群体的侮辱性称呼和指责其改变本性的说法
banci&najis,价值观,对跨性别者的侮辱性称呼和污秽比喻，指代该群体为道德破坏者
