tweet	label
Mali jetee saanyi gobbanaa saree abba gara bitamaa isiin kaan jara 18ffatii egalee Oromoo darba dabarsaa gurguraa jiru isiin barataanis dhistaanis wali hin caaltaan garbumaa yok amaraf bitamuu wara keessantuu habashaa irraa irraa mslatessee fudhee dabarsee isiiniti kene.	Hate
@USER Namni gaafa beela'e waan nyaatee quufu of hin se'u . gaafa rakkates waan rakkoo jalaa ba'u hin se'u . Garuu akka dukkanaa'etti hin hafu (bari'uun hin oolu).qomookoo	Normal
Yeroo hundaa wallaalaa taanee dhalanne malee raata'oo miti nuti Akka gadhee taanee jiraannu kan baranne mana barumsaatti yeroo nu barsiisani!Nagaa buusaa!Dhugaa abbaa dhugaaf galchaa!	Normal
Budaan Nafxanyaa Amma Saree Maraatte Taatee Jirti.Dhiyaan Banii Shaanguliif Oromoo Wallaggaa Kaabaan Tigree Kibbaan Ummatoota Kibbaaf Oromoo Gujiifi Booranaa Nyaatuu Itti Fufte.Saree Maraatte Kan Shimala Jabaa Harkaa Qabu Qofatu Mataa Dhayee Ufirraa Lafa Buusuu Danda'a.	Hate
"@USER ""Baduu badii malee saree ijja hin dhiqaani""."	Normal
#Fakenews.callisa soba jara kana ilaala . Oduu kana anu dhageefadheera URL	Hate
@USER Sodaa rabbi hin qabdani? Rabbi isin hindhiisu	Normal
@USER ''Waan dhufu hin beekani saree tana akaayii barsiisaa '' jedhe jaarsi	Normal
#Breaking . Poolisiin humna addaa Abiyyi akka WBO ajjeesaniif bosona Gujiitti ergaman 1500 ol ta'an WBO makamanii jiru Ilmaan Oromoo gaaffii sabaa dhageettanii waraana Oromootti makamaa jirtan ulfaadhaa!Guyyoota muraasa dura WBO Waraana Abiyyi daaraa gochuun kan yaadatamuudha	Hate
Tuttuqxee horfitiMadaa sababal'aaOfitti nun makiinArtisti kajeellaaRaqaaf haqa dhiifneeHin deebinu teellaaLabata goototaaUtuu baannuu irbuuWal nyaata sarootaafLeencin dhaqnu sirbuuHin beeknus hin barreGaraaf sigaachuuWalitti nu waamiinDhaqxee raqa nyaachuu URL	Hate
Goonni Oromoo #HachaluHundessa gaafa kaadireen PP marii artistoota oromoo jedhanii waaman maali akka jedhe ni yaadattuu?Hardhas lubbuun itti dhuftee jennaan artistoota waamanii mari'achiisan.Gaafa rakkoo qofa artistii Oromoo yaadachuun haa dhaabbatuURL	Hate
@USER Guntutatti hirkatee xuuxxoo hodhaa kunimmoo? Tortoraa wayii	Abuse
Oliqaa dingil faa goota baddaa sayyoo dhabne wayyoo.Anaa nyaatuu x2Akka abishee garbaa goota roorro diduEssaa fidu?Anaa nyaatuu x2Akka Elemoo qilxuu hayyu gaaratti hafeewaama dafeeAnaa nyatuu anaa nyaatu wayyoo	Normal
Ergamtoonni nafxanyaa akka @USER kan akka @USER faa maaliif of hin ajjeesan har'a . Jarattiin tuffii qofa osoo hin taane isaan balleessuuf jirtiim . URL	Abuse
@USER Biyyii ofii kabajaadha Obsuun sodaa ittii fakate jarattii Abichuu Koo ittii muddii Qixxaa waliin nyannan qixxee nama seeti jedhee Hayyuun gaafa Makmaaku kanaf jarrii kadhaa beektu itt muddii URL	Hate
"#DrDebretsionGMikael Dura taa'aa ABUT Dr Dabratsiyoon G/Mikaa'el waraana gaggeeffamaa tureen erga magaala Maqalee gadhiisani booda ""gara Sudaan Kibbaatti godaanan"" jedhame oduun odeeffamaa jiru soba jechu isaani 'Routers' gabaaseera . Gabaasa guutuuf URL"	Normal
Siyaasa: Dr Dabratsiyoon gara Sudaan Kibbaa godaanan jedhamu isaani haalan URL #Itoophiyaa # Maqalee # Waraana # TPLF # Tigraay	Hate
@USER Baga dhiheessitee rakkoo hanga Ammaa waan atiin obsaa Fi bilchinaan dabarsite Baga arge hunduu.kanaaf akka dhugaa qabdu beeknee waggoota sadan darban si duuka dhaabbanne.baga keenya taate	Normal
Gafaa bilisomnee essaa demtaa badii Jawar arabsitee hin jiratuu attii Haa Qarreenu siif getii isheen takkatinuuMalumaa sirbitee kaan sabaa koo bonsuu attii saree dhumaa essayuu hin gesuu URL	Abuse
@USER Kijibaa dhisii Kerian qondaala TPLF hin turre . Waraana keessa hin turre . Qondaalaa Biltsiginnaa turte.Mootummaa saba kiyya miidhu waliin hin hojjedhu jettee angoo gadi lakkiste . Dubartii huma kessaa hin jirww boojine jetani lafa dhiituu? URL	Hate
URL dhugaa dubbachuuf worri weedduu tanaa Fi dubbii Xaqlay Minister Abiyyi Paarlama godhe wolbira qabaa Rakkoo BIYYI Itoophiyaa Fi Bulchiinsi isaa keessa darbi kan woggoota Lamaa xiinxallaa.	Normal
@USER Kontiraaktarri meeshaalee xumuraaf isa barbaachisu biyya alaarraa akka galchu deggersi barbaachisu taasifamee galfatee jira.Rakkoo maallqqa dheedhii qabus liqaa akka argatu taasifamee jira . Yeroo gabaabaa keessatti akka xumuru hordofaa jirra.	Normal
Bakka ajaan bayaatuu bakka toortoraaf raqaa allaatiif saree malee kan biraa maaltuu jedhe hacceen	Abuse
Rakkoo nageenyaa Sudaan Kibbaatti muudataa tureef gareen gantuu TPLF harka keessaa akka qabu Itiyoophiyaatti Ambaasaaddarri Sudaan Kibba Ambaasaaddar Jeems Pittaa Morgaan himan . URL	Hate
Waraana Tigraay Koloneel_Gabree G Tsaaddiqaan ibsa galgala kana kennee!URL	Normal
Gaafa dhugaa dhokatee sobni olbahee biyyaatu digamaaa kanuma argaa jiru biyyii abbaan kijibee ilmi itti anee abbaa calaa kijiba abbaan irraati gudaate kaa kanaaf biyyii teena kijibaa gutamte jirti bar kaa doktora tortoraa biyyaa keena bulchaa jirule kanuma biyyaa diga jira.	Abuse
. yoo diddan lafa Orma irraatti duttan dutti keessan du'aa saree ta'aa . Oromiyaa kee Nafixaanyaa irraa bilissa baassi lafa nama irraatti akka hin lolee haa ta'uu . Oromiyaa yookani du'aa lafti Oromo iddoo itti diini hawaalamuu malee irraa jiratu mitti	Hate
. kunoo Waayyaaneen amma saree tti yoo umman Oromo Oromiyaa keessa har'ee malee jiru Oromo waan mi'eefatee fuu biyya kenya (Oromiyaa) dhifteetti deemittin soba . kunoo filaanoon amma ammatti eessan gaggeessan kani ibsuu akka diini yoomu taanan Oromiyaa tti hin deebnee	Hate
Viva #Egypt Biyyi misir waraana Itoophiyaa irratti bantee jirti . Kunis Karaa sudaan akka ta'e himamaa jira . Abiyoot rakkoo keessaa otoo hin furiin nafxanyaa duukaa utaalee boolla bu'aa jira . Itti haa cabsan	Hate
