tweet	label
"""what’s hantavirus again???🤡🤡🤡..   awon oyinbo yi ti ya weyrey o"""	Hate
"""imole ati egbe pdp ma lule ni osun ni ojo saturday 😆😆😆😆"""	Hate
"""orí gbogbo àwọn aláìṣẹ̀ tí a ti pa, lọ́wọ́ awọn ́ẹ̀yà ti o nlo ìtàjẹ̀sílẹ̀ bi ohun ayo ni orílẹ̀-èdè ńlá yìí, tí wọ́n ti yíjú sí ibi tí wọ́n ń pa ènìyàn bí ẹranko. orí gbogbo àwọn aláìse yii yóò bi yin léèrè.🇳🇬"""	Hate
"""ani weyrey ni awon okunrin 😢😢😢"""	Hate
"""randomly listening to olivia rodrigo  my mind: oloshi ni awon okunrin yi sha  ko ni da fun love 😫 ##url"	Hate
"""@username i do t see that as an apology to the miscreants. rather he's reiterating his stands on the purported issue.  let the headless mobs cry blood everywhere, they will lule nooni lagbara olohun oba ada eda tio da awon alaironu mo awon ara nigeria. eko life ki ako larawon beenioo"""	Hate
"""obìnrin yà werey gidi gan...."""	Hate
"""@username bat ja lulẹ ni osun a - àgbàdo p - plus c - cassava  pride goes before befall. ##url"	Hate
"""pmb abi, awon olori buruku, alai sha fani ole  pdp ##url"	Hate
"""england calls up bukayo saka on independence day.  omoale buruku ni awon england."""	Hate
"""eranko lawon okunrin imi🤦🏾‍♀️🤦🏾‍♀️"""	Hate
"""buhari,sanwo olu and other stupid leaders you people will know no peace as long as you breath. eyin oloriburuku  #endsars  #endbadgoveranceinnigeria  #lekkitollgate"""	Hate
"""otun ti zee ooo....   awa lo kan.  disobedient and atiku ema lule. ##url"	Hate
"""@username eleyi wa le ni o sinkan"""	Hate
"""11:11: orí ẹ̀yin tó layé ti dàrú."""	Hate
"""and as usual another bunch of idiots calling themselves media house..awon oniranu jatijati ##url"	Hate
"""supreme court tún ti fẹ̀yìn wọn lulẹ̀"""	Hate
"""ajisebi oyo laari ti surrender finally egbe pdp ma lule ni oyo state in oruko jesu tessy lokan 💃💃💃💃"""	Hate
"""@username arindin agba…i b political party? ori yin ti yi ni camp yi yen..drug dealer gbogbo..egbe payan payan. egbe olodo. egbe madaru. egbe gbewiri..oloshi ara ee sho ti lo gba post ti wan fe fun e🤡🤣"""	Hate
"""@username am sure his not from osun. kosi oloriburuku larinwa. laakaye wa pe pupo losun. akii soro lasan bansa losun. omoluabi niwa tori e lase man ronu kato soro lawujo."""	Hate
"""ati cardinale ati scaroni ati furlani ati maldini ati massara ati pioli  gbogbo yin ti ya weyrey  paul and gordon singer, okan yin o ni bale"""	Hate
"""@username ani oloribuku ni yi 🌚, we are moving with our 25%-50% up north, let others de manage 0.0000 south , awon olule 🤡🤡🤡 ##url"	Hate
"""a kiri tọ ojúlé àrẹ̀mọ ọ̀kánjúà níí ṣe.  wọ́n tún ti de o, àwọn ọ̀rẹ́ ọdún mẹ́rin mẹ́rin. ẹ mà dáwọn lóhùn o jàre, àlùwàlá ológbò wọn, ọgbọn àti kó ẹran tókùn nínú ọbẹ̀ jẹ ni.  the ablution of their cats 😺 a strategy to steal the remaining meats 🍖. ##url"	Hate
"""osinwin pdp supporter shine which eyes pdp ti lule ni osun state jare... ##url"	Hate
"""iwa radarada wa lowo eyin omo abeokuta yii sha...kemi ma n fi sugar perboil noodles ,otun fii kahun fry eyin fun mi maa ni🤦‍♀️"""	Hate
"""bat ja lulẹ ni osun ##url"	Hate
"""awon omo ale ni won mafi owo osi ju we ile baba won.odun egun ma to tan,omo alaagba,a fi owo ra akara lati fi je eko'.mi ori ibi ti omo gambari ti bu abacha,ibb, buhari ri.sugbon awon omo odua aletenuje wa ma soro sala solo si obj.ojo eleya yin fe e de oju wa lo mase.awon oniranu ##url"	Hate
"""tinubu supporters: igbos supporting peter are ipob but igbos supporting tinubu are nigeria, yorubas supporting obi are omo ale but yorubas supporting tinubu are omoluwabi  damola | sokoto | david hundeyin oshiomole | benue ondo | plateau damini #ashawo daniel bwala sabinus ##url"	Hate
"""@username so you want your own website to remain static abi?? ori e to dàrú iwo ọmọ ale jatijati yi. ọmọ abi pàá bẹ ti n fi owo osi juwe ile baba. eru hausa ati igbo l'ose ku. iwo ọmọ irandiran. aye é ti run jege."""	Hate
"""soro soke werey. ná àsùsù igbo it's called ""kwusié okwù ìke"" #endsars"""	Hate
"""@username chelsea lúlẹ̀"""	Hate
"""@username è wò ni tì àlàbá nínú ti ìbejì?! an akinola calling out the people of anambra. ọ́mọ́ ale yoruba pọ́ọ́ gan!"""	Hate
"""@username omo ale yoruba ema lule last ni oju atiyin nigbeyin"""	Hate
"""ani afofungbemu ní yín, ẹ si ni inú a n ro kan kan. ọ̀pọ̀lọpọ̀ yin o si ni ọpọlọ kan, gbogbo ọpọlọ to ye ke ma fi ronú ni àwọn baba n la baba yin ti fi jagun biafra. mi o ri yin bawo, nigba ti o jẹ wípé ẹ kuku tẹ́lẹ̀ ojukwu bi afoju, ohin si gbe yin handicap. were ##url"	Hate
"""@username olofo ọmọ àgbàdo"""	Hate
"""omisore delivers ife to apc as #osundecides   ademola ati egbe pdp ti lule 😆😆😆😆 ##url"	Hate
"""@username ani olodo ni eyin hausa rederede yii🤦‍♂️🤦‍♂️"""	Hate
"""@username which nigerians and lagosians? ṣé eléyìí tí yà werey ni 😂😂😂😂😂, we are rejoicing already, please carry your wàhálà go anambra 😂😂😂😂"""	Hate
"""anipe obinrin buru gan chai ##url"	Hate
"""radarada! so, you want to be terrorising me in my state, ori ẹyin fúlàní yìí má ti dàrú o ##url"	Hate
"""osun state apc senetors, state chairman and the rest losing their polling units respectively 🤣🤣🤣  📣📣📣📣 senetor kini olule  senetor keji olule  awon to ku nko 🤣🤣 imole de ooo 💡💡💡 #osundecides2022"""	Hate
"""tí àlàrò bàní kò dà fun liverpool  àlàlè à sò wipé no 😭😭.. eleribu team ##url"	Hate
"""ko si omo kidi ni apc ni ?....awon omo buruku, oniranu, alatenuje alainironu nah e plenty for southwest wing of apc. ##url"	Hate
