source_index,word,category,meaning
0,صلاة الفجر & بول البعير & سبي النساء & اغتصاب طفلة,宗教,将伊斯兰教晨礼与骆驼尿、掠夺妇女和强奸小女孩相比，侮辱宗教
0,اغتصاب طفلة,暴力恐怖,强奸小女孩
1,ولاد الوسخة&ربنا ياخدك,涉敏,脏话的孩子和诅咒别人死亡
2,متبرجة&عبايتها ملونه,低俗色情,暴露的着装且穿着彩色罩袍，严重违反沙特女性着装规范
4,شعب الخيم & بول البعير,涉敏,帐篷人和骆驼尿，侮辱沙特人民的表述
6,شرب بول البعير,涉敏,喝骆驼尿（虚假信息）
8,وانتي&مال&امك,涉敏,你妈的（辱骂用语）
9,الكردي&كلب,宗教,库尔德人是狗（侮辱库尔德人）
9,خنازير&اسرائيل,宗教,以色列的猪（侮辱以色列人）
10,جبان&وسخ,价值观,懦夫和肮脏的人（侮辱性称呼）
11,خنازير,宗教,猪，用于贬低他人，违反伊斯兰教洁净观念
12,حرمة متبرجة&تغني امام الرجال,低俗色情,穿着暴露的女人在男人面前唱歌
13,خنازير&المجوس,宗教,拜火教的猪（针对拜火教徒的侮辱性称呼）
14,قصارية&بايرة,价值观,矮子/无用之人等侮辱性称呼
18,اعراب همج,涉敏,野蛮的阿拉伯人，对阿拉伯人的侮辱性称呼
18,شاربين بول البعير,涉敏,喝骆驼尿的人，对阿拉伯人的贬低性刻板印象
20,كلب&خنزير&مرتزق,违法,狗、猪、雇佣兵等侮辱性称呼
22,كتب الشيعة&شرب بول البعير&الصادق والكاظم,宗教,污蔑什叶派伊玛目喝骆驼尿的侮辱性叙述
23,بول البعير&بن خرفان,低俗色情,喝骆驼尿的人，蠢货（侮辱性称呼）
24,الصور&العارية&اجسام&البنات&مقاطع&منحرفة,低俗色情,裸照、女孩身体、堕落视频
26,كلب&خنزير نتن,价值观,狗和臭猪，用于侮辱他人
27,أمك&أختك&بنت&خنزير,价值观,你妈和你妹是猪的女儿，严重侮辱
27,شاربي&بول&البعير,价值观,喝骆驼尿的人，侮辱性称呼
28,كسمك,低俗色情,阿拉伯语脏话，意为“你妈的逼”或“你母亲的阴部”，属于低俗色情词汇。
28,شواذ,价值观,阿拉伯语词汇，意为“鸡奸者”或“性变态”，用于侮辱LGBTQ+群体，违反伊斯兰价值观。
30,بول&البعير,涉敏,骆驼尿（侮辱性词汇）
31,بول البعير&كالبهاءم,涉敏,骆驼尿和像畜生一样，用于侮辱和贬低他人的表述
32,خنازير,宗教,侮辱他人为猪，在伊斯兰文化中严重冒犯
32,ياغبي,涉敏,骂人愚蠢，属于人身攻击
33,خنازير&المجوس,宗教,对拜火教徒的侮辱性称呼，意为'拜火教的猪'
34,كلب&خنزير,涉敏,侮辱性称呼'狗'和'猪'，在伊斯兰文化中极为冒犯
38,هندوس&جابوهم,宗教,印度教徒与贬低性表述组合，暗示对该群体的不尊重
39,ياشارب&بول&البعير,宗教,喝骆驼尿的，对哈希姆家族的侮辱性称呼
40,امه&عاهره,低俗色情,辱骂对方母亲是妓女
