source_index,word,category,meaning
1,cowok&bego,价值观,笨男人/愚蠢的男人，用于人身攻击和贬低他人的侮辱性词组。
2,sepong,低俗色情,印尼语俚语，指代口交，属于高度猥亵和低俗的词汇。
2,kampret,价值观,印尼语常用脏话/口头禅，原意为蝙蝠，常用于表达沮丧或咒骂。
3,jadi&tai,低俗色情,意为‘变成大便’，是印尼语中常见的粗俗表达，用于贬低事物的价值或表达极度不屑。
4,vibrator&memek,低俗色情,震动棒（性玩具）与女性生殖器的粗俗称呼
5,selipin&tngan&kedalem&cd,低俗色情,将手伸进内裤里，涉及猥亵动作描述。
5,ngaceng,低俗色情,勃起，指男性生殖器生理反应的粗俗说法。
5,bibir&memek,低俗色情,阴唇/阴道，对女性生殖器的极度粗俗称呼。
5,teken&klit,低俗色情,按压阴蒂，涉及性敏感部位的露骨描述。
6,ngentotin&memek,低俗色情,极其粗俗的性交动作描述及女性生殖器称呼。
6,ngelonte&binal,低俗色情,指代从事卖淫活动及形容女性放荡、淫乱的贬义词。
7,perek,低俗色情,对女性的侮辱性称呼，意为妓女或生活放荡的女性。
7,mainin&memek,低俗色情,玩弄女性生殖器，属于极其粗俗且露骨的性描述。
7,desah,低俗色情,呻吟，在上下文中指代性行为中的声音。
8,perek&memeknya,低俗色情,贬义词‘妓女’与女性生殖器的粗俗称呼，涉及性骚扰和露骨色情内容。
9,lonte&ngentot,低俗色情,妓女与性交的粗俗表达
9,seksi&lonte,低俗色情,性感的妓女/荡妇
9,mau&ngentot,低俗色情,想要发生性关系/性交
10,ngentot&adek,低俗色情,极其粗俗的性交动词与自称的组合，意为‘和我发生性关系’
10,drasex,低俗色情,性行为相关的俚语或变体词
11,mainin&memek,低俗色情,玩弄女性生殖器
11,sange&bgt,低俗色情,非常性兴奋/性饥渴
11,nungging,低俗色情,撅起屁股（通常指具有性暗示的姿势）
12,kontol&memek,低俗色情,男性生殖器与女性生殖器的粗俗称呼
12,gesekan&kontol,低俗色情,描述生殖器摩擦的性暗示/性行为表述
13,kontol&memek,低俗色情,男性生殖器与女性生殖器的极度粗俗称呼
14,elusin&memek,低俗色情,抚摸女性生殖器，描述性行为或自慰。
15,memek&perek,低俗色情,女性生殖器的粗俗称呼以及对妓女的贬义俚语。
15,gesekin&abs,低俗色情,描述将生殖器摩擦男性腹肌的性暗示行为。
16,seksi&ngentot,低俗色情,性感与性交（ngentot 是印尼语中极其粗俗的性交动词）
17,gesekin&memek,低俗色情,摩擦阴部，描述性行为或自慰的粗俗表达。
18,ngobelin&memek,低俗色情,玩弄女性生殖器（极其粗俗的性暗示用语）
18,jilatin&klitnya,低俗色情,舔阴蒂（露骨的性行为描述）
19,sange&memek,低俗色情,“sange”是印尼语中表示性兴奋/发春的俚语，“memek”是对女性生殖器的极度粗俗称呼。
