index,text,status,hate_speech,false_info,violence,harassment,obscenity,illegal,national_security,explanations
0,"- Dia sendiri yang ngiklanin promo cashback di appnya\n- Penggunaan kode berhasil tapi cashback ga masuk2\n- Bilangnya ada kesalahan pada sistem dan promo sudah berakhir\n\nBodo amat woy kesalahan sistem bukan urusanku, aku hanya ingin cashback 20% yang dijanjikan olehmu:( USER URL",success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
1,- disaat semua cowok berusaha melacak perhatian gue. loe lantas remehkan perhatian yg gue kasih khusus ke elo. basic elo cowok bego ! ! !',success,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"{""harassment"": ""文本中使用'cowok bego'等侮辱性表述针对特定个体进行人身攻击和名誉诽谤，构成刑事侮辱（Pencemaran Nama Baik），违反UU ITE第27条第3款。""}"
2,- kampret kan kalo typo-nya di email kantor ketika gue ngerasa ngetik kata serpong ternyata pas udah ke kirim ga ada ( r ) nya \xf0\x9f\x98\x91',success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
3,"- Mending makan disini lebih murah, buang-buang duit lo ntar juga jadi tai.""\n\nAtau gak si A beli barang murah, terus si B komen ""Ih kok lo beli disitu sih, kan murah pasti bahannya gak bagus.""\n\nLalu, si B secara gak langsung dan gak merasa udah nyakitin hati si A dengan perkataan'",success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
4,/biarin oppa masukim vibrator ke memek/ oppa kok di masukin? Aku kan mau pemotretan....\nLanjut?',success,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{""obscenity"": ""文本中使用了露骨性词汇如'memasukim vibrator ke memek'（将振动器插入阴道），描述性行为，严重违背印尼道德规范及《色情法》（Pornografi Law）禁止淫秽色情内容。""}"
5,"/peluk badan lu dr belakang; selipin tngan kedalem cd lu/ ngaceng nih yang- /gesekin jari tengah ke bibir memek lu; teken"" klit lu/'",success,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{""obscenity"": ""文本描述露骨的性行为，包括'peluk badan lu dr belakang&selipin tngan kedalem cd lu&ngaceng&gesekin jari tengah ke bibir memek lu&teken klit lu'等词汇，直接描绘性器官和性动作，属于淫秽色情内容，违反《色情法》及UU ITE相关规定。""}"
6,ada bumil ga? Jadi pengen ngentotin memek bumil yang binal frontal dan suka ngelonte pas suaminya gaada',success,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{""obscenity"": ""文本使用露骨性俚语如'ngentotin memek bumil yang binal frontal'和'ngelonte pas suaminya gaada'，描述针对孕妇的淫秽性幻想和不忠行为，严重违背当地道德规范，受《色情法》及伊斯兰价值观约束。""}"
7,ada perek yang imagine nya liar? Yg longrep gak cuma desah doang. Mau gue mainin memeknya. Langsung follback ya',success,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{""obscenity"": ""文本使用'perek'（妓女俚语）、'memek'（阴道俚语）和'mainin memeknya'（玩弄阴道）等露骨性描述，构成淫秽色情内容，违反《色情法》及伊斯兰道德规范。""}"
8,ada perek yang mau dimainin memeknya? Yang longrep ya',success,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{""obscenity"": ""文本包含露骨性内容如'perek'（妓女）、'memeknya'（阴部）和'dimainin'（玩弄），直接描述淫秽性行为，严重违背印尼伊斯兰价值观和《色情法》（Pornografi Law）。""}"
9,"cari yeoja yg chara seksi lonte, suka spam pic charanya, yg mau ngentot. Rep / like ya - draxe'",success,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{""obscenity"": ""文本中使用了'lonte'（妓女）和'ngentot'（粗俗性交俚语）的露骨淫秽词汇，公开招募性行为，严重违背当地道德规范及《色情法》。""}"
10,cowo yang jago drasex mana? sini ngentot sama adek - luvian',success,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{""obscenity"": ""文本中使用了露骨性俚语如'drasex'、'ngentot'并邀请与'adek'（妹妹）进行性行为，属于淫秽色情内容，严重违背《色情法》及伊斯兰道德规范。""}"
11,daritadi nungging sambil mainin memek sange bgt cuy:(',success,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{""obscenity"": ""文本包含露骨性描述如'nungging sambil mainin memek'（翘臀玩弄阴部）和'sange'（性欲强烈），属于淫秽色情内容，严重违背印尼《色情法》及伊斯兰道德规范。""}"
12,duh rindu gesekan kontol doi ke memek~',success,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{""obscenity"": ""文本包含露骨性描述'gesekan kontol doi ke memek'，直接描绘生殖器摩擦行为，属于淫秽色情内容，违反《色情法》及UU ITE相关条款。""}"
