source_index,word,category,meaning
1,cowok&bego,价值观,侮辱性词汇，意为笨蛋男生，用于贬低他人
4,vibrator&memek,低俗色情,涉及性玩具和女性生殖器的露骨性词汇
5,peluk badan&selipin tngan&kedalem cd&ngaceng&gesekin jari tengah&bibir memek&teken klit,低俗色情,描述性行为和身体部位的露骨词组，涉及性暗示和淫秽内容。
6,ngentotin&memek,低俗色情,露骨的性行为描述和对女性生殖器的低俗称呼
6,bumil&binal&frontal,低俗色情,对孕妇进行低俗、侮辱性的性化描述
6,suka&ngelonte,低俗色情,暗指从事性交易的行为，用词低俗
7,perek&imagine&liar,低俗色情,指代性工作者并描述其淫秽的想象内容
7,longrep&desah,低俗色情,暗示性行为的声音或情境
7,mainin&memek,低俗色情,涉及性器官的淫秽描述
8,perek&memeknya,低俗色情,侮辱性地指代女性以及女性生殖器的词汇
9,lonte&ngentot,低俗色情,侮辱性词汇，分别意为妓女和性交
10,ngentot&drasex,低俗色情,露骨的性行为描述和性相关暗示
11,memek&sange bgt,低俗色情,涉及女性生殖器的粗俗词汇和表达性欲的低俗语言
12,kontol&memek,低俗色情,指男性和女性生殖器的粗俗称呼，属于淫秽内容。
13,kontol&memek,低俗色情,粗俗词汇，分别指男性和女性生殖器官的侮辱性称呼。
14,elusin&memek,低俗色情,涉及性器官的露骨描述或行为
15,memek&perek,低俗色情,低俗词汇，分别指女性生殖器和侮辱性称呼女性的词语。
16,model&seksi&ngentot,低俗色情,涉及性行为的露骨词汇，暗示淫秽内容
17,gesekin&memek&bantal,低俗色情,描述性器官与物体接触的露骨性行为
18,ngobelin&memek,低俗色情,涉及女性生殖器的露骨性描述
18,jilatin&klitnya,低俗色情,描述性行为的露骨词语
19,sange&memek,低俗色情,sange意为性兴奋，memek是女性生殖器的粗俗称呼
22,azam&gila,价值观,使用 'gila'（疯子）侮辱个人，可能对其名誉造成损害。
23,budek&pilon,宗教,侮辱性词汇，意为聋子和愚蠢，针对宗教人物的攻击。
23,goblok&kebangetan,低俗色情,侮辱性词汇，意为愚蠢和过分，属于低俗语言。
