tweet	label
@USER Dhab ti qof ka damaca badan marka ugu dambeyso god mugdi ah ayu kurida Shalay na way dambeysa daqon na meel xun aya u dambeyso	Normal
@USER adaa iiga dhuundaloola oo kasoo shaqeeyey dawlad . Jaantaa-rogan miyaa loola kulmaa safiirrada dawladaha shisheeye ee dalkaaga jooga? Miyaanay ahayn in wixii masuuliyiintu uga baahdaan safiirrada in ay u maraan wasaarad arrima dibad?	Normal
@USER Maba qiyaasi karno waxa uu naga mudan yahay RW Rooble dadkoo wada kurbaysan oo walaacsan buu si fudud shuftadii nooga hor wareejiyey neef baa dadkii oo dhan kasoo fuqday hurdo baa lala wada dhacay waa la farxay la dabaal degay Carro waa nabad Alxamdu lilaah.	Normal
Jimco Juun 10 2022 (HOL) - Agaasimihii hore ee hay’adda nabad sugida iy sirdoonka qaranka NISA Fahad Yaasiin oo bixiyay wareysigiisii ugu horeeyay ee lala yeesho ayaa sheegay inuu si aad ah uga xun yahay in loogu yeero mulkilaha dowladda . URL	Normal
Muuq bilan #Hargeisa Allow dhowr oo dhib oo dhan dhinac ka mari.Xizbiyada Mucaaradka Somaliland waxaan ugu baaqayaa inay wado kale u maraan danahooda siyaasiga ah ee is diidan oo aysan Magaalada gubin.Jumca wanaagsan @USER URL	Normal
Hassan Sheekh Mohamuud ( Hasaan Culusow waa ninkii maydka gaalada u sujuuday Gaalada oo kuwa laayay ay isku fikir yihiin became waa nin qabiilayste ah oo la shaqaysta argagixsada Somalia joogta sida Shabaab &amp Daacish he is a terrorist and the backbone Kenya and Emirates he is URL	Abuse
@USER Somaliland waxay tahay waan kaa aqana adigu dalkayga ii sheegi maysid xukuumada iyo policeku way aragti fugaayeen in mudahraadka sharciga ka baxsane sida ku dambayn way arkayeen waxba kulmiye iyo cid toona ha ku waalan cida Dhalinyarada xabada isku dhiga leh wa lawada garanaya	Normal
@USER Ayaanle waa wqabyaalad wad ama hadin mugdi iyo isku mid mahan xaasid lama noqdo ilaahay fadligiisa ruuxuu doono ayuu siiyaa	Normal
Xoghayihii gaarka ahaa ee musharrax Cirro Cabdiqaadir Iidle ayaa hadda la xidhay . 2:18pm Muuse laba wajiile shaqadiisa Waa Wataa Ergo iyo wada hadal sidee ku sii socon karaa mar hadii dhamaan saraakiishii la xidh xidhay ilaa hada socodo URL	Abuse
@USER Runtii casharo badan oo siyaasadeed ayaa laga bartay anigu intiisa xun iima muuqato balse waxaan ka bartay daacadnimo wadaninimo waxqabad fiican dhisida awoodda Ciidamada fulinta mashaariic badan iyo manhajka waxbarasho ee af soomaali ah	Normal
@USER In caadi lagu toogto ayay ahayd golihii sharci dajinta intad shaqadiisa baylihisay oo dalka dhibaato uhorseedeysay ayad leedahay xaqban uraadinaya shacabka.beenaale hablihii doortey faraxumeeyey oo dil kugu waajibay ayad tahay.	Abuse
@USER Waa nin ogaaden ah uu gusku dhulka joogo . haduu doono dabada ininka galin Iskacabada . Ilaa akhiro laangaab akhiro iyo adun waxbo kumaleh	Abuse
@USER Oohon iyo qoraal free hebel looma baahna ee mudahraad ka salmiga ah shacabka hor kagaca ciidan amankina idinka suga jabhada muuse Qamuunyo na ila caawa isku soo urursada hadii kale Wlhi garabka shacku wuu idinka amin baxaya.	Normal
@USER Sxb Ado Raliya waa khalad qofka inad Space kisa So Copy garayso ood dhalecayso lkn wax ku furan in ad Bokhato ood u qanciso Fikirka ad qabto . Aqoonyahan ayad thy kama filayo ixtiram daro iyo Qadarin la aan Balse wxn aminsnhy in khalad ka dhacay ay thy Apology sii walasha.	Normal
Laandheeranimadu maha ilama adeer badan iyo abtirka ku saleysan iskaashi beenedka Lkn laandheerh waa qofka alla ka cabsada xaniin tiisna fuula . Intaasna fahad waay ku dhantahay wixii kasoo hadho waa quuriwaa iyo xaasid nimo.Waa ka baxay URL	Normal
@USER Ardadka soomaaliyeed xagee caqligii idinka aaday dad hadh iyo habeen idin shaqaynaya baad af xun kula hadlaysaanIsku xishooda oo siyaasad aydin cilmi ulahayn ha dhex muquuraninaKutirikutayn dad cadow ah keenen baa idin waashay	Normal
@USER Ilaahay ba ku qoray iyo Xildhibaano aad laaluushtey oo dandooda ka raacay danta dalka iyo dadka balse ani kuma codeeyeen maxaa yeelay dalka meel xun bad u wadaa asarta iyo shaqaalaha lacagtooda damac uusan ka galin fakir ahan intaas ban ku dhihi lahaa	Hate
@USER Soo waxaan layaabay ma aha . Inta badan caruurtooda Kuma noola wadanka gudahiisa markasan kuwaas wax ka sugnaa . Maxaa yaab isdaba yaaal.	Normal
kenya waa mooryaan kuwa hada hogaanka uhaya umadhaqmaan habdowliga ah ciyaal suuqnimo ayay udhaqman siyaasada xageda marka ladhaho idacadahoodu been iyo dacayad ayay kusiidayan mararbadan sidaan so argnay arimihi bada hada manta jaadka lafuraya iyaga uunba lagamaqly run kusugweye	Hate
