word,category,meaning
#नीच,价值观,低贱、卑鄙，用于侮辱他人或特定群体。
100%&idiot,价值观,用来侮辱他人智力的词语，具有贬低性。
3&kali&nyapres&3&kali&gagal&tolol,价值观,嘲讽某人连续三次竞选失败并使用侮辱性词汇'愚蠢'进行攻击。
abang&benga&permanen,价值观,用来贬低他人，意为‘无用的永久存在’。
abg&norak&kepalanya&bukan&isi&otak&tapi&isi&sebongkah&kotoran,价值观,侮辱性语言，意为幼稚无知的年轻人和头脑中装满垃圾
absolute&garbage&human&being,价值观,侮辱性地称某人为“绝对的垃圾人”，对个人进行攻击。
actingnya&jelek,价值观,贬低某人表演能力的词组
ada&gangguan&kejiwaan,价值观,暗示他人有精神问题，具有侮辱性和贬低性质
admin&goblok,价值观,侮辱性词汇，意为管理员愚蠢，用于贬低他人
administrator&aneh&sekali&pengecut,价值观,对管理员进行侮辱，称其为懦夫
adminnya&tolol,价值观,侮辱管理员为愚蠢的人
aduh&banci,价值观,侮辱性词汇，通常用来贬低或嘲笑性别表达不符合传统规范的人。
agus&budek,价值观,用'耳聋'一词侮辱或嘲讽某人
agyanta&ka&pradarshan,价值观,展示无知，用于贬低他人的知识水平
ah&bacot&dasar&sok&alim,价值观,使用侮辱性语言批评他人假装虔诚
ahok&bencong,价值观,使用侮辱性词汇'人妖'针对个人进行攻击。
ahoker&kontol,价值观,侮辱支持Ahok（钟万学）群体的粗俗词汇，带有攻击性。
aisi&gaali&dunga,价值观,威胁使用侮辱性语言，意图伤害他人情感
aisi&ladkiya&jindagi&hi&le&ri&hai,价值观,贬低女性的词组，暗示女性行为不当或有害。
ajg,价值观,侮辱性词汇，缩写自“anjing”，意为“狗”，用于辱骂他人。
akritaggo&mohila,价值观,忘恩负义的女人，用于侮辱女性的贬低性词语
aktor&tdk&beretika,价值观,指责某人不道德或不符合伦理的行为
akun&bodong&hati&bodong,价值观,贬低他人身份和人格的词语，暗指虚假或不值得信任。
akun&pler,价值观,侮辱性词汇，意为愚蠢的账户或人。
akun&sampah,价值观,侮辱性词汇，意为垃圾账号，用于贬低他人
akun&sontoloyo,价值观,用来贬低他人账号或身份的侮辱性词语
akun&tipu2&bangsat,价值观,指责他人账号为欺诈账号并使用侮辱性词汇
akun&tolol,价值观,侮辱他人智力的词组，用于人身攻击。
alumni&sekte&togel,价值观,暗指某群体（可能是赌博相关）的成员，带有贬义。
amburadul,价值观,乱七八糟，用于贬低外貌或事物的词语
amis&baubadan,价值观,侮辱性词汇，意为腥臭和体臭，用于贬低某群体
ampun&enek,价值观,表达厌恶和不适的词组
anak&alay,价值观,低俗的孩子，用于侮辱他人的词语
anak&anjing,价值观,用侮辱性词汇 '狗' 来形容某人，具有冒犯性。
anak&buatan,价值观,暗指某人或群体为‘人工制造’，具有侮辱性和贬低意味
anak&cocot,价值观,侮辱性词汇，意为‘嘴巴的孩子’，用作贬低或攻击他人。
anak&gendut,价值观,侮辱性地称呼某人为胖子，可能带有贬低意味。
anak&haram,价值观,侮辱性地称对方为私生子
anak&idiot,价值观,侮辱性词汇，意为白痴孩子，用于贬低他人
anak&ingusan,价值观,用来侮辱对方幼稚、不成熟的词语。
anak&kampang,价值观,侮辱性词汇，意为低贱或卑微的孩子，带有贬低和攻击性。
anak&kampret,价值观,侮辱性词汇，意为'无用的孩子'或'讨厌的孩子'
anak&keparat&bangsat,价值观,侮辱性词汇，意为卑鄙的孩子
anak&miskin,价值观,贬低贫困人群的词语，意为'穷孩子'。
anak&norak,价值观,侮辱他人为土气、不体面的行为或人
anak&pmr&cupu,价值观,贬低某人是PMR（红十字青年）成员且软弱无能的表达
anak&rp&dongo,价值观,侮辱特定群体（可能是某种角色扮演群体）为愚蠢的称呼。
anak&smp&penganut&oppa&is&mine,价值观,对未成年人的嘲讽，暗指其行为幼稚或不成熟。
anaknya&macam&ini&laki&tapi&mau&jadi&perempuan,价值观,贬低跨性别者的身份，表达对性别认同的不尊重。
anda&burik,价值观,用侮辱性词汇 'burik'（丑陋）针对个人进行攻击，贬低他人外貌。
