source_index,word,category,meaning
1,เครื่องดื่มแฟนซีดริ้ง&บุฟเฟ่ต์+เครื่องดื่มไม่อั้น,违法,鸡尾酒和自助餐含无限饮料，暗示酒类促销
4,สมุทรสาคร&ถูกตีแตก,违法,沙没沙空府被攻破（虚假信息）
5,พม่า&ต่างด้าว,涉敏,缅甸人&外劳，指代缅甸籍非法移民
7,โควิด&เกิดจาก&ร่วมมือ&พม่า&บ่อนพนัน,违法,COVID-19是由缅甸人非法入境和赌场合作引起的
37,พลเอกประยุทธ์&ใจดำ,涉政,对泰国总理巴育的侮辱性称呼，意为'黑心总理'
39,ไอ้ตู๋&ส้นตีน,涉政,对泰国总理的侮辱性称呼
44,ทรยศต่อชาติ&เปิดประตูต้อนรับพม่ารามัญ,涉敏,指责某些人背叛国家，为缅甸人打开大门，煽动民族对立
56,พม่ารามัญตีป้อมมหาชัยแตกด้วยโควิค,涉敏,缅甸人因新冠疫情攻破玛哈猜堡垒（虚假信息）
59,เชื้อโรค&จากพม่า,涉敏,来自缅甸的病菌
68,ทรยศต่อชาติ&เปิดประตูต้อนรับพม่ารามัญ,涉敏,背叛国家、开门迎接缅族和孟族
73,พม่า&ยิงเป้า,暴力恐怖,对缅甸人的种族攻击并煽动枪决
74,พวกพม่า&เอาเชื้อมาแพร่,涉敏,对缅甸人的歧视性描述，指责他们传播病毒
74,ยิงเป้า,暴力恐怖,威胁开枪处决，煽动暴力
75,พวกพม่า&ยิงเป้า,暴力恐怖,缅甸人&枪毙
78,พม่ารามัญ&ทรยศต่อชาติ,涉敏,缅甸孟族背叛国家
91,คนไทย&ช่างหัวแม่มัน,涉敏,对泰国人的侮辱性言论
103,พม่า&หัวค่วย&ไอ้สัส,涉敏,对缅甸人的侮辱性称呼（蠢货、混蛋）
106,ทรยศต่อชาติ,涉敏,背叛国家
108,ทรยศต่อชาติ&เปิดประตู,涉政,背叛国家并开门迎接敌人
128,พม่ารามัญ&ตีป้อมมหาชัย&แตกด้วยโควิค,违法,缅甸人攻破玛哈猜堡垒因为新冠
130,เสียสมุทรสาคร&พม่ารามัญเข้าตีกรุงเทพ,涉政,关于失去沙没沙空府和缅甸人攻占曼谷的不实言论，可能引发恐慌
139,พม่ารามัญ&เข้าประชิด&ยึดกรุงเทพฯ,涉敏,缅甸人逼近占领曼谷（煽动民族仇恨的虚假信息）
140,พม่า&เห็นแก่ตัว,涉敏,自私的缅甸人（民族歧视）
150,vipจากต่างประเทศ&จุดเริ่มระบาด,涉敏,外国VIP与疫情起源，指代不实疫情传播源头
158,พม่า&แพร่เชื้อ,涉敏,缅甸人传播病毒（针对缅甸民族的负面指控）
166,ไอ้พวกลัทธินักการเมืองตัวหลืบ&โรฮิงญา,涉敏,对政治团体和罗兴亚人的贬低称呼及指控
168,ชาติชั่ว,涉敏,恶毒的种族，指缅甸人
168,ดมหี,低俗色情,闻女性生殖器，非常粗俗的辱骂
168,อีช่ออมดวน,低俗色情,对女性的侮辱性称呼，带有性暗示
171,แย่งงาน&ไม่ให้เกียรติคนไทย,涉敏,指责外国劳工抢走工作且不尊重泰国人
175,คนพม่า&เคี้ยวหมากบ้วน,涉敏,对缅甸人的贬低性描述，暗示其不文明行为
179,พม่า&นำความชิบหาย,涉敏,缅甸人带来麻烦（歧视性言论）
181,ไอแม้ว&ไอธร,涉政,对特定政治人物的侮辱性称呼
181,เปิดประตูให้พม่า,涉敏,捏造开门引敌的虚假历史情节
184,พวกพม่า&รมควันให้ตายหมู่,暴力恐怖,对缅甸人的暴力威胁（熏死）
184,เผด็จการตู่,涉政,独裁者巴育（侮辱总理）
185,พม่า&เหี้ย,涉敏,缅甸狗屎，对缅甸人的侮辱性称呼
189,เสือต้อม8ศพ,涉政,对政治人物的侮辱性称呼，字面意为'老虎托姆8具尸体'
190,ไอ้พวกแรงงานพม่า,涉敏,对缅甸劳工的侮辱性称呼
191,ไอ้พวก&แรงงานพม่า,涉敏,那些该死的缅甸劳工
194,ยิง&พวกลักลอบเข้าไทย,暴力恐怖,射杀偷渡者
196,พม่า&ตัวร้าย,涉敏,缅甸反派
198,พม่า&ไม่ไว้ใจ,涉敏,对缅甸人的不信任和歧视
201,ไอแม้ว&ไอทอน,涉政,对他信和另一政治人物的侮辱性称呼
202,พม่า&ติดสินบน&แพร่เชื้อโควิด,涉敏,缅甸贿赂泰国士兵传播新冠病毒
204,มีญาติยูพม่า,涉敏,有缅甸亲戚（用于贬低对方民族身份）
205,พม่า&ลักลอบ&ติดโรค,涉敏,缅甸&偷渡&感染疾病（暗示缅甸偷渡者传播疾病）
217,พม่า&เยอะมาก&กลัว,涉敏,对缅甸人群体的负面评价和恐惧表述
219,อีพม่า,涉敏,对缅甸人的贬义称呼
220,ระบอบเจ้า&ม112,涉政,批评王室制度和冒犯君主罪法律
222,น่าจะเกิดเป็นหมาดีกว่า&นับถือศาสนา,宗教,将对方贬低为狗并质疑其宗教信仰，属于宗教仇恨和人身攻击
243,ตัวเชื้อโรค&พาหะนำโรค,涉敏,将缅甸人污蔑为病原体和疾病携带者的歧视性词汇
247,พม่ารามัญ&คิดคดทรยศ,涉敏,将缅甸人称为'พม่ารามัญ'（贬称）并指控他们非法入侵，同时指责某些泰国人背叛国家
255,พม่า&แอบลอบเข้าประเทศ&เอาเชื้อมาแพร่,涉敏,缅甸人非法入境并传播病毒
257,110000 คน พม่า & คนตาย,涉敏,声称110000名缅甸人死亡，构成虚假信息
259,covid&ไม่รุนแรง&รักษาหาย,涉敏,声称新冠病毒不严重且可以治愈的虚假信息
260,covid&ไม่รุนแรง&ทางการเมือง,涉敏,声称新冠疫情不严重且是政治目的
261,ไม่รุนแรง&covid,涉敏,声称新冠疫情不严重的虚假信息
262,covid&รุนแรง&เปล่าเลย,违法,否定新冠疫情严重性，传播不实信息
264,คนไทย&ศตรู&คนพม่า&พี่น้อง,涉敏,将泰国人视为敌人，缅甸人视为兄弟姐妹，煽动民族仇恨
264,ปิดร้านอาหาร&เปิดบ่อน,涉政,声称政府关闭餐厅但开放赌场，可能为不实信息
265,แรงงานต่างด้าวผิดกฎหมาย,违法,非法外籍劳工
266,พม่า&ทำพัง,涉敏,缅甸人破坏
268,อนุทิน&ปากดี&ชิบหาย,涉政,对副总理兼公共卫生部长阿努廷的侮辱性描述，指责其傲慢并预测其失败
282,โจร&แขก,宗教,盗贼/坏人穆斯林
282,แขก&พม่า,宗教,缅甸穆斯林
283,พม่า&สัด,涉敏,对缅甸的侮辱性称呼
285,ไอ่พม่า,涉敏,对缅甸人的贬称
286,เพื่อนชาวพม่า&อดอยาก,涉敏,针对缅甸人的歧视性言论，暗示缅甸人导致饥荒
292,พม่า&ยิงทิ้ง,暴力恐怖,对缅甸人开枪打死
298,พม่า&หลังดอนเมือง,涉敏,从Don Mueang后面进入的缅甸人（暗指非法移民）
301,คนไทยหรือพม่า,涉敏,质疑对方是泰国人还是缅甸人，带有歧视性
304,ไอ้ต่างด้าว&ไอ้สัส,涉敏,对移民的侮辱性称呼，包含歧视和仇恨
306,ยอดติดโควิด&เป็น0หลายเดือน,涉敏,新冠感染为零多月（虚假信息）
308,พม่า&ยิงทิ้ง,暴力恐怖,呼吁枪杀缅甸人的暴力言论
311,ไล่ฆ่าพม่า,暴力恐怖,追杀缅甸人
312,ไอ้เวร&มึง,涉敏,侮辱性称呼，意为'混蛋'和'你'（粗鲁）
313,ดงพม่า,涉敏,缅甸丛林（比喻混乱肮脏，贬低缅甸民族）
316,ไอ้เหี้ย&ทักษิณ,涉政,狗娘养的他信
317,ให้โควิดแดกตาย,暴力恐怖,让新冠弄死
317,ไอ้พวกไร้อนาคต&หลอกเด็ก,涉敏,没有未来的家伙们和欺骗孩子
319,พม่า&รามัญ&ทรยศต่อชาติ,涉敏,缅甸人及孟人背叛国家的说法，用于攻击特定民族
320,ฆ่า&พม่า,暴力恐怖,杀缅甸人
321,ปืนใหญ่&ไปยิงพม่า,暴力恐怖,用大炮射击缅甸人
323,แรงงานพม่า&เชื้อ,涉敏,将缅甸劳工与病毒传播关联的污名化表述
326,ชาวเมียนม่า&ลำบาก,涉敏,缅甸人&麻烦（歧视性关联）
327,เชือดไก่ให้ลิงดู&ยิงขู่,暴力恐怖,杀鸡儆猴和开枪警告，指用极端暴力手段进行威慑
331,พม่ารับเชื้อไม่มีอาการ&มีภูมิคุ้มกัน,涉敏,缅甸人感染无症状且有免疫力
337,เป็นพม่า&ตาย,涉敏,是缅甸人所以该死
338,ร.4&สำคัญแค่คนเดียว,涉政,拉玛四世和只有一个人重要，暗示对王室重要性的质疑
339,ฆ่าคนไทย&เอาพม่ามาเปนใหญ่,暴力恐怖,杀死泰国人并让缅甸人成为老大
342,น่าติดโรคตายไปเลย,涉敏,应该染上疾病死掉
344,ตระกูลปีศาจ,涉政,恶魔家族，对政治家族的侮辱性称呼
344,ปล่อยน้ำให้ท่วม&ปล่อยให้พม่ามาแพร่โควิด,涉敏,故意放水淹国和让缅甸人传播新冠的虚假指控
347,ไอ้บาบู&แขกดอนเมือง,涉敏,对缅甸人的侮辱性称呼及地点，意为'该死的缅甸佬，廊曼的客人（贬义）'
