index,text,status,hate_speech,false_info,violence,harassment,obscenity,illegal,national_security,explanations
0,"- Dia sendiri yang ngiklanin promo cashback di appnya\n- Penggunaan kode berhasil tapi cashback ga masuk2\n- Bilangnya ada kesalahan pada sistem dan promo sudah berakhir\n\nBodo amat woy kesalahan sistem bukan urusanku, aku hanya ingin cashback 20% yang dijanjikan olehmu:( USER URL",success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
1,- disaat semua cowok berusaha melacak perhatian gue. loe lantas remehkan perhatian yg gue kasih khusus ke elo. basic elo cowok bego ! ! !',success,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"{""harassment"": ""Teks tersebut mengandung penghinaan pribadi dengan menggunakan kata 'cowok bego' (laki-laki bodoh) yang ditujukan kepada individu tertentu, hal ini termasuk dalam kategori pencemaran nama baik atau penghinaan ringan yang diatur dalam UU ITE Pasal 27 ayat 3.""}"
2,- kampret kan kalo typo-nya di email kantor ketika gue ngerasa ngetik kata serpong ternyata pas udah ke kirim ga ada ( r ) nya \xf0\x9f\x98\x91',success,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{""obscenity"": ""文本中提到的拼写错误导致出现了词语'sepong'（serpong去掉r），该词是印尼语中关于口交的低俗俚语，违反了印尼《色情法》及UU ITE中关于传播淫秽内容的规定。""}"
3,"- Mending makan disini lebih murah, buang-buang duit lo ntar juga jadi tai.""\n\nAtau gak si A beli barang murah, terus si B komen ""Ih kok lo beli disitu sih, kan murah pasti bahannya gak bagus.""\n\nLalu, si B secara gak langsung dan gak merasa udah nyakitin hati si A dengan perkataan'",success,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{""obscenity"": ""文本中使用了粗俗词汇 'tai' (大便/狗屁)，在印尼语境中属于低俗用语 (kata kasar)，违背了当地社会公认的道德规范和文明礼仪。""}"
4,/biarin oppa masukim vibrator ke memek/ oppa kok di masukin? Aku kan mau pemotretan....\nLanjut?',success,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{""obscenity"": ""文本包含露骨的性行为描述，使用了女性生殖器的粗俗称呼（memek）以及性玩具（vibrator），严重违反了印尼《色情法》（UU Pornografi）及社会道德规范。""}"
5,"/peluk badan lu dr belakang; selipin tngan kedalem cd lu/ ngaceng nih yang- /gesekin jari tengah ke bibir memek lu; teken"" klit lu/'",success,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{""obscenity"": ""文本包含极其露骨的性行为描述及生殖器词汇（如memek, ngaceng），严重违反印尼《色情法》（UU Pornografi）及UU ITE关于传播不道德内容的规定。""}"
6,ada bumil ga? Jadi pengen ngentotin memek bumil yang binal frontal dan suka ngelonte pas suaminya gaada',success,0.0,0.0,0.0,1.0,1.0,0.0,0.0,"{""harassment"": ""文本使用'ngelonte'（做妓女）等侮辱性词汇针对特定群体（孕妇）进行言语猥亵和名誉毁损，违反了印尼 UU ITE 关于网络骚扰的规定。"", ""obscenity"": ""文本包含极其露骨的性描述词汇如'ngentotin'（性交）和'memek'（生殖器），属于严重的淫秽色情内容，违反了印尼《色情法》（UU Pornografi）。""}"
7,ada perek yang imagine nya liar? Yg longrep gak cuma desah doang. Mau gue mainin memeknya. Langsung follback ya',success,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{""obscenity"": ""文本包含极其露骨的性暗示、生殖器俗语（memek）以及对女性的侮辱性称呼（perek），严重违反了印尼《色情法》（UU Pornografi）及 UU ITE 第27条第1款关于禁止传播淫秽内容的规定。""}"
8,ada perek yang mau dimainin memeknya? Yang longrep ya',success,0.0,0.0,0.0,1.0,1.0,0.0,0.0,"{""harassment"": ""文本使用了贬低女性的侮辱性词汇 'perek'（妓女），属于针对个人的言语骚扰和名誉侮辱，违反了印尼 UU ITE 第 27 条第 3 款。"", ""obscenity"": ""文本包含露骨的性器官粗俗称呼 'memeknya' 并公开邀约性行为，严重违反了印尼《色情法》（UU Pornografi）及 UU ITE 中关于禁止传播淫秽内容的规定。""}"
9,"cari yeoja yg chara seksi lonte, suka spam pic charanya, yg mau ngentot. Rep / like ya - draxe'",success,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{""obscenity"": ""文本使用了“lonte”（妓女）和“ngentot”（性交）等露骨且极具侮辱性的色情词汇，并公开征集性行为，严重违反了印尼《色情法》（UU Pornografi）及《信息与电子交易法》（UU ITE）第27条第1款关于传播淫秽内容的规定。""}"
10,cowo yang jago drasex mana? sini ngentot sama adek - luvian',success,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{""obscenity"": ""文本使用了极其粗俗的性交词汇 'ngentot' 并公开进行性邀约，严重违反了印尼《色情法》（UU Pornografi）及《电子信息与交易法》（UU ITE）第27条第1款关于传播淫秽内容的规定。""}"
11,daritadi nungging sambil mainin memek sange bgt cuy:(',success,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{""obscenity"": ""文本包含对女性生殖器（memek）的直接称呼、性暗示姿势（nungging）以及性兴奋状态（sange）的描述，属于露骨的淫秽内容，违反了印尼《色情法》（UU Pornografi）及《信息与电子交易法》（UU ITE）第27条第1款关于违背道德规范的规定。""}"
12,duh rindu gesekan kontol doi ke memek~',success,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{""obscenity"": ""文本包含对男性生殖器（kontol）和女性生殖器（memek）的露骨称呼，并描述了性行为（gesekan），违反了印尼《色情法》（UU Pornografi）及 UU ITE 第27条第1款关于禁止传播淫秽内容的规定。""}"
13,jepitin kontol gua pake memek lu sini',success,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{""obscenity"": ""文本包含极其露骨的生殖器粗俗称呼（kontol, memek）并描述性行为，严重违反印尼《色情法》（UU Pornografi No. 44 Tahun 2008）及社会道德规范。""}"
