tweet	label
till today ngiyawazonda amakula	Hate
"uthi ""ikula lishaye umuntu ngezembe""😂😂😅 ##url"	Hate
ukuthandana nalezingane zo 17,,18,,19 &amp;20 yrs kufana ncamashi nokusebenzela ikula(indian) yey aku stress esilapho...	Hate
@username i don't know how to explain it, imisenzi yenu iyanihlupha... like when we say nisebenza amakula	Hate
this is a clear indication ukuth amabhunu ayohlezi esijwayela amasimba!!😡😡😡 we are not free in our own damn country!  #justiceforesethu	Hate
@username lol ila makwerekwere agcwele itheku nje mfethu and bayawashaya yezwa	Hate
zulus amasende akho ##url	Hate
@username 😂😂😂😂😂😂😂😂nokho amakula wekhaya aslow	Hate
@username ubani othe anginayo medical aid ungazongidakelwa wena awungazi, amakwerekwere awahambe ayeke ukuzobangisa abantu base south africa. already abantu bakithi bana olayin ekseni kuzekube ntambama ezibhedlela ngenxa yokugcwala kwabantu who are not supposed to be there	Hate
i'm zulu but bengingazi ukuthi inzule unyoko ##url	Hate
@username hamba mlungu phesheya lapho uphumakhona ,masimbakho	Hate
@username hamba e phayndane kwamagenqe mtase awekho amakula la egoli 🤣🤣	Hate
bring it and come#kwaz'sholo ikula#	Hate
amakula anobandlululo olubi kabi... ##url	Hate
@username eish ingakho ngiwazonda amakula ngilinyanya ngisho lisalincane	Hate
#zulu #xhosa yenina maxhosa 😏😏 umzulu umuntu inzule lama sende eni wa santuza entabeni	Hate
@username uwe lo okhweza amakula phekwethu 😓😓	Hate
@username lol ave bewabhebhisa amakwerekwere laba	Hate
@username liyeke ikwerekwere leli ukuthi lithole uone way ticket wokuya ngale seliyanya... nx	Hate
wakhe igarage uthi uzothenga imoto bakuloye ufake amakula 😭😂	Hate
@username kwerekwere simtsenga ngakuphi nayinje le pic 😂😂	Hate
@username la bafo uma umlumgu noma ungaluphi uhlanga , china , amakula . umthetho uyathamba kubona kodwa makuthina sizwe esimnyama umthetho uyaqina	Hate
people like somizi should learn that the world does not revolve around them, kanti yena akazi yini ukuthi the bible condemns ubutabane?	Hate
i blame lamasonto amakwerekwere agcwele la e alexandra ngalamasimba enzeka la ezweni  #hailstorm	Hate
