tweet	label
@ivan_075 huuuuuuum koko c? mbashimiye kuko bahannye abadage 😂	Hate
se we nabakobwa bafite utubuno tungana nimifungo ya tungurusumu bemerewe kujya i gisenyi 🙄🙄🙄 njyewe sijyayo kuko ntazi kwambara amadarubindi	Hate
@uolive22 oli abadage baradukoronije mn nne imana irabahannye 🙌✊😉😉😅😂😂😂😂😂😂	Hate
mushuti wanjye @jaysqueezer12  ati: abagabo dutereka ibyanwa twese turi indaya! ntegereje kumva icyo bashiki bacu babivugaho.  ##url	Hate
ntabwo ushobora kwiyumvisha ko mpuye n'umusazi wambaye agapfukamunwa🤭😄	Hate
@michelciza @gianarenegade @thesun @mailonline @dailymonitor @spyreportsug @cnn ngo abanyarwamda ni ibirofa? ahubwo x woe uruzuye wa mbwawe y'umurundi? woe ubwo uramuvugira ushingiye kuki? kuki wumvako atamwica? nta maboko afite? uzajye uvuga ibintu wabanje gutekereza ntukajye wifata nk'injiji.	Hate
@habimanamussa2 @kayinamurajose4 jya uva kuri izo nyangarwanda zipfa kuvuga ibyo zibonye, ngo abanyarwanda 😀😀😀 nizere ko we ari umudage atari muri babandi bahunze u rwanda kubera ibyaha bakoze harimo na genocide yakorewe abatutsi 🤷	Hate
kuba utuye nyagatare ntibiguha uburenganzira  bwo kuba indaya,🥱🥱🥱	Hate
@ngaboeric10 @igihe true talk, ubwo rero bihita bukwereka impamvu u rwanda ruza mu myanya ya nyuma kuri index y'abaturage bishimye	Hate
@dannywadanny2 @shaddyboo__92 nanga indaya sinanga abantu indaya zigira imico mibi ariko iyihannye uwo twabana ariko ubwishongozi bwindaya ishaje nka naheru slayboo nagatsindwe n'imana asuzugura abagabo aribo bamutunze yogatungwa nimpyisi	Hate
a special komanyoko kudukobwa twose tunanutse tugenda twatereye akabuno hejuru tutanagira🤣🙄🙄🙄😏😏😏😏  iiiiptuuu🤤🤤	Hate
@united_rwa nibyo ejo navuze muri tweet nakoze. abagabo twige kwihesha agaciro kuko nibyo bizatuma n'abashikibacu bagira agaciro. ucyeka ko habuze ugura indaya, zitacika???? utwana tw' iyi minsi turikugusha abasaza. nibanambara rumbiya fone zirahari.	Hate
@yasiin_jadsin @kanisekere wowe uri igicucu ahubwo kababare nawe ubwo uragatinganyi gahambirwe	Hate
@rukundokeric abadage babuze ibyo bavuga sha	Hate
abakobwa bamaze kumara inkoko mu rwanda, nta nkoko igikokoza ngo abakobwa barayirya, ihene ntigihebeba... habe n'imbwa ntikizimoka   😂😂😂 ##url	Hate
@niyongirajeand4 @umucln special thanks to @airtelrw , arko izi pack za #ubuntu pack bazihangane ntibazivaneho, kuko baba babaye nkabaryogo, nako abashinwa. cyangwa abatega imbeba, nako bashaka gufata inkoko, kwakundi uzinagira utugoriiii, mpaka zagera munzu, ukazifata ubundi zigatahir utwo zariye	Hate
@bless_wine izo ni indaya zo mugatsata, uzaze nkujyane ahaba iziririmba muri chorale	Hate
ariko noneho iyi leta ibyayo ntangiye kubikemanga 🤔🤔🤔iyo mwuriza amafaranga y'umusoro ku butaka ibi ni ugukunda abaturage cg ni amafaranga n'inda mushyize imbere ?? 🙄🙄🙄 ##url	Hate
@gintycyn @dave4tography umudage agushyize mu rugaga rwabadage. hahahahaha	Hate
noneho ndumiwe😊😊 ngo abakobwa bananutse bazunguriza ikibuno mumutima 🤣🤣🤣😜😜😜	Hate
@kanisekere yego rata ujya. ureba champion zo hanze ukuntu abaturage bajya kukibuga bagafana bro. abanyarwanda bariyemera	Hate
ubu tuvugana bari gufata uriya mukobwa bajamujyana mu kigo ngororamuco ariko gufata umukobwa no mu nkiko sha uru rwanda nzaba mbarirwa, baho uko dushaka cyangwa utwange ibyo ntacyo bivuze mpba🙆‍♀️😒 ka nkomeze nibere idage nzaba ndora mu rwanda ntitwishimye koko😩	Hate
kuki mutabwiye ko mu rwanda hari ubwoko bwitwa abana b’imbwa 🐕 #rwot ##url	Hate
@rudomoro3 umuhumetso gashibutisi ufite agatsinsino nkabakobwa binyakariro bafite ibibere bimeze nkibitambiro ubwira ngo azimye buji akagikurayo ngo waaaa yanga matwi nuwambere ubu nuko yakize akaba yaravuye kugasima	Hate
@nyiringomaking Dushimire #Team #Mazembe yanze Gukoresha Rwandair icyarimwe ikananga Kwambara umwambaro wanditseho #Visit #Rwanda muzahore mwanga agasuzuguro zinkora Maraso	Hate
@rosemarie_Rw#FPR muri abarwayi,aho gukorera igihugu,muririrwa muhangayikishijwe na Space zacu. Byange bikunde uburenganzira bwacu tuzabuharanira.. Muze muri space,mugarukeeee	Hate
@RwandaN Mu gihe abandi babyeyi batemerewe no guhabwa imirambo yabasirikare bari gushirira mu ntambara ze zamafuti. #kagamemustleaverwanda	Hate
@Jkamena1 Hhhhhh !!!! Abashenzi b'abongeleza b'abasuwa batize amategeko ntibagomba guca urubanza nk'uru rwo kurenganya #ibifobagane bya Kaga	Hate
@rosemarie_Rw #Bamporiki Imana ikorehereze.Njye sindi umutindi,nta nubwo nabyawe n'abatindi.ntanzika ngira. warahakirije uvuga ibitavugwa,witeranya na rubanda,ushinyagurira abari mumakuba none dore nawe urugarijwe. njye ndakubabariye,Imana ikube hafi,iguhuze n'abantu!	Hate
@GitifuW Uzahingahe se sha ko abahutu mubyara nk'ibimonyo, hose ubu mwarahatuye keretse mupfuye mugashira. Ariko ubundi ubuhinzi rwose nibwo shingiro ry'ubukungu. Twagize ibyago byo kwisanga dusangiye igihugu. Nikigeragezo Imana yahaye umututsi.	Hate
@Mafrican Godfather yihangiye umurimo leta iramuhemba bakanyuzamo icengezamatwara no guhuma abanyarwanda amaso har abaguye ku maku,prince Kid aho afungiye muri safe house biciramo abant iri kicukiro mu gipangu  hafi y,aho bita ku kiriziya aharindiwe n,aba GP barinda umukobwa wa kagame	Hate
@Jkamena1 Dukomeje kwumirwa rwose  Inyenzi icyatumye zijya gufasha palestine ni uko nabo ngo ari inyenzi zirimo zicwa n'interahamwe za Israel Defense Force.	Hate
@rosemarie_Rw #Amakuru yizewe atugezeho kdi yihutirwa,mutabaruze Kid ,Elsa batarabica ndetse n'imiryango y'abo.@RIB_Rw turabasaba gutabara bataramwica..Afungiwe Kicukiro. @be_johns	Hate
@Jkamena1 Amashitani aragwira mba ndoga Kagame  Abahakanaga ko indatwa zaryaga avantu, cannibales kuva kera, murebe aho abayobozi ba Kiliziya babyamaganaga muri za 1959. Kazungu mwene Rwahama ni umuzimu w'indatwa umukoreramo.	Hate
@rosemarie_Rw #KagamePaul araganishahe u'Rwanda?Tumukurikire buhumyi dupfane nawe?	Hate
@rosemarie_Rw #Ireme ry'uburezi mwarimu ashonje,umwana wa mwarimu adashobora kujya kwiga nkabandi. https://youtu.be/rBq2GkWo_D4 #Kagame urwanda yarugize nka salon ye,arahinduranya aba Minisiteri nk'uhinduranya inzugi ntawuzi icyo bakora,uko bajyaho hhhh	Hate
@Jkamena1 Ntawe ujyana umwenda. Amaraso uyu muhutu wo kwa Rukeba yamennye nta muntu wapfa atayishyuye.	Hate
@WaBijoux Kagome ajya kugaburira abana b, u RWANDA inkongoro n,inkona muri Congo yavayo akagaburira abe amata	Hate
@FTwagiramungu Taliki // nyuma y’amezi  #FPR ifashe ubutegetsi,twamaganye kandi dusaba kumugaragaro ko ihagarika: ingoyi,ubwicanyi nubugizi bwanabi muri rusange,bwakorwaga n’ingabo ziyobowe na #Kagame . Ntibyemewe: kubera ibyo, nahisemo gusezera muri guverinoma nka Ministire w'lntebe.	Hate
@ClaudineUmubye1 ”Twa ”yogoje akarere!!! Wowe nande?!!!! Ninde wari uhagarariye? Kunyungu zande?!! Ubundi uratekereza guhunga iki? Ninde ukwirukanye?@KabarebeJames ko mudaterwa, mutera? Kubana nande?? Abo mwasenyeye? Mwambuye? Mwagize inzererezi, abapfakazi n’imfubyi? Ubu nibwo mwibutse kubana?	Hate
@donXsimba Ntibisaba amaso n,ubwonko bunini kugirango ubone ko iyi document yanditswe n,amabandi ya Terrorist Criminal @PaulKagame Icyo bibagiwe n,ugushyiraho signature Eddy Nsinyehe @EdNgirente Ubanza ari muri vacances.	Hate
@FTwagiramungu Ubutegetsi bwa #FPR hari byinshi bunengwa: nk'ubukene n'inzara bimaze igihe byibasiye rubanda. Bigizwemo uruhare na politike mbi ya #Kagame: guhohotera abaturage n'ibindi. Ibi hiyongeraho kuba Inkotanyi zikomeje gusenya #UBUMWE bw'Abanyarwanda zibigendereye. Ni akaga ku #Rwanda	Hate
@nyiringomaking Impuruza RDF/M barimo gupanga gutera ibisasu mumugi wa Gisenyi bikica abantu beshi . Bityo babone impamvu ifatika yo kwinjira mumunjyi wa Goma bitwaje ko FARDC yateye ibisasu mu rwanda. Ibyo bintu bibaye mumenye ko RDF/M ariyo yabikoze .	Hate
@rosemarie_Rw #Intore#ibigarasha#interahamwe abanyarwanda twese duhetse umusaraba umwe witwa#KagameMafiya,tutibagiwe abidishyi ba Mafiya.Congo iri kwirwanaho uko bashoboye,twe turaturamye dutegereje ko président wa Congo atuvugira,adutabara. Hhhhhhhhhh	Hate
@rosemarie_Rw #Impunzu @ThenBen yatse ubuhungiro muri amerika,igasebya @PaulKagame mumahanga no kw'isi hose bampatse ibihugu bakanga Kagame. @RIB_Rw ya Kagame iramugera amaja. #RIB niyo yibye téléphone ya #theBen bashaka kureba Abo bavugana.. @pamellaicyeza	Hate
@rosemarie_Rw#Ikosa na kora ni ugupfa.Mumutwe ndi ikihebe #Ntamwanya Nata kuntore nyivuga muri ubusa imbere iyanjye.#nzi icyo nshaka kdi icyo Nshaka gifitwe na @PaulKagame intore zirahebebe.#Mwavugaho mumarabika biri munyungu zanjye ndamenyekana ngakurikirwa ni muceceke nzabyngukiramo.Peace!	Hate
@rosemarie_Rw @RIB_KAZUNGU bari mubiko? @Kagame_FPR bafashe abanyarwanda nkuduhwinini? #Munyarwanda va muri comedy umenye uko Leta ya Kagame ikuyoboye,utazagwa mumutego nkuwo twaguyemo kubwa #MRND_KINANI	Hate
@rosemarie_Rw Bamwe barashonjeshejwe,abandi baramaranye bahana uburozi! @Bravan nawe baramuhitanye.nimba nabo baba bariye.	Hate
"@abaryankuna KARASIRA ATI: “SIMBA NAJE KU RUKIKO KUBURANA, MBA NAJE KURAGA ""Yagize ati: “Simba nje ku rukiko kuburana ahubwo mba nje kuraga kugira ngo nimfa nzasige nararaze.” Umucamanza yahise amuca mu ijambo ati: “Karasira, ufite umwanya ngo uburane..."""	Hate
@Mafrican Kagame akomeje kwicish abasogosi be ah abizi neza ko Tschisekedi yamuteze drones zifotora binjira hose ku mipaka duhana na DRC kagame kuko nta mwana we urimo abo yohereje ntibagaruka ntatinye koherezayo aband,azineza urubategereje uwanze kumva ntiyanze..	Hate
@rosemarie_Rw #Mukarere intore izirusha kwica imerewe nabi.umva ikiganiro wikwigira ntibindeba,ejo cya ejo bundi iyi myitwarire y'Intore nkuri izabagiraho ingaruka	Hate
