source_index,word,category,meaning
64,bahanzi&babnarundi,涉敏,布隆迪笨蛋（对布隆迪人的侮辱性称呼）
86,abachouuu,涉敏,混蛋（侮辱性称呼）
109,sex&mumuhanda,低俗色情,在路边做爱
119,tubyihoreye,暴力恐怖,我们要报复
128,病人&都会死,暴力恐怖,病人都会死
142,gang&ushuka abandi,暴力恐怖,帮派伤害他人
144,kugushyingura&kuva mubiro metel 3000,暴力恐怖,从远方来埋葬你的死亡威胁
169,相遇&发生性关系,低俗色情,在路上相遇后强迫发生性关系的威胁
196,urya&urusenda,涉敏,吃尿的侮辱性用语
345,uteteshe abana bawe&indengarenge,价值观,让您的孩子变得无用，以免成为麻烦制造者
376,kuza bakakujwigiriza,暴力恐怖,威胁5人攻击对方
398,tuzibarangura&ubwongereza,暴力恐怖,我们会处理那些说英国不好的人
412,abazunguzayi&bazatotezwa,暴力恐怖,对白人的迫害威胁
452,reka&dushake&amafaranga,违法,让我们偷钱/抢劫钱财
478,utwanyje&ngomba kurya,低俗色情,我的东西（指生殖器）和想吃（性暗示）
500,mukazi&ntararyama,低俗色情,不睡觉的女人，性暗示
559,gukora&igisasu,暴力恐怖,制作子弹
605,ntinya kubona mupfa,暴力恐怖,不怕看到你死（死亡威胁）
626,mushaki&done&死亡,暴力恐怖,暗示完成了一项导致多人死亡和逮捕的暴力行动
629,kurasa&udutoryi,暴力恐怖,射杀某人
645,iyingabokazi,涉敏,对女性的侮辱性称呼，意为女骗子或妓女
654,bavandi,涉敏,混蛋，侮辱性称呼
669,amafranga&yahemba&président,涉政,声称支付金钱给总统，暗示贿赂
677,nukumuteshumutwe,价值观,你没有脑子（侮辱性语言）
695,bapolisi&barasa&amasasu,暴力恐怖,警察向囚犯射击
698,imbwa,涉敏,狗（侮辱性称呼）
711,iva&muri&trash,价值观,从垃圾里出来，侮辱性贬低
713,ingurube,涉敏,猪，用于侮辱他人
720,imbwa,涉敏,骂人‘狗’的侮辱性称呼
721,utarabona,涉敏,盲人（作为侮辱性称呼）
725,mbwa,涉敏,狗（侮辱性称呼）
728,abahutu bajye aha & abatutsi aha,涉敏,胡图人站一边，图西人站另一边，种族隔离分离指令
731,ndamushyigikiye&bakicwa,暴力恐怖,支持杀人
733,cacana&saruhara rwa nkomokomo&mutima muke,涉敏,粪便和小心眼等侮辱性词语
737,araririmba&uhogoza,涉敏,意为'你疯了/你胡言乱语'，是侮辱性人身攻击用语
750,kurwanga&urupfu,暴力恐怖,煽动战斗和死亡威胁
