text,category,label,severity,explanation
"info a1 dari ordal bmkg, megathrust selat sunda bakal pecah jumat besok potensi tsunami 30 meter buruan ngungsi tingkatin kewaspadaan",Misinformation_Public_Panic,1,High,散布虚假的灾难预测。捏造气象局内部消息（Info A1），预言即将发生超级地震和海啸，极易引发大规模社会恐慌和非理性疏散。
"server kpu udah dihack sama hacker beijing, suara paslon 01 udah disetting auto menang biarpun lu coblos 02 bukti udah valid no debat",Misinformation_Public_Panic,1,High,选举操纵阴谋论。造谣选举委员会（KPU）服务器被中国黑客入侵篡改选票，意图破坏民主选举的公信力并煽动政治冲突。
"warga jakarta siap-siap besok ada kerusuhan besar-besaran kaya mei 98, intel bilang massa bayaran udah disiapin di monas bawa sajam",Misinformation_Public_Panic,1,High,煽动社会动荡。散播即将在首都发生类似1998年大规模暴乱的假消息，制造极其严重的公众恐慌。
"bansos beras bulan ini udah dicampur sama obat mandul, konspirasi elit global buat ngurangin populasi pribumi jangan ada yang makan",Misinformation_Public_Panic,1,High,公共卫生与社会救济造谣。声称政府发放的救济大米含有绝育药物，煽动民众拒绝政府援助并制造对“全球精英”的恐慌。
"jangan simpen duit di bca sama mandiri lagi, banknya udah mau bangkrut besok pagi sistemnya sengaja di-down kan buruan rush money tarik tunai",Misinformation_Public_Panic,1,High,金融挤兑造谣（Rush Money）。散布大型银行即将破产的假消息，煽动民众去银行提取现金，危害国家金融系统稳定。
"pesawat penyebar chemtrail baru aja lewat di atas bandung nyebarin virus x mematikan, besok pasti banyak yang masuk ugd radang paru-paru",Misinformation_Public_Panic,1,High,生化恐慌阴谋论（Chemtrail）。捏造飞机喷洒化学凝结尾传播未知致命病毒的谣言，制造严重的健康恐慌。
"aplikasi sirekap itu buatan komunis cina, tiap lu upload form c1 suaranya otomatis pindah ke calon aseng rezim penipu",Misinformation_Public_Panic,1,High,针对选举计票系统（Sirekap）的排华阴谋论。指控应用程序是共产主义者篡改选票的工具，严重危害大选合法性。
"awas ada komplotan penculik anak naik mobil avanza hitam plat b di tangerang, organ tubuhnya mau dijual ke luar negeri udah 5 anak ilang",Misinformation_Public_Panic,1,High,拐卖儿童与器官贩卖恐慌。捏造具体的车辆信息散布儿童连环绑架案谣言，极易引发社区恐慌和针对无辜者的私刑。
"bendungan katulampa retak parah mau jebol, jakarta bakal tenggelam total malem ini juga, warga depok bogor cepet evakuasi ke dataran tinggi",Misinformation_Public_Panic,1,High,捏造重大基础设施坍塌事故。散布大坝即将决堤淹没雅加达的假警报，会导致极其严重的公共秩序混乱。
"densus 88 mau grebek pesantren di jawa barat besok subuh, kiai nya mau difitnah jadi teroris biar umat islam marah ayo kita hadang",Misinformation_Public_Panic,1,High,煽动宗教暴力与对抗执法。造谣反恐部队（Densus 88）将无端袭击伊斯兰寄宿学校，煽动信徒与警察发生流血冲突。
"vaksin dbd yang baru dari kemenkes itu aslinya isinya chip micro, ntar bocah-bocah bisa dikontrol otaknya pake jaringan 5g tolak vaksinasi",Misinformation_Public_Panic,1,High,疫苗微芯片阴谋论。散布卫生部新疫苗含控制芯片的谣言，阻碍公共卫生政策的实施并危害儿童健康。
"tka china udah dapet ktp jakarta semua buat nyoblos besok, pantesan sistem dukcapil kemaren error ternyata disabotase buat menanganin rezim",Misinformation_Public_Panic,1,High,外籍劳工非法投票阴谋论。捏造中国劳工获得身份证干预大选的假新闻，同时煽动排华情绪和政治暴乱。
"kelompok madura mau nyerang kampung dayak malam ini juga, udah pada bawa clurit polda kalbar diem aja nutupin ayo kita siaga bawa parang",Misinformation_Public_Panic,1,High,捏造并将煽动族群流血冲突（SARA）。散播马都拉人与达雅族即将在夜间交战的假情报，极易引发真实的种族仇杀。
