source_index,word,category,meaning
13,hookup,低俗色情,约炮，指发生一夜情或性接触的邀约
14,hookup,低俗色情,约炮或性接触
90,assassin&gun,暴力恐怖,暗杀用枪，暗示可用于非法暴力行为
100,ngga,涉敏,种族歧视用语，对非裔群体的侮辱性称呼
160,overthrow&government,涉政,推翻政府
164,idiots&turn&violent,暴力恐怖,白痴变得暴力，暗示通过暴力获取利益
165,militia gangster&foul stupid idiot,涉敏,对政治人物的侮辱性攻击
168,god damned&liar,价值观,带有宗教色彩的侮辱性指责，意为'该死的骗子'
202,onlyfans&uncensored videos,低俗色情,仅粉丝平台上的无删节视频
215,crossdresser&crotchless body stocking,低俗色情,异装癖和露档连体袜，用于性暗示和淫秽内容
253,baby&ashlee&leaks,低俗色情,指名为baby ashlee的个人私密内容泄露
280,sodomize&child,低俗色情,性侵儿童
295,vile,涉敏,卑鄙的，恶毒的，作侮辱性攻击
303,pro genocide&ruzzians,暴力恐怖,指控他人支持种族灭绝并使用对俄罗斯人的贬义称呼
330,false flag&nukes,涉政,指美国计划在乌克兰进行假旗行动并使用核武器的不实指控
336,🍆&🔥&夫妻制作内容,低俗色情,茄子emoji代表阴茎，火焰emoji代表热辣，夫妻制作内容暗示色情影片
342,killer cop&cazoo teams,违法,对他人进行严重犯罪指控的表述，如杀手警察和组织名
354,claim&reward,违法,声称可领取的虚假奖励，通常用于诈骗
376,bitch&mfs,价值观,骂人的脏话，侮辱性称呼
393,twink&teeth in someone,低俗色情,指代年轻男同性恋者并进行性暗示的词汇组合
433,russian&worst&piece&of&shit,涉敏,对俄罗斯人的极端侮辱性称呼
436,owns&you&prent,价值观,侮辱对方家长的网络欺凌用语
483,these nuts,低俗色情,粗俗的性暗示用语，直译为'这些睾丸'
486,dick,低俗色情,男性生殖器的粗俗称呼
514,bitch&ass,价值观,对某人的侮辱性称呼
516,thighs&make&u&cum,低俗色情,露骨的性暗示用语
528,twink&dick,低俗色情,男同性恋中年轻瘦弱者的阴茎
566,doctored photos&lies,涉敏,指责他人使用修改的照片和撒谎
578,naked&insta,低俗色情,裸体Instagram
583,low&life,价值观,低贱的人，侮辱性称呼
585,bigasshookup,低俗色情,暗示色情内容的Snapchat账号
603,pmv&porn,低俗色情,色情音乐视频与色情内容
634,retarded,涉政,侮辱性词汇，指智力低下，用于攻击政治人物
642,pumps&signals,违法,加密货币拉盘和信号，可能用于市场操纵和欺诈
646,pathetic lives&put an end,暴力恐怖,美化结束他人生命的暴力行为
646,gfy&bi+ch,低俗色情,侮辱性粗口及脏话
661,twat,低俗色情,侮辱性粗话，指代女性生殖器，用于辱骂他人
677,nigga,涉敏,对非裔美国人的侮辱性称呼
689,fuck me&tie my hands,低俗色情,粗鲁的性行为邀请和捆绑控制，含有性暗示和色情意味
693,head&she&gives,低俗色情,口交行为的俚语表达
761,ancestors&smuggled from nigeria,涉敏,暗示尼日利亚裔祖先是被走私的侮辱性言论
770,lean&link,违法,毒品购买链接
781,kafirs & mushrikins,宗教,对非穆斯林和多神教徒的侮辱性称呼
795,nigga,涉敏,对黑人的歧视性称呼
804,fuck you,涉敏,粗俗的辱骂性语言
846,johnny depp&telegram&联系,违法,通过Telegram联系假冒的Johnny Depp进行诈骗
883,slutted&out,低俗色情,侮辱女性为荡妇的用语
912,pound the shit out of you,暴力恐怖,对他人进行暴力威胁
943,赌博游戏平台&在线赌博,违法,推广未经授权的在线赌博游戏平台
964,meth,违法,甲基苯丙胺，一种非法毒品
978,tittays,低俗色情,胸部的俚语
998,slut&her out,低俗色情,贬低女性为荡妇，并暗示性交易
1011,hoes,低俗色情,贬低女性的侮辱性称呼，意为荡妇
1038,nigerians&legit&paprika,涉敏,对尼日利亚人烹饪习惯的刻板印象和贬低，暗示其不具备合法使用辣椒粉的能力
1104,muslim&human rights violations,宗教,将穆斯林与人权侵犯联系起来进行嘲讽
1131,buy one illegally&ss card,违法,非法购买社会安全卡以规避合法身份验证
1145,sick&fvck,低俗色情,你病态的混蛋（you sick fuck）
1192,bitch,价值观,侮辱性称呼，意为'婊子'
1199,scabby,涉敏,用于贬低或侮辱他人的词汇
1209,head empty,价值观,嘲笑他人头脑空空
1209,full of stuffing,价值观,讽刺他人头脑被填充物填满
1211,penis,低俗色情,男性生殖器官
1221,take&him&out,暴力恐怖,暗杀或除掉某人
1235,文爱&语爱,低俗色情,文字性爱和语音性爱的缩写，指代淫秽色情互动
1235,反差婊,价值观,针对女性的侮辱性称呼，暗指外表与内在不一致，带有贬低和歧视
1261,mjolo,低俗色情,性交的俚语
