index,text,status,hate_speech,false_info,violence,harassment,obscenity,illegal,national_security,explanations
0,የሚጠብቀውን ሰራዊት እያዋረደና ለማፍረስ ሌት ተቀን እየሰራ ፤እስላም ተነስ ክርስቲያን ተነስ እያለ ሲቀሰቅስና ሲያባላ ከርሞ ሲያዝ ጋዜጠኛ ነኝ ማለት አይሰራም። አሜሪካ እኮ ከመቶ በ,success,1.0,0.0,1.0,0.0,0.0,0.0,1.0,"{""hate_speech"": ""文本包含煽动宗教仇恨的短语“እስላም ተነስ ክርስቲያን ተነስ”（穆斯林起来，基督徒起来），制造伊斯兰教与基督教之间的对立，违反南非《促进平等法》(PEPUDA)。"", ""violence"": ""文本中的“ተነስ”（起来）鼓动宗教群体暴力动员，可能引发骚乱，违反《网络犯罪法》和《暴乱集会法》。"", ""national_security"": ""文本描述诋毁和瓦解军队的内容（“የሚጠብቀውን ሰራዊት እያዋረደና ለማፍረስ”）威胁国家安全与稳定，可能违反《反恐怖主义法》(POCDATARA)。""}"
1,@USER @USER ላንተ ከሚሞተው ይልቅ ለአብይ ቆሽሻ ከበሻሻ ድጋፍ መስጠት ይበልጥብሃል:: ሆዳም ሰው ዘር የለው: ሐይማኖት የለውም: ወገን የለው,success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
2,አላህ ሆይ አንተ ሰላም ነህ የሰላም ባለቤት ነህና ሀገራችንን ሰላም አድርግልን ልብ የሚነካ ምስል ወለጋ የደም ምድር ?? አላህ ሆይ አጥፊዎችን አጥፋልን,success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
3,@USER ለሙስሊሙ አጀንደ ለምስጠት ትረሮጠለክ ኦነግም ነብሰ በለ ነው ፈኖም ነብሰ በለ ነው,success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
4,በአንድ ቀብር ጉድጓድ ብቻ 112 ሰው (ሙስሊሞች) ተቀብረዋል @USER @USER @USER @USER @USER #ኦሮሚያ_የደም_ምድር,success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
5,አይደናቀፍም ይላሉ፡፡ ከዚያ ማን አወገዘ? ማን ዝም አለ? ማን አለባብሶ አለፈ? ኦዲት እናደርጋለን፡፡ ቢበዛ ለአንድ ሳምንት እንጮሃለን . ከዚያ ሌላ ጭፍጨፋ እስኪመጣ እንጠብቃ,success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
6,የበቃን ምዕራፍ ላልተገደበው የደም ጎርፍ! በጥበበ ግዮን ሆስፒታል የሚሰሩ ሰራተኞች በአማራ ላይ የተፈጸመውን ጭፍጨፋ አውግዘዋል! #AmharaGenocide #PublicProtest,success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
7,እንዴ እነ @USER ይሄ ሁሉ አማራ ሲጨፈጨፍ የት ጠፉ ቀለብ ቆራጮቻቸው ደስ እንዲላቸው ስንት አማራ ይሙትላቸው ነገ ደሞ መጥቶ ጁንታ ዙጲ እያለ ልቅ ካድሬ አፉን ይከፍታል ስንቱን ሳናቀው ከሰው ቆጠረንው,success,1.0,0.0,1.0,0.0,0.0,0.0,0.0,"{""hate_speech"": ""文本针对阿姆哈拉族裔使用侮辱性语言并表达死亡愿望，构成严重的种族仇恨言论，违反南非《促进平等法》(PEPUDA)。"", ""violence"": ""文本煽动对阿姆哈拉人的屠杀和死亡（'ስንት አማራ ይሙትላቸው'），构成暴力煽动，违反南非《网络犯罪法》及《暴乱集会法》。""}"
8,@USER አንተ ጥንብ አንሳ የሽመልስ አብዲሳ የሽንት ጨርቅ አንተማ ፈፅሞ አማራ አይደለህም ።1500 ኦሮሞ ተገሎ ቢሆን በአናትህ ነበር የሚተክሉህ።ሽንታም ቆሻሻ!!!,success,1.0,0.0,1.0,1.0,0.0,0.0,0.0,"{""hate_speech"": ""文本使用'አማራ አይደለህም'（你不是阿姆哈拉人）等民族侮辱性言辞，煽动对阿姆哈拉人的仇恨，违反南非《促进平等法》(PEPUDA)。"", ""violence"": ""提及'1500 ኦሮሞ ተገሎ'（1500个奥罗莫人被屠杀），美化暴力并可能煽动民族冲突，违反《网络犯罪法》和《暴乱集会法》。"", ""harassment"": ""通过@USER直接对目标进行人身攻击，使用'ሽንት ጨርቅ'（尿布）和'ሽንታም ቆሻሻ'（尿和垃圾）等侮辱性语言，构成网络欺凌，违反《防治骚扰法》。""}"
9,@USER አሸባሪው ማን ይባላል ?? Jesus Christ እንደ PP ዘንድሮ የተጨመላለቀብን የለም።,success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
