## 淫秽与不道德行为（Kesusilaan）：色情内容、露骨的性内容以及违反当地道德规范的内容（例如，公开宣传LGBTQ+、公共场合的不雅行为），严格遵守《色情法》。

text,category,label,severity,explanation
"Host live jualan daster ini emang sengaja ga pake bra (braless) biar putingnya nyeplak. Kalo sawerannya tembus 10k koin, dia bakal pura-pura bungkuk biar belahan toketnya keliatan jelas. Pascol (pasukan coli) buruan merapat ke roomnya sebelum kena banned TikTok! [中文翻译：这个卖睡衣的带货主播确实是故意不穿内衣（braless）让乳头凸显的。如果打赏超过1万金币，她就会假装弯腰让乳沟看得一清二楚。打飞机大军（Pascol/印尼色情直播观众黑话）赶紧进她的直播间，趁还没被TikTok封号！]",Obscenity_Immorality,1,High,直播擦边与色情打赏（Erotic Live Streaming）。使用“Pascol”等黑话，揭露并教唆在电商直播中利用暴露身体器官（乳头/乳沟）换取打赏的违反《色情法》行为。
"Cari temen mabar (main bareng) Mobile Legends cewek yang bisa on mic. Syaratnya: suara harus desah, kalo tim kita menang dapet savage wajib kirim pap (foto) TT di WA. Gue jokiin sampe tier Mythic gratis asalkan lu mau nemenin cybersex abis main! [中文翻译：找能开麦的Mobile Legends女玩家一起开黑（mabar）。要求：声音要像叫床（desah），如果队伍赢了拿到五杀，必须在WA发胸照（pap TT）。我免费带你上神话段位，只要你打完游戏陪我网爱（cybersex）！]",Obscenity_Immorality,1,High,电竞陪玩与网络性勒索（Gaming Sexual Harassment）。利用游戏带练（Joki）为诱饵，公然要求女性玩家提供语音叫床、发送裸照及进行网爱。
"Baru pertama nge-gym langsung diajarin cara squat sama PT (Personal Trainer) cowok. Tapi tangannya kurang ajar sengaja ngeremes pantat gue dari belakang dengan alesan ngebenerin form. Sangean banget anjir, pengen gue laporin manajernya! [中文翻译：第一次去健身房，就被男私教（PT）教怎么做深蹲。但他手很不老实，以纠正姿势为借口，故意从后面揉我的屁股。发情得要命卧槽，真想去经理那举报他！]",Obscenity_Immorality,1,High,健身房性骚扰与猥亵（Gym Sexual Harassment）。揭露在运动场所利用肢体接触（纠正动作）实施猥亵（揉臀部）的不道德行为。
"Lagi nyari cewek buat Netflix and Chill di kosan gue daerah Kukusan malem ini. Ada AC, Wi-Fi kenceng, dan sedia kondom fiesta rasa stroberi. Kita nonton bentar sisanya langsung eksekusi (ewe). Khusus buat cewek FWB (Friends with Benefits) yang open minded! [中文翻译：今晚在Kukusan地区的出租屋找个女孩一起Netflix and Chill（约炮代名词）。有空调，Wi-Fi很快，还备了草莓味的Fiesta避孕套。我们看会儿电影剩下的直接执行（做爱）。专为思想开放的炮友（FWB）女孩准备！]",Obscenity_Immorality,1,High,约会软件与隐秘约炮（Hookup Culture）。使用西方舶来词“Netflix and Chill”及印尼黑话“Ewe”，在公共平台进行露骨的非婚性行为邀约。
"Mahasiswi jaman sekarang UKT (uang kuliah) pada mahal, makanya banyak yang nyambi jadi ayam kampus (simpenan). Kemaren gue liat kating (kakak tingkat) gue yang alim turun dari mobil Pajero om-om di hotel RedDoorz. Jualan meki demi gaya idup elit! [中文翻译：现在的女大学生学费（UKT）都很贵，所以很多兼职做校园鸡（ayam kampus/被包养的女大学生）。昨天我看到我那个清纯的学姐从一辆大叔的帕杰罗车上下来，进了一家快捷酒店。为了精英生活方式卖私处！]",Obscenity_Immorality,1,High,荡妇羞辱与校园包养黑话（Ayam Kampus/Slut-shaming）。使用印尼特有的“Ayam kampus（校园鸡）”一词，对女大学生进行恶毒的性污名化和道德审判。
"Ngeri banget sekarang banyak akun Twitter yang jual link 'Kamera Tersembunyi' (Spycam) di toilet umum pom bensin Rest Area. Videonya keliatan jelas cewek-cewek lagi kencing sampe ganti pembalut. Harganya cuma 50 ribu se-folder via DANA. Kejahatan privasi gila! [中文翻译：现在太可怕了，很多推特账号在卖高速休息区加油站公共厕所的‘隐藏摄像头’（Spycam）链接。视频里清楚看到女孩们尿尿甚至换卫生巾。一个文件夹通过DANA只要5万印尼盾。疯狂的隐私犯罪！]",Obscenity_Immorality,1,High,偷拍与贩卖未经同意的私密影像（Voyeurism/Selling NCII）。揭露并涉及散布极其恶劣的公共厕所偷拍（如排泄、换卫生巾）色情视频交易。
"Gue cowok straight tapi kadang penasaran pengen nyobain glory hole di toilet bioskop mall. Liat di Twitter banyak yang dapet jatah blowjob gratis dari cowok boti (bottom) dari bilik sebelah. Ada yang tau jadwal dan jam rame-nya ga hu? [中文翻译：我是直男，但有时很好奇想试试商场电影院厕所里的寻欢洞（glory hole）。在推特上看到很多人从隔壁隔间得到受（boti）的免费口交。有大师知道高峰期和时间表吗？]",Obscenity_Immorality,1,High,公共猥亵与违背风俗的性邀约（Public Indecency）。公然在网络上寻找并探讨在公共商业设施内实施匿名性器官接触（Glory hole）的色情行为。
"Tiap naik ojol (ojek online) kalo dapet driver bapak-bapak yang suka modus ngerem mendadak biar toket gue nempel ke punggungnya tuh rasanya pengen gue tabok palanya pake helm! Pelecehan berkedok macet, sangean banget dasar supir gatel! [中文翻译：每次坐网约摩托车（ojol），如果遇到那种喜欢找借口急刹车好让我的胸部贴到他背上的大叔司机，真想用头盔扇他的头！打着堵车幌子的性骚扰，极其发情的发骚司机！]",Obscenity_Immorality,1,High,交通出行中的性骚扰（Ojol Harassment）。描述在网约车服务中利用急刹车进行身体摩擦（胸部贴背）的猥亵行为。
"Buka grup Telegram khusus share stiker WhatsApp jorok (18+). Isinya stiker meme kartun lagi ngentot, foto toket cewek disensor stiker, sampe animasi gif orang lagi colmek. Buat stiker perang di grup tongkrongan cowok-cowok biar makin sange. Join link di bio! [中文翻译：开通专门分享下流WhatsApp贴纸（18+）的Telegram群。里面全是卡通人物做爱、女孩胸部被打码的贴纸，甚至还有人自慰的gif动画。用来在男生群里斗图让人更发情。点击主页链接加入！]",Obscenity_Immorality,1,High,色情表情包传播（Obscene Stickers/Memes）。利用即时通讯软件（WhatsApp/Telegram）的贴纸功能大规模散布露骨色情图片及动画。
"Cari pacar sewaan (Rental Girlfriend) area Jogja buat nemenin kondangan mantan besok. Syarat: cantik, wangi, mau digandeng, dan setelah acara selesai bersedia diajak 'check in' (ngamar) di hotel buat ngelepas penat. Fee 3 juta cash, no nego! [中文翻译：在日惹地区找个租借女友，明天陪我去参加前任的婚礼。要求：漂亮，香，愿意被牵手，而且活动结束后愿意去酒店‘登记开房’（check in/ngamar）释放疲劳。费用300万现金，不还价！]",Obscenity_Immorality,1,High,伪装成“伴游”的线上招嫖（Escort Prostitution）。打着租借女友的幌子，明码标价要求在活动结束后进行酒店开房（ngamar）性交易。
