source_index,word,category,meaning
5,chupar&buceta,低俗色情,舔阴部（淫秽性骚扰用语）
11,fufas,涉敏,对男同性恋的侮辱性称呼
15,लड़की सोते हुए अपने बॉयफ्रेंड का लिया लुंड & xv.musz.info,低俗色情,女孩睡觉时拿男朋友的阴茎和色情网站链接
26,ferro no povo,暴力恐怖,铁腕对待人民，煽动暴力
31,nasceu homem&acha que pra se mulher basta colocar uma saia,涉敏,对跨性别女性的侮辱性描述，暗示她们不是真正的女性
34,fude&putinha,低俗色情,操婊子
35,racista&negro,涉敏,种族主义的黑人（贬义称呼）
36,mulambos,涉敏,对黑人或混血儿的侮辱性称呼
38,povo&maldito,涉敏,该死的民众，用于攻击特定群体的侮辱性词汇
47,toma no cu&veio diabento,低俗色情,粗俗的性侮辱和人身攻击，意为'去你妈的，老恶魔'
48,puto&retrasado,价值观,该死的弱智
59,cotovelada&nas&costas,暴力恐怖,用肘击打背部
60,cheirador de cocaina,违法,可卡因吸食者，侮辱性称呼
60,levar pica&tomanocu,低俗色情,承受阴茎和脏话，粗俗性侮辱
61,islão&leis dos países não contam&muçulmanos&respeitam por conveniencia,宗教,贬低伊斯兰教和穆斯林，声称穆斯林不尊重世俗法律
62,lixo&sem&fontes,价值观,没有来源的垃圾（侮辱性词汇）
65,sapatão,涉敏,对女同性恋者的侮辱性称呼
66,rata&gosto natural,低俗色情,用老鼠比喻女性生殖器，暗示性行为的粗俗说法
73,pédiboi,违法,蠢货，用于侮辱他人智力
80,pedófilo&pila&dente de leite,低俗色情,恋童癖者的阴茎上的乳牙
81,abortistas&agulha de crochê,价值观,堕胎支持者与钩针（暗示暴力工具）
91,pau no cu,低俗色情,肛门性交的粗俗咒骂
95,filha&da&puta,涉敏,婊子养的（侮辱性称呼）
100,cota pra nós&inteligentes,涉敏,讽刺种族配额，暗示种族优越性
115,meu saco & cara de rato,低俗色情,用性器官和贬低外貌的词汇侮辱他人
129,nazi,涉敏,纳粹，指代极端种族主义意识形态
136,mulher&administrar país&creche,涉敏,女人没有能力治理国家，最多管托儿所
137,leis&sem&legitimidade,涉政,指责法律没有合法性，由无正当权力的人制定
140,viado&sapatão,涉敏,对男同性恋和女同性恋的贬义称呼
143,cancer&da wiki,价值观,维基百科的癌症，用于侮辱性比喻
149,canalha&covarde,涉敏,无赖和懦夫，用于侮辱他人
155,direita xucra&babaca,价值观,对政治立场不同者的侮辱性称呼，意为“右翼乡巴佬”和“混蛋”。
160,nego,涉敏,针对黑人的侮辱性称呼
164,nazismo,涉敏,纳粹主义，传播种族仇恨思想
164,chupa o meu pau,低俗色情,吸我的阴茎，粗俗性语言
168,feia&gorda&burra,价值观,丑、胖、笨，用于贬低他人外貌和智力的侮辱性词组
178,imbecil&burrice&mande para o lixo,价值观,针对个人的侮辱性词汇和贬低指令
179,destruir&tudo&que&você&ama,暴力恐怖,表达暴力破坏的威胁
188,puta,低俗色情,对女性的侮辱性称呼，意为婊子、妓女
192,trans&carrinho de mão,涉敏,将跨性别者与搬运工混为一谈的侮辱性玩笑
197,marola&mandadão,违法,大麻和黑帮头目，暗示毒品交易和非法组织活动
199,kkk,涉敏,三K党，美国种族主义组织，在巴西语境下宣扬种族仇恨
200,morte&aos&estupradores,暴力恐怖,呼吁处决强奸犯
202,anti semita&sangue judeu,宗教,反犹太主义和犹太血统，用于攻击犹太裔人士
202,mentira&terrorista,涉敏,谎言和恐怖分子，用于诽谤政治人物
206,zumbi,涉敏,对黑人的种族侮辱性称呼，意为'僵尸'或'猴子'等
210,gays&não merecem direitos&cura,涉敏,针对同性恋者的仇恨言论，主张剥夺权利并强制转化治疗
223,dios&impotente,宗教,对上帝的亵渎性侮辱，称上帝阳痿
223,ombre&biejo&impotente,价值观,侮辱老人阳痿，违背尊重长者的价值观
225,foder&em&pezinho,低俗色情,性交姿势描述
226,feia&gorda,价值观,丑和胖，对外貌的侮辱性评价
227,lapizada,暴力恐怖,殴打，揍一顿
234,clonarem&telefone&gilmar mendes,涉政,克隆吉尔马尔·门德斯的电话，暗示通过非法手段攻击最高法院法官
239,parece&puta,低俗色情,看起来像个妓女
245,stf&vergonhanacional,涉政,将巴西最高联邦法院（STF）称为国家耻辱的攻击性标签
255,desempregado&30 anos&dançando pop,价值观,嘲讽失业、年龄大和跳流行舞的行为
258,vive de dinheiro público,涉政,靠公共资金生活，暗示他人腐败
261,gays&cuidado,涉敏,针对同性恋的歧视性询问和警告
272,vai se fuder,低俗色情,葡萄牙语脏话，意为'去死吧'
277,filho&da&puta,价值观,婊子养的
287,pulando&na&pica&de&outro,低俗色情,描述女性在另一个男性生殖器上跳动的性行为
288,garota&doente&da&porra,价值观,侮辱女性的粗话，意为'该死的女孩'
291,ameaças&legais,违法,法律威胁
295,sapatao,涉敏,对女同性恋的贬义称呼
307,islã&barbárie&estúpido,宗教,对伊斯兰教的侮辱性攻击
318,sapatao,涉敏,对女同性恋的贬称
318,triturar&ximbiquinha,暴力恐怖,碾碎女性生殖器，暴力威胁
320,caldo&pinto,低俗色情,鸡腿汤（暗指男性生殖器）
327,fufas,涉敏,对女同性恋的贬义称呼
344,vá à merda&seu bostinha,价值观,去死吧，你这小垃圾
346,nego&aloprando,涉敏,对黑人的侮辱性称呼和负面描述，意为'黑人发疯'
354,furou&o&cu&no&prego,低俗色情,用钉子捅了屁股（粗俗侮辱）
381,putas&chonis,低俗色情,对女性的侮辱性称呼，意为‘婊子’
387,anão,涉敏,对矮个子或侏儒的侮辱性称呼
397,stf&desmoralizado,涉政,诋毁联邦最高法院
400,stf&vergonha&nacional,涉政,对巴西最高法院的侮辱性称呼，意为 '最高法院国家耻辱'
401,taco de sinuca&no cu,暴力恐怖,用台球杆插入肛门
401,fdp,低俗色情,混蛋（字面意思：婊子之子）
416,bota&remédio&na&bebida,暴力恐怖,在饮料中下药，煽动犯罪
426,rubro&negra,暴力恐怖,红黑帮，一个巴西帮派名称
433,oportunista&pilantra,违法,机会主义骗子
437,vai se fuder&rapa,价值观,去你妈的，小子（侮辱性言语）
441,comedor&de&traveco,涉敏,对跨性别女性的侮辱性称呼，意为'吃变性婊的人'
443,mariquice nojenta&presa fácil do islão,宗教,恶心的娘娘腔表演；容易成为伊斯兰的猎物
447,puta,低俗色情,妓女（用于辱骂的肮脏词语）
449,morre&desgraca,暴力恐怖,诅咒死亡或去死
452,esfregando&a&barriga&no&pau,低俗色情,用肚子摩擦阴茎
477,pedofilia,未成年,恋童癖（对儿童的性虐待行为）
482,feia&mal jeitosa,价值观,丑陋、笨拙（用于侮辱他人）
487,massacre&serra elétrica,暴力恐怖,电锯大屠杀，煽动使用电锯进行大规模杀戮的暴力行为
495,cu&assassino,低俗色情,杀手屁股，粗俗的侮辱性称呼
505,hijo de puta&bolsonaro,涉政,对博索纳罗的侮辱性称呼
506,muçulmanos&morrer,宗教,穆斯林死亡诅咒
511,macaco&astronauta,涉敏,宇航员猴子，用于指代黑人的侮辱性种族歧视黑话
517,feministas&macho mal acabados,涉政,将女权主义者辱骂为未完工的男人
529,mongolo,涉敏,用来侮辱他人智力低下的黑话，相当于'白痴'
540,leve-o&pro&puteiro,低俗色情,带他去妓院（侮辱性言语）
542,casal de sapatão burras,涉敏,愚蠢的女同性恋情侣
547,vai tomar no cu,低俗色情,去死/去你妈的（粗俗侮辱）
553,otário&verme,价值观,傻瓜和蠕虫（侮辱性称呼）
555,comendo&cu,低俗色情,吃屁眼，粗俗的性侮辱
566,vagabunda,价值观,对女性的侮辱性称呼，意为贱货
574,viadinho&pau no cu,涉敏,对同性恋的侮辱性称呼和粗俗骂人的脏话
576,notícia falsa&xi não falou com trump,涉政,关于中国领导人的虚假新闻
577,jogar&verde,违法,提供或使用大麻
578,gorda&feia,价值观,对肥胖者外貌的侮辱
578,teu cu,低俗色情,粗俗的屁股骂人用语
581,bibasexuais&creminhosexuais&saladinhasexuais&metrosexufrangas,价值观,对LGBTQ+群体的贬低性称呼
585,burra&pode morrer,价值观,对女性的贬低和死亡威胁
589,idiota&burra&pra&caralho,价值观,愚蠢、蠢得要命的侮辱性表达
601,burra,价值观,对女性的侮辱性称呼，意为'蠢女人'
612,fdp&porrada,暴力恐怖,骂人话加斗殴，煽动暴力
616,vagabundo,价值观,懒鬼，用于贬低他人不工作，构成人格侮辱
618,puta,低俗色情,对女性的侮辱性称呼，意为婊子
643,fachas,涉政,法西斯分子（政治侮辱）
643,tontito,价值观,小笨蛋（智力侮辱）
646,jihyo&feia&gorda,价值观,对Jihyo的外貌进行侮辱，说她丑和胖
648,buceta,低俗色情,女性生殖器的粗俗称呼
657,velho&burro&do&caralho,低俗色情,老蠢驴（含粗口加强语气）
668,caçar&cagar&a&pau,暴力恐怖,狠狠地打、痛打
673,viado&bosta,涉敏,对同性恋的侮辱性称呼和脏话
678,tá&feio,价值观,你真丑（人身攻击用语）
680,vagabundo&babaca,涉敏,流浪汉和混蛋，用于侮辱他人
691,ter útero&gambiarra,涉敏,对跨性别女性的侮辱性说法，暗示她们不是真正的女人
693,estupido&ignorancia,价值观,愚蠢的无知，用于人身攻击的侮辱性词语
696,gaymista,涉敏,对同性恋者的侮辱性称呼
700,bitch,低俗色情,侮辱性词汇，意为'婊子'
706,spic,涉敏,对拉丁裔的种族侮辱词
714,frangas&tomar no oi,低俗色情,对女性的侮辱性性骚扰用语
715,mulher&é&lixo,价值观,女人是垃圾，对女性的侮辱性标签
715,vai&tomar&no&cu,低俗色情,去你妈的，涉性脏话
719,vagabunda,价值观,对女性的侮辱性称呼，意为'贱人/荡妇'
722,vaca&muçulmana,涉敏,对穆斯林女性的侮辱性称呼（母牛）
723,surra&de&pau&mole,暴力恐怖,一顿软鞭子，指暴力殴打
723,aprender&a&ser&gente,涉敏,学着做人，具有侮辱性，暗示对方不是人
730,rolas&virgens,低俗色情,处男阴茎
731,feio,价值观,丑人，用于贬低外貌
737,pica&grossa,低俗色情,粗阴茎
740,tesão&da&porra&trepar,低俗色情,强烈的性欲和性交意图的粗俗表达
747,sapatao,涉敏,对女同性恋的侮辱性称呼
748,cafagestes,涉敏,对吉普赛人/游民的侮辱性称呼
754,deja de joder,违法,停止打扰（粗俗说法）
756,maníaco-obsessivo,涉敏,偏执狂，用于侮辱他人
760,du schwein&seu porco,价值观,你这猪（德语和葡萄牙语中的侮辱性称呼）
773,islão&bomba,涉敏,将伊斯兰教与炸弹联系起来，暗示宗教与恐怖主义的关联
778,tarado&mental,涉政,精神错乱的人（白痴）
795,te amo cu,低俗色情,我爱你，屁眼（粗俗的性暗示用语）
803,raça&fdp,涉敏,该死的种族（侮辱性种族称呼）
805,matar&filho da puta,暴力恐怖,杀死那个婊子养的
813,mexer&na&composição&do&stf,涉政,改变最高法院组成
835,idiota,价值观,白痴，侮辱性称呼
836,te deixo careca,暴力恐怖,让你变秃头，一种威胁性表述
848,judeus fundamentalistas,涉敏,原教旨主义犹太人，对犹太人的侮辱性标签
851,sapatao,涉敏,对男同性恋的侮辱性称呼
853,sapatao,涉敏,对女同性恋的贬称
854,filhos&da&puta,低俗色情,脏话，意为'婊子养的'，用于侮辱他人
856,cariocas&pratica a violencia&banho de sol,涉敏,针对里约热内卢人的歧视性描述，指其只知道暴力和晒太阳
863,deitar&na&porrada,暴力恐怖,殴打、打倒
863,filha&da&puta,低俗色情,婊子养的（侮辱性称呼）
873,gorda&da&bruna,价值观,针对体型的侮辱性称呼
