tweet	label
ifile injakazi #uzalo	Hate
yeyii asisafequzi kanje isidudla. 😂😂😂 ##url	Hate
@username isitabane intoyodwa dlalelan le nodwa ngcono beni le nodwa cela ingwenya eyodwa #ilife ##url	Hate
@username umnyamana uyinqoloba impela engabhala izincwadi ezinohlonze ngyamvuma mina i memory yakhe ngyafisa kubanjengaye nami ukhulile kodwa wazi izinto zakudalo #ezangempelasonto @username 	Hate
@username mandithi bhuti nakuni mos?  madiba isifombo singandiphika!! angeze	Hate
ekhaya kwangoni le kwamaphumulo calling someone gay/isitabane is a insult to u as a man, so it depends where u from upbringing and imvelaphi	Hate
isitabane syadabukisa bafwethu geotologist uzohleka ###url #kingsomnala	Hate
woza lana hawu!! kusho isidudla sisho kimi😋☺ ##url	Hate
when my friends call my bf ikwerekwere -___- ngimthanda enjalo kodwa	Hate
"""isishwapa ingathi yinja egwencela ucango"""	Hate
into engangixabanisa negoli wonke umuntu isitabane la	Hate
angikhulumi nawe nkawana nxa ##url	Hate
"isitabane ugogo wakho :""""""d #ekasistories"	Hate
asinuki asinuki isidudla ekseni ##url	Hate
sifikile isidudla ethekwini 🙌🏾🙌🏾🙌🏾❤️🔥 @ holiday inn umhlanga ##url	Hate
@username iqiniso elimsulwa, wena lwazmero we haven’t taken you to the joint that sells ikwerekwere when you’re around?	Hate
"uthi ""ikula lishaye umuntu ngezembe""😂😂😅 ##url"	Hate
home time... thina esingasebenzi ikula ke lol	Hate
i don’t trust girls with isishwapa . zigqitywa yontoni impundu 🤔🤔	Hate
@username mna mntase andizoxoka, andingomntu wezidudla kodwa ke ngalendlela esindiphende ngayo isomiso ndingazibambela isidudla sam gqiba ndizinciphisele sona nge gym and road running. vele into yakho uyazilungisela	Hate
yhoo isifombo esingaka lizbeth 😶😳. hayi nikezela kumdali ngoku, umdala nhonho ##url	Hate
isibhanxa umqundu wekwerekwere lo😒 ##url	Hate
yini nkosi yam uthi usasithanda isidudla sakho asuke athi ugqirha 😷 hlukana nezinto ezinamafutha😂😂	Hate
"my cousin is talking about isishwapa sakhe... uthi ""yhuuuuu ndingangathi ndiyinja egwencele ecangweni uba ndinganxiba ijumpsuit""😭😅😂🤣🤣😂😅😂😂🤣🤣😂😂😂! i cried🤣🤣🤣🤣!"	Hate
@username isidudla esine dread, mark henry phela loyo	Hate
hawu 😟liphi ikwerekwere lakho  ##url	Hate
muhle umnyamana wami. ❤️	Hate
@username isidudla sangempela siphethe isilenda sase msinga sisonke bafwethu ayishe inamba  @username #chillaz  #nasezichakeni ukhona emtubatuba ophaphasi	Hate
"nangu u lerato la esbedlela🏥 usaba ukuya kubo🏠"" uzale🍼👶 ikula"""	Hate
imihlola! kwi @username bakhuluma nge pregnancy &amp; contraceptives. naso ke isitabane sifakaza naso, sebeyamitha yini o double adaptor?	Hate
@username injakazi etyebe njee ngokulingeneyo 🙆‍♂️🙆‍♂️🙆‍♂️🙆‍♂️, ayizali iyahluhluza. ude ufumanisba namabele awasabuyeli emva, ahlala ejinga.	Hate
umnyamana lol hala @username #esingakwazingawe	Hate
lmao kukho imofi eziqhelela mna etinarha guys and ayiqali uyenza lento	Hate
niyabona kunjan ukuba isidudla? qhubekani nilalele lothicklee wenu ##url	Hate
@username mabohlukane negamalika madiba mabaqale balungise ikhayelitsha ekapa,basazimisele ukusebenzisa inkawu emva kokubandlulula abamnyam	Hate
"""akamuhle, ukuthi nje umhlophe.""  kusho umnyamana ephethwe umona. 🙄"	Hate
"hahaha: ""@username : lmao isitabane esine mpandla#uyafosta"""	Hate
wow! kuzofuneke nditrwitshe ilawu. 🙆🏾‍♂️😰 ##url	Hate
#isidlosasekuseni @username kodwa akuve ingiqeda le clip lakhona uncebz ethi usaba kabi ukubiza igama isitabane 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣ngichazwa impendulo vele ngiphele👌👌👌👌👌	Hate
@username mina ngiphuza inkawu? 😒 ##url	Hate
"""@username : kahle nkawana!!! #nkafezile #isibaya #isibayamzansi"" lol kunjalo nje mtakababa!"	Hate
thought as much. he was called isitabane kwakhala impama😩😩😩	Hate
isishwapa akusona esokuphithizela etown 🖐🏼 thenga ubuyele kini ngokushesha 😁	Hate
@username isishwapha🥺🥺ngathi inja ikotela i dustbin mtase	Hate
@username zacima sthandwa, isifombo sisifombo nakwi 10 years ezayo malonqo	Hate
"ndoda kwavhenda nje ""@username : ngeke ngilikhethe ikula mina angabe kuyadlalwa"""	Hate
@username lemofi isela savanna ngoku?sies	Hate
inja - injakazi	Hate
inja (oweslisa) injakazi (owesfazane) ziyahambisana lezizinto izinja zonke	Hate
injakazi yebele. i would die njengoba ngixakwa ilo dd wami nje #singleandmingle	Hate
🙏mayibanjwe injakazi engenambheko izodibana nontaga bayo pha etrongweni. ##url	Hate
@username injakazi yomama 😫	Hate
nasi isitabane sexhosa sizodakelwa umongameli wezwe #ayandamabulu	Hate
"# ""@username : ::: @username nxi umubi ngoba udliwa ikwerekwere."" ##url"	Hate
@username khohlwa inkawu niyeke ukusiyuza😹	Hate
@username uthi utamnci minus 2 yenkomo ke for isishwapa	Hate
kuzomele sixoshe isitabane k bbm lol	Hate
#thandaza isifebe njengobrook nokarabo	Hate
@username 😂😂. isidudla esidudleni i slender kwesinye plz	Hate
@username utsho uba into ikula kiss madolo? 🤣🤣🤣🤣🤣	Hate
aweee ma isidudla sendoda asibukeki nje ngempela	Hate
ngingasifihla njani isidudla esingangawe😂😂😂😂 #thequeenmzansi ##url	Hate
@username hayi wethu yitya inkawu le	Hate
"kunjena ke ukusebenzela ikula lokhu ishaye ngo 10 kithi""@username : ishayiiiile"""	Hate
lide latola ilawu. wena wonke mkhuluwa ubhale nge atm? ##url	Hate
@username isidudla sona sihluka ngani? ##url	Hate
ng'cela uyeke ukuba ikula before it's too late, please ##url	Hate
xa ndingathethi nawe,minca isishwapa sakho udlule kwi post yam	Hate
@username so nyana xa kudlula ilawu or umlungu awuyifihli?	Hate
konje nithe isidudla sikusinda ngisho usicabanga 😂😂😂😂	Hate
@username nalo ilawu kwakudala liyenza lento yalo ##url	Hate
@username sifuna ukubona sona isishwapa	Hate
ndikhule kusithiwa ndiliqheya, nkawu nkawana whitey, pape qheya. abanye babesithi umama makathethi nyani. maxhosa masiyeku calulana sodwa ##url	Hate
@username lol,kushushu likhupha isitabane kwi closet fondin	Hate
isifombo yintoni nge english kanene? ##url	Hate
@username awsatsho ukuba lide latola ilawu 🤣🤣🤣 ##url	Hate
@username eyy bhuti, akuselona ngisho indiya lelo.. ikula nje lelo. hau, ngo sunday pho? uphele golokoqo u12 hours 😕	Hate
ayibo isitabane sesangoma!!!	Hate
akayodiva unomnyamazana #disembashopping ##url	Hate
@username liyeke ikwerekwere leli ukuthi lithole uone way ticket wokuya ngale seliyanya... nx	Hate
@username isifebe e sidakwayo ##url	Hate
umjitha ongayikhothi intombi yakhe inkomo isitabane leso. finish n klaar ✋	Hate
isidudla esingana gqondo.	Hate
unikwe isidudla sethuba, ungasimoshi wembhemu	Hate
skhumba inja 😂😂😂 #roastofsomizi	Hate
isidudla esineconfidence..... #smh	Hate
@username isitabane nguwe because nothing was said about you. unyiswa yisazela	Hate
baqhatha ilawu labantu ##url	Hate
just been called isidudla esihle, esifanelekayo. one of those weird compliments that have you chocking a smile while dealing with the shade.	Hate
"""ndaze ndasizeka isifebe, ndasilobola"" lol"	Hate
@username ngikhumbula kahle ngithi isidudla ntoni ntoni... kwaphela amaviki isidudla was cuddling with babes. ngakho andizi	Hate
@username uyakuqhatha isifombo athi masinyuke intaba kuba sizakubuya siright	Hate
"ukhona omthandayo: ""@username : kudlaliwe ngathi @username : hahaha: ""@username : lmao isitabane esine mpandla#uyafosta"""""	Hate
isitabane asifuni ukubizwa ngesitabane	Hate
💃🏼💃🏼💃🏼💃🏼💃🏼 ifile injakazi yezi njakazi ##url	Hate
@username isifebe kuphela esibona ukuthi kwamukelekile ukuthi umuntu wesifazane athandane namadoda amaningi ngesikhathi esisodwa worse ke aze ashade nawo.	Hate
@username azidalwanga nyani xem mna kukho enndimaziyo apha ekapa wayeyiyo imofi ngk ubuyile uyndoda futhi@username khayelitsha	Hate
yho siyatsha isidudla 😭😭😭	Hate
amanye amadoda a useless njenge pipi lestabane	Hate
@username 🤣🤣🤣🤣 but why ikula lenkosi.	Hate
"ndim inkawu futhi? ""@username : @username mxm lol yaphapha wena nkawu!!"""	Hate
💀 lo sis okhulumayo ngiyazi ukuthi isidudla... ##url	Hate
@username #kuthiwa make wawadla ikula liyokudonsa ngekhala uyolithithizela mina bru nop angiwalokothi	Hate
@username hahaha mabhuma u used to do that nawusakhula, uboleke umuntu ilawu lakho 😂🤣🤣🤣	Hate
""" ndiza kukrwitsha ilawu "" ... theth ukuthini ?"	Hate
isimukanandwendwe, unonkiloyi, iseqamgwaqo, isifebe. 😱	Hate
