text,toxic
هذوك الحمير يسبو ربي يقطع لسانهم,1
خبر موت شخص من حركة امل و اشخاص مردة و أشخاص ما الن علاقة بس بيكرهو جبران باسيل بعد كلام السيد نصرالله يكسر الص…,0
@User.IDX إلى قناة الخنزيرة مع عدم احترامي ،، وخصوصاً تامر المسحال هذه مادة دسمة ياليت تسوي عنها عنها حلقة او تحقيق صحفي بسيط او تعليق 👇🏼👇🏼 <url> ,1
يا معاليك  يا استاذ يا بش مهندس يا مواطن يا حضرة المسؤول!! لأيمتى السكوت.. اذا خايفين يبطلوا يستوردو من عنا انا بغطي النقص بميزان التجارة!! بس احكو كلمة عالقليلة!! ,0
رئيس مجلس النواب واسطته قوية و…,0
ههههههأنتم تونس نتفرج رخسكم وطحينكم ومتعجبين,0
 بص يا سهيله يا بنتي هوا انا مش فاهم حاجه بس انا موافق موافق 😂😂 ,0
@User.IDX حيوان زي بقية صنفه.. الله غالب ,1
 ولا يهمك. انت محترفة وراقية ومهذبة. جايي الأيام.,0
لطفي بارك تلقى النوع بهدلهم ارواح للدزاير كثرو دين ربي,0
تونس روحت روحت باي باي الجزائر,0
"  يعني عم تمدحي إعلام لوتثبتي التهمة على العهد
مش حلو هيدا الأسلوب كل الناس بتعرف انو ال… ://./",0
 يحماره يا ثوره يا بقره على زق مسويه نفسك تفهمين اقري التغريده زين وشوفي عن ايش تكلمت انا اقصد اللقطه اللي خلف الكواليس مو المسلسل ناقصة عقل,1
 تأكدي انك وجعتيهون وهني عم يحاولو يضربو رموز بالحراك ويبلشو التشكيك.الله يحميكي يا حرة ولكنهم عبيد ما بيعرفو الحرية,0
 وانت مال اهلك يا سمج يا للى بتتخن على السب وقلة والادب ما تخليك فى حالك دا لما الواحد يحب يشتمك يقولك يا مشجع نادى البوابييييييين المختلط قلالات الادب ياللى كبيركم مرتضى وده كفاية عليك,1
فكرة جدتي جزائرية مولودة القبايل جات استقرت باباها اخواتها تونس جزااري اخطاك,0
 عنجد صايرة تافهة و انفضحت عالتقيل كيف منحازة,1
يا ربي علي نقائك يا تريكة!<>تريكة مكانه في الصفوف الأولي مع أساطير أفريقيا ولكن للأسف مطرود من بلده ورغم دا كله شوفوا بيقول إيه!..<>تريكة يا عظيم ♥️. ,0
 يا ريتك حكيتي شي صادق بحياتك يا اعلامية,0
يعجبني ابو نظارات معطيهم وضعية صنم وثني ولكن في الاخير موها انشهر من مقفا اخته نجود وانتهى... الله يعينهم بشخلهم التمساح... ,1
@User.IDX إن نصارى مصر اليوم هم رأس الحربة في المشروع الصليبي ضد الإسلام وأهله، وهم ليسوا بأهل ذمة ولا أهل عهد <url> دفاع النصر 151 #النصر_الاتحاد🚁 -4-h ,1
صحيح ثبت معلومه استغنات جنسيه تونسيه نحتها معندهاش جواز سفر تونسي قانون تونسي يسمح جنسيتين تقدر تستغنى جنسيه بحكم قضائي موجوده بلد عالم نحات جنسيه تونسيه,0
خلاص يا سيتي يا حبيبي بقى متعيطش ,0
العلاقة القائمة بيننا وبين رئيس الجمهورية لم تتزعزع مطلقاً مبنية على الثقةنحن حزبين إثنين ولسنا مطلقاً حزباً واحداًأ…,0
طالما الدليل عند القاضي ليش ما بقول وبخلصنا لازم نعرف القاتل,0
أعوذ الجزائر بالله قذارة أعداء ورسوله,0
العهر اختك الجزائرية القحبة امك ولاد القحبة بناتكم الخليج عاهرات,1
 ��� يعني انتي وهل كم اهبل اكتشفت البارود ليش وين في جيش بلبنان المحرر غير جيش لبناني يا هبلة,1
   والله انها تسوى معممينكم كلهم ولابيجوا صرمايتها ياتابع كذا عبيد ايران,0
" سبحان الله. رجعتي من مطرح ما جيتي
بنت شارع �",1
" _ انت تمثلي بعض الأنذال
ما بعتقد إنك لبنانية صافية
اعملي فحص الحمض النووي",1
 يا انت غبي يا انا طريقة تغريدتي غبيه 😂,1
يعرض الباجي قايد السبسي طبيب المخ الأعصاب الأطباء الاختصاصات ستجدون فاقد لجميع الصلوحيات بالتالي لابد الحجر ممتلكاته إحالته فورا مستشفى المجانين عزله منصبه,0
أي فزلكة!!!! إنها الموضة في أوروبا الرجوع لموضة لسبعينات والتمانينات ،الخليجيين تقال على القلب ,1
وش تغير يادكتور هذا اللي يهاجم السعوديه وقادتها ليل نهار اصبح وطني,0
  اسكتي يا جزمه يا منطلقه ماعندي والي يلمك شكلو ابوك شيوعي,1
@User.IDX كل ثورات الغوغاء ...لازم ايقونه ...ولازم علم جديد...ولازم حساب تويتر يطلع مزيف......وسبحان الله لبسها وحلقها وتسريحتها طلعوا تراث بالصدفه....وبكره حتروح امريكا او بريطانيا تشتغل .....الربيع العبري . ,1
اللهم ارينا عجائب قدرتك في سلمان بن عبدالعزيز وأسرته ومن معهم يا رب العرش العظيم اللهم عجل فيهم فكفك أفكارهم واجعل الدوائر عليهم بفضل كل دعاء استجابة يا جبار السماء والأرض يا الله اللهم امين الدعاء الدعاء الدعاء الدعاء,0
توانسة زوامل قحاب فاك لخبزة مكم,1
 اذا فزت انه كبرياء الزيعيم<>اذا خسرت طاح الزعيم بفعل فاعل <>( يعني يا أفوز يا اشكك ) <>ماتطفشون يا امعات من تحريض الناس ...<>فريقكك قمامه ومايستحق شي ..<>بارك للي افضل منك وبلاش هياط,1
"ديما صادق تشارك في التظاهرات بساحة النور...""طرابلس تحيي جرحى النبطية اليوم""
://./9 #لبنان_ينتفض… ://./019",0
 ديما انت ونادين نجيم الهم انكن تبينوا تركو محل للثوار واكتفي بسرد الخبر انت انت من سكان القصور والفيلات وخاصة بمونت كارلو,0
يعجبني الشعب التونسي لهجتهم المتحضرة ربي يبارك يحفظ بلادكم شر,0
هلق لما طلعوا السوريين ضد النظام كانوا كلون ارهابيين ومدفوعين من الخارج وما في واحد منون مدني بريء، بس لما غيرون بيعمل نفس الشي بيكون بطل وعم يواجه الفساد الخ، السؤال ليش؟,0
  ما في غير الله بينضف هيك بشر #ديما_الواطية,1
مايا مرا مثقفة تحكي بكستوى صعيب كريم الغربي امثالو يفهموه شوف علقت جاوب ههههه اناء ينضح,0
كل الاجلال والاحترام الأوفياء بيتذكرو كرم اهل دمشق دمشق احتضنت اللبنانيين في محنتهم والعراقيين والفلسطينيي…,0
 اهتمي بالمعاني والكلمات والمواضيع والمغذى من الخطاب، مش عم نعطيكي درس بالإخراج والتمويه,0
كل العنصريه بدهم حرق ،.، ,1
اكيد نحنا ما منتسعّر يا غشيم اما انتو سعركن معروف ولا ارخص من هيك,1
يا ديفيد يا لويز يا خول,1
 : هدف واضح للحسنية يا حكم يا كلب ويا مخرج المباراة الغبي<>صراحة زمالك لا يستحق الفوز فريق ضعيف جدا وسيخرج من النصف <>#الزمالك_حسن…,1
مبادرة بيروت للسلام عام بحضور الرئيس المقاوم اميل لحود ورئيس مجلس النواب الاستاذ نبيه بري رئيس حركة امل، تحدثت عن سلا…,0
كامل الضجة اضن المستحيل يفطر مسلم رمضان وهؤلاء ملحدين ديانات تانية ومصيرهم جهنم خالدون دينكم ولي دين يسهل بدل الجدال هدا يجب الاهتمام بالأخلاق والتربية أحسن,1
 : يا آلاء يا نقيييييب 😂😂😂😂😂😂❤ ,0
@User.IDX اشششش 🤫 ولا كلمة ياكلاب المجوس وحريم السلطان ، اطلعوا من جو العرب ياخدم تفوووووو على اشكالكم الوسخه ,1
تونس حقيرة يسئلو شهر الرمضان فرض تردون فرض وجايا تقولي تونس بلد المليون مثقف فعلا عاهرة وحقيرة,1
مريم تحكي عبير متزوجة راجل اعمال,0
@User.IDX اوجعكم حين كشف خبثكم وخيانتكم ,1
@User.IDX تاكيد لمصداقية قناة الجزيره اي كارثه تقع بالعالم تقول من التحالف السعودي الاماراتي نتوقع خبر عاجل من قناة الجزيره يشير الي الفياضنات والعواصف الترابيه التى تحصل هذه الايام تنسبه الي التحالف السعودي الاماراتي اعتقد هذا التحالف احرق دم معدي ومذيعي,1
انت اول واخر عاهر وبوق ارهابي للمجرم بشار ورئيس عصابة ولي الفقيه انت احقر انسان واتفه بشر خرااا علي ابو…,1
فلسطيزي حرر القدس اليهود اغتصب عرضك وارضك والامارات مليانه فلسطيزيين تاركين بلدهم وعايشين بعز الامارات ياذليل ياعبد اليهود خير ماتبيعو ارضكم لليهود,1
 57 _ حرام تشوه صورتيك  احلا ديما,0
يجب أن يعلم الجميع أن الشجرة المثمرة ترشق دائما بالحجارة,0
انت واقتراحك وصرماية اللواء عثمان سوا سوا,1
 : يا دائم يا ديوم يا حي يا قيوم يا كاشف الغم ويا فارج الهم ويا باعث الرسل ويا صادق الوعد صل على محمد وآل محمد وآفعل بي…,0
الله يرحم الملك فيصل بن الشريف حسين الهاشمي مؤسس الدوله السوريه ( المملكه العربيه السوريه الهاشميه ) .💔 1918 الآن مجرمين تحكم سوريه ,1
وحاتم بلحاج ماكش راجل وميبون ترمتك ياطحا القحاب,1
 يا قحبه يا متناكه يا ام كس منفوخ,1
@User.IDX حاميها حراميها . هم إخوة لكن اعداء فإخ من الأخ . ,1
يا علاج الروح يا غاية فوادي🖤.,0
 يا بهيمة قال السيد لن يسقط العهد مش الحكومة,1
 الوثائق اصبحت عند القضاء تفضلي إسألي القضاء,0
أخلاق خلق قعر تربية شوارع حاشى والديه,0
البلد لا يتحمل التطاول على الاجهزة الامنية ورؤسائها فاحترم نفسك وكفى اهانة والا سنعرضك على حكيم بيطري او متخصص في عالم الدين…,1
وحيد برااا اعطي صرمك شمدخل زبي,1
مرا تونسيه نطالب بالعدل بالمساواة اعدل ربي سبحانه,0
@User.IDX الجزيرة قناه فشلت في الاساءة للسعوديه فاتجهت للامارات ومصر وهي على يقين انها ستفشل كما فشلت في السعوديه .. ولكن هي مغلوبه على امرها حيث انها قناه يملى عليها ما تفعله وهذا بفضل الطاقم الاعلامي المجنس ,1
كذاب طحان تريد تجعل أجدادنا قوما سود سكان افريقيا بيض ايها الفاجر,1
@User.IDX هذول مصادر الجزيره الرقاصه توكل 💃وناصر الدويله الجبان ولاخواني المرزوقي والمطبل عبدالخالق امحق مصادر😂😂😂 ,1
المشكلة انو دكتاتور حقو فرنك عديم الرؤية و الفهم وعاملي فيها خامس الخلفاء و مو شاطر غير بالهوبرة و الزعبرة و اللعي و رح يجيب اجل تركيا عاجلاً غير آجل و مع ذلك الشبيبة مغرمين فيه؛المصيبة انو الحج اردوغان هو نموذج ثلاثي الأبعاد للمقولة ا,1
 رح تموتي قد مافي جواتك سم,1
@User.IDX هذا أسلوبكم ياعيال الكلب بسكم كذب لابوكم لا ابو من يتبعكم ويأيدكم انتو وقطرائيل اتفو على قردوقان والحمدين وفوقهم تيمو ,1
@User.IDX سؤال وين علامة الخنزيرة على المايك !؟👞🤣🤣😅 ,1
@User.IDX كل الشعب السعودي يرحب بتعلم اللغه الصينيه وسوف ترسل البعثات الي الصين لخذ المعرفه وموتوا بغيضكم يانعول ايران وموخرة اردوقان اشتغلوا لطم🤣🤣🤣 ,1
 اشرف منن طبعا..وخاصة انتِ فيكِ ترتاحي وتقعدي..مش رح يطلع من امرك شي ..وضرب واكلتيه.,1
سليمان زنداح شابو خو يعطيك تتمنى هالرجالة مخنث ويقلك متربي,1
يا جماعة مش ملاحظين بعد كل جولة من الكذب والتضليل على التيار ورئيسه ،,0
هو بيعرف ومعترف بهالشي بس هلّق المخرج هيك بدّو وهو عمبأدّي الدور بجدارة,0
مش شغلتي حبيبي فاضح حالو بلا جميلتنا بس عجبني تفكيرك,0
الحين تترحم على وسام ونت لم تترك تهمه ولاشتيمه لا وقلتها عليه صحيح انك عفن,1
هيك بتزعل عمك السيء نصر الله وعمتكن كلكن شريفة إيران أنت وتميم وأبو صواويخ تحت سيادة إيران وكلكم أل…,0
ترامب واحد كلب من كلاب شوارع خرا عليه 😑😑😠 ,1
@User.IDX انعل والدي الي سواك رئيس ,1
يا ألحان أُغنياتي ، يا سهّري و أفكاري يا حَبيبي يا بعيد,0
الحمد لله مسلم وانتمي الئ الجزائرى لااعتراف بتونسين كنتم بالجزائرى قتلكم وحسبي ونعم الوكيل توانس يصوم كيم يحب ويفطرو كيم يحب شاهد للفيديو الهواري بومدين حي للقصفكم تونس مايقدروش يتخلو الماء الماكلةشعب جيعان شوف فارقة رغم انهم تشرد يلادهم فقر وانهم صائيمين متمسكين با الاسلام,1
جبران باسيل بسوق الساسة سعره اقل من ليرة لبنانية خفوووووووها شوي,1
اوقفت القوى الأمنية الناس على بعد حوالي كيلومترا من المطار بسبب مرور الوفود العربية الى القمة الفاشلة، تخيلوا عجوزا يهرو…,0
 الاهلى ليه كام ضربة جزاء يا كلاب الفلوس يا عبيد الشوال,1
  في العدوان الثلاثي اجتمع على مصر ثلاث دول قصفو المدارس والبيوت والاسواق فرنسا وبريطانيا واسرائيل يا كيوت يا محترم يا متحرر يا عقلاني يا ميمو يا حبيب ماما,1
 الكيزان زي النازيين واحد :قتلو وعذبو و حكمهم كان ولا زال شمولي معتدي فاسد كامل الاركان. مفروض الآن رموزهم يا بيكونو بنتحروا يا في السجن درءاً لي اي فتنة و ليكون عظة و عبرة و ليرتدع كل جبار عنيد. #الثورة_بدت_يادوب و الثورة خيار الشعب,1
لعنك حرية تتكلم انظر لحياة الملحدين أوروبا لتعلم نعيم وجنة الاسلام,1
سي أمين وصفة طبيعية تخبي الفلجة تضحك تواصل الخاص,0
ليهود بصح كاينة عقلية ليهود الجزائر,0
حساب هده العارضة اشرف هادين الشيخين خخخخخ,0
" لسانك متبري منك
دخلك انت وزوجك كيف بتتفقوا؟!!",0
نهارت لی ول ی الل واط الس حاق بقدرة نصنعوا الن ووی بالل اهی بر نیکم ک القحبة الباجی متاعک بشری القحبة الملهط العید أشرف ک یا خنزیر فی فرانسا بعینی شفتهم یشربوا فی دم الحل وف حی,1
ابراهيم حسن الاكتع يا كهربا يا ابن المتناكة مفيد عنك,1
يتكلم الكبار سي بشير الصغر يسكتو ظهرت متعرفش تركب جملة مفيدة,0
 اربطي زندك وحاجيكي تحريض انت وجماعتك,0
وقاحة يلي عم يكتب فرح لتحرير إخواننا الأكراد بعفرين من عصابات الـ هو إما جاهل، أو عنده حقد غير طبيعي للأكراد وبده يستفزهن حط بالخرج,0
 اية هاروت وماروت في التفسير والراجح الي اتفقو عليه العلماء انهم يا انس يا جن والعلم عند الله ! ، وكانو يحذرون الناس قبل يورونهم السحر,0
 هو في زيك يا عاقل انت يا جميل 😂♥️♥️,0
تفووووه هليك هلى جد والديك لطفي العبدلي والله تكساب ريحة الرجولية,0
