tweet	label
@username لا اختي بغيت عوازا يربحوا اللقب هههه حيتاش العرب فيهم غير حشيان الهضرة  😭🤣	Hate
انا من بعد المنتخب مكنشجعش حتا حد يعني كنستمتع بالمباريات وصافي ديك القضية ديال نقول مبروك لشي فرقة منقدرش معنديش ديك الصنطيحة والصراحة بغيت عوازا يربحوا الكان وصافي .	Hate
@username طلع ولد لحرام ضبر على راسو و خلى فرقة شارفة المدرب لي غايجي دابا غايوحل وحلة ديال لكلاب	Hate
@username كون غير خلاه يصدق يبكي علينا فالتيران  شخصيته ضعيفة والا تلاقا مع عوازا غادي يسلخوه	Hate
اكيد خطوه كبيره تسليم الارهاربى الخطير لمصر برفقه ارهابى اخر من كتيبه المرابطين تحيه لكل قوتنا المسلحه والقوات الخاصه بس المفروض كان حفتر سلمهم على طول من شهراكتوبر كانت تفرق كتير لان مصر هى اللى وقفه جنبه واحنا بنحمى حدودنا تحيا مصر وتحيا شهداء مصر	Hate
الاخوان اصحاب المواقع لي نشروا فيديو ارهابي نيوزيلاندا .. غادي يكون عندهم موقع استراتيجي فجهنم #newzealand	Hate
@username يا أخي لكل بلد عيوبه لكن عيوب السعودية أخبث و أقبح بكثير من عيوب المغرب، دعارة شيء فعلي مع الوقت يحل فما بالك عن داء ما في النفوس، هذا الداء صعب جدا ايجاد دواء له.... النفاق في أفضل وجه له.  أفضل عاهرة صريحة مع نفسها على داعر سعودي منافق ذو وجهين يبيع اخوانه و يتبرأ منهم.	Hate
@username يربح اخنوش غا يدير بعدا الإنصاف والمصالحة مع كاع سواسة فالمغرب... صبرو للتهريج و قلة أدب والاعتداءات ديال الشعب اللي كان عنصري معاهم.. وهاكاك صبرو تا سيطروا بقوة المال... اخنوش هو أرييل شارون ديال المغرب.. غا يدير الحرب والإبادة ل عريبان و فاسة و غرباوة ههههههه	Hate
جمهور الرجا داير فهال شي عاهرة واخا تهز رجليها عادي غ قحبة توقع منها اي حاجة  جمهور الوداد داير فحال شي بولحية كيتسناوه غير وقتاش يدير الفالطة باش كلشي ينيش عليه بصبعو .. اجي اش داك الشي كدير راك بلحيتك زعما	Hate
ما لنا و السنة الميلادية يحتفل بها المغضوب عليهم و الضالون و الكفار و المجوس و عبدة الشيطان يا مسلم اتهنىء كما يهنئ هؤلاء إن اعجبك الأمر فالأمر أمرك	Hate
@username حتى انا و لكن راه معوق الله غالب	Hate
@username قهرونا غا لي باع شي بقرة كيترشح و يعطي للشارفات و الشراف شربيل وربعالاف ريال ويطلعوه يخ 😏  خاص الشباب من هنا للقدام يبدا ينخرط فالاحزاب و يتعاونوا بيناتهم... باش من هنا للقدام نتهناو من هاذ رباعة الشلاهبية🤦‍♀️	Hate
واحد جا عندي واش عمرك شفتي فار كيحوي حولي. سولتو واش عمرك شفتي واحد عزي فيه ميترو و تسعين فالطول و مرتو كيحويها ليها موا الحانوت الگربوز فيه ميترو و نص فالطول. بياض ولد القحبة	Hate
هجوم إرهابي هذا الصباح على مسجد في مدينة كولمار الفرنسية وأخبار عن قتلى وجرحى في صفوف المصلين 🙏🏻 لا أذن سمعت ولا عين شافت 🤔 لأنه هجوم على مسجد مامسوقينش كيف العادة لا إعلام ديالهم ولا ديالنا فينكم اصحاب براي فور باريس #prayforamosquicolmar	Hate
@username يقول ذلك الشيء المسمى صحفي ايدي كوهين ان احد حكام العرب اصله يهودي ؟؟؟	Hate
@username الذي لا يصلي وردت نصوص على أنه كافر خارج عن ملة الإسلام وبعض أهل العلم الذين لا يكفرون تارك الصلاة يرون أنه فاسق من شرار الفسقة.. فترك الصلاة أمر خطير جداً  خافي على نفسك وتوبي إلى الله ولا تفوتك أي صلاة اتركي كل شي بيدك وقت الصلاة وقومي صلي لا تؤجليها	Hate
@username واش طلع لكم وله من 50سنة من الحرب والاستنزاف غير الخزى والعار وإفقار الشعب الجزائري والقادم اسوى هل بقى في الجزائر عملة هل أنتم أحسن حال من الدول المجاورة رغم #أنكم تاني احتياط عالمي من النفط والغاز كونو تحشموا #راه العالم أصبح قرية صغيرة متكونوش أغبياء أكتر من الازم #أحسن مروكي ##url	Hate
