tweet	label
you dey fuck up na that time we begged you to follow us we even promised you one babe sef ‍️	Normal
wetin you go do your best friend	Normal
and don collide ontop my mataabeg una sure say no be sub i come this life con sub like this	Normal
see dis ole fawo oooo police don relis u pls go and settle ur case den come back for reply	Abuse
wahala just dey everywhere this young man sitting beside me inside bus just dey talk like sey e dey follow somebody talk talking to himself ni sha from idumota to oyingbo afi ki oluwa wa pélu é oooooo	Normal
since its your job to keep defrauding people claiming youre an artist na that cancer go kill youna people like this no dey make some clients trust us them don dey claim your work o	Abuse
when you are broke they will never have call card to call you or megabyte to message you on how you doing or living when they just see a little fresh updates you will be seeing missed calls messages like padi mi hin don tey ooooh	Normal
nigerian detectives dem dey even carry out investigations abi na by hearsay or who first complain	Abuse
i just want to wake up one morning go straight to aso rock demand to see the president greet him and give him better slap is it too much to ask after that anything way wan happen make e happen i be port harcourt boy wike na my governor	Abuse
e be like say pastor don tell this bros say na hospital he go find wife you see nurse carry front carry back use nose mask use glasses wear hair net everything covered up you dey tell her she is beautiful bros you are a born liar joor why are we like this sef	Abuse
so na now dem dey follow me reason say one of the confirmed convid patients for kt today na for our area worst news is he lives on the street next to ours next to our majlis and he came in contact with people i was with today so help us god	Normal
myself wondering likewe dont understand anything for here again	Normal
shey e no better make i dey my papa house like this they cannot lock me in that prison yard for months oo i fit crase	Normal
wen you dey chop for the government so wetin you go talk	Abuse
the way dj spinall dey always shake him head like say e wan komot	Normal
omo which kin belle way don dey show like this na na old age abi wetin i used to have packs	Normal
na over hyping keeel this february now na protest and police arresting peace civilians we they solve but no the mater no gree solve	Normal
una do dis una turn dy cum	Normal
years old pikin done dey run call e papa name for house	Normal
lol yes na see the yab abii joke wey he give timaya i wan cry ehn	Normal
money i just make e don comot to fix fuel pump whats all this na like why god why like why dis	Normal
larpota i knw say u knw wetin u de do but i fit curse u bcos of this lenglet oooo lenglet de use juju for all of una ni	Abuse
part of the money me na i say okay no wahala enter when i reach where i dey go we go end trip see how much then you pay a percentage abi no be so i don reach where i dey go finish aunty oya pay she say em i dont have cash with me ah ah see me see cashless society	Normal
i don confuse self e be like say factions dey inside this shii sega vs ogbeni dip vs ydp	Abuse
d boy wey de track your babe so na dsame question him de ask her so what do you even see in adokiye sef	Abuse
this life no balance award way be say burna wan kill himself for na im kanye dey pee on top	Normal
how i wan take convince my mama say i been dey lie that time what would make her believe that i am not lying now braaah i chop beating that day like no mans business ehnnn my street rep still damage sef cos nepa finally brought the light and they watched it	Normal
lmao people don dey defend project for biz ad but i still dey chapter this is the real god when	Normal
chai this government is not wise at all rubberband wey obasanjo stretch small yaradua stretch am small give goodluck him too stretch am as e take dey come buhari don go cut am it took many nigerians to go through this terrible times to realize we never had a government	Hate
so person no fit dash me k	Normal
its like they plan these things coz wetin be dis na so like there will be an unmarried women association ‍️‍️	Normal
shey female anon no dey ni na only macbook i need anon maybe i should update my twitter because its like im on a different twitter app	Normal
people wey dey settle matter don go sleep as e be like this matter dey ground to settle but nobody dey to call	Normal
broke guy like us we no dey beg for mcm bcus our girlfriend gan no dey use us and if she does nah only us dey see ham kila wan baka ‍️	Normal
wahala be like matriculation ooo e kon be like say we never do matric before na wa ooooo	Normal
baba dey imsu junction dey wait for a new catch few minutes later dey text me say e don fall for him girlfriend of yrs n wan dey serious with am lmafoooooooooooooooooooooo owerri boys ‍️	Normal
children of these days oh chai that was how one shouted for me in the studio one day like that pikin wey come serve for my office oh i just smiled and looked at her na people for office come dey advice her self	Normal
wetin ole no go see for old trafford	Normal
lmfao abi thunder wan strike this oneso na pm be your resumption and me dey resume am	Abuse
years relationship ended bcoz of genotype wetin you for ask on the first date but star raddler and suya no gree you e dey sweet you	Abuse
i was so tempted to join the oluwa wetin dey gang	Normal
man utd no get engagements again na sponsored ads dem dey run now	Normal
bro thank god dem no use vex beat me people dey para for this government oh	Abuse
