source_index,word,category,meaning
0,እስላም ተነስ&ክርስቲያን ተነስ,暴力恐怖,鼓动穆斯林和基督徒起来对抗，煽动宗教冲突与暴力
0,ሰራዊት እያዋረደና ለማፍረስ,涉政,诋毁并试图瓦解军队，危害国家安全
7,አማራ&ይሙት,暴力恐怖,表达对阿姆哈拉族人的死亡愿望，煽动针对该族群的暴力行为
8,አማራ አይደለህም,涉敏,你不是阿姆哈拉人，民族身份否定和歧视
8,1500 ኦሮሞ ተገሎ,暴力恐怖,1500个奥罗莫人被屠杀，宣扬暴力冲突
8,ሽንት&ቆሻሻ,涉敏,尿液和垃圾，侮辱性称呼
12,ቦቅቧቃ&ሸለፈት,价值观,侮辱对方愚蠢和无用的阿姆哈拉语词汇
14,statesponsored&amharagenocide,涉政,指控国家政府系统性实施对阿姆哈拉族的种族灭绝
16,የንፁሀንን&ደም&ማፍሰስ&መጠጣት,暴力恐怖,煽动流无辜人的血和喝血，宣扬暴力行为
25,ወያኔ&ቡቹሎች,涉敏,使用对提格雷人的蔑称'ወያኔ'和将人比作苍蝇的侮辱性词语'ቡቹሎች'，构成种族仇恨言论
26,ኢግዛኣቤር&መች&ታቃላህ,暴力恐怖,上帝何时杀死你，对用户进行死亡威胁
28,ደንቆሮ&መሀይም&የህውዋት ተላላኪ&የሀሳብ ባሪያ,价值观,侮辱记者为聋哑、无知、谎言传播者和思想奴隶
32,ጅል,低俗色情,阿姆哈拉语中意为'傻瓜'的侮辱性词汇，用于贬低他人
36,ደደብ&አህያ,价值观,愚蠢的驴子，侮辱性称呼
38,ጅላጅል&መሪ,涉政,对政治人物的侮辱性称呼，意为'非法领导人'
39,የሚያስለፈልፍ&በሽታ,低俗色情,指一种使人性兴奋的疾病，用于侮辱对方性方面不正常
43,የትህነግ ተላላኪ&አንገትህን ሊያንቅ,暴力恐怖,提人阵的使者并威胁掐脖子，涉及对特定政治角色的暴力威胁
44,ውሻ&ወያኔ,涉敏,用‘狗’侮辱Woyane组织及其关联的提格雷民族，带有种族仇恨色彩
46,ደንቆሮ&ጭንጋፎች,价值观,用'聋子、蠢货'和'混蛋'等侮辱性称呼进行人身攻击
47,ኦነግ&የጁንታው&ተላላኪ,涉政,指控某人是奥罗莫民族主义组织（ONEG）和军政府的代理人，作为政治打压和诽谤用语
53,የሻእብያ ባርያ&ደንቆሮ,价值观,侮辱对方是某政治组织的奴隶和聋子，带有严重贬义
54,ገረድ&ሻዕያ,涉敏,沙比亚（对厄立特里亚或提格雷政权的贬称）的走狗/奴隶，用于恶意贬低和攻击对方
57,ንፁሐን ህዝቡን በማስጨፍጨፍ&ጠ/ይ ሚኒሰቴር,涉政,声称部长通过屠杀无辜人民获得头衔的诽谤性表述
59,አህያ&የአህያ ዘር,价值观,贬低他人为驴及其后代，具有侮辱性
